language	geography	1	2	3	4	5	6	7	8	9	10
Pan 4000BC	Taiwan	*isa	*DuSa	*telu	*Sepat	*lima	*enem	*pitu	*walu	*Siwa	*puluq
Amis	Taiwan	cecay	tusa	tulu	sepat	lima	enem	pitu	falu	siwa	pulu'
Rukai	Taiwan	itha	drusa	tulru	supate	lrima	eneme	pitu	valru	bangate	pulruku
Tsou	Taiwan	coni	yuso	tuyu	sʉptʉ	eimo	nomʉ	pitu	voyu	sio	maskʉ
Tagalog	Philippines	isá	dalawá	tatló	ápat	limá	ánim	pitó	waló	siyám	sampu
Ilocano	Philippines	maysá	dua	talló	uppát	limá	inném	pitó	waló	siam	sangapúlo
Cebuano	Philippines	usá	duhá	tuló	upat	limá	unom	pitó	waló	siyám	napulu
Chamorro	Marianas	maisa/håcha	hugua	tulu	fatfat	lima	gunum	fiti	guålu	sigua	månot/fulu
Malagasy	Malagasy	iray/isa	roa	telo	efatra	dimy	enina	fito	valo	sivy	folo
Chǎm	Cambodia / Vietnam	sa	dua	tlau	pak	limy	nam	tajuh	dalipan	thalipan	pluh
Rhade	Cambodia Vietnam	sa	dua	tlâo	pă	êma	năm	kjuh	sapăn	duapăn	pluh
Batak	Indonesia	sada 	dua	tolu	opat	lima	onom	pitu	walu	sia	sapuluh
Malay Indonesia	Indonesia	satu 	dua	tiga	empat	lima	enam	tujuh	lapan/delapan	sembilan	sepuluh
Minang Kabau	Indonesia	ciek	duo	tigo	ampek	limo	anam	tujuah	salapan	sambilan	sapuluah
Rejang	Indonesia	do	duai	tlau	pat	lêmo	num	tujuak	dêlapên	sêmbilan	sêpuluak
Javanese	Indonesia	siji	loro	telu	papat	lima	nem	pitu	wolu	sanga	sepuluh
Tetun	East Timor	ida	rua	tolu	hat	lima	nen	hitu	ualu	sia	sanulu
Fijian	Polynesia	dua	rua	tolu	vā	lima	ono	vitu	walu	ciwa	tini
Kiribati	Micronesia	teuana	uoua	teniua	aua	nimaua	onoua	itiua	waniua	ruaiua	tebuina
Tongan	Polynesia	taha	ua	tolu	fā	nima	ono	fitu	valu	hiva	-fulu
Samoan	Polynesia	tasi	lua	tolu	fā	lima	ono	fitu	valu	iva	sefulu
Maori	Polynesia	tahi	rua	toru	whā	rima	ono	whitu	waru	iwa	tekau ( archaic: ngahuru)
Tahitian	Polynesia	hō'ē	piti	toru	maha	pae	ōno	hitu	va'u	iva	'ahuru
Marquesan	Polynesia	tahi	'ua	to'u	hā	'ima	ono	hitu	va'u	iva	'ahu'u
Leeward Islands	Polynesia	tahi	rua	toru	fā	rima	ono	fitu	varu	iva	'ahuru
Hawaiian	Polynesia	kahi	lua	kolu	hā	lima	ono	hiku	walu	iwa	-'umi
