B	script	ISO 15924
1	Ahom 	Ahom
2	Balinese 	Bali
3	Batak 	Batk
4	Baybayin 	Tglg
5	Bengali-Assamese 	Beng
6	Bhaiksuki 	Bhks
7	Buhid 	Buhd
8	Burmese 	Mymr
9	Chakma 	Cakm
10	Cham 	Cham
11	Devanagari 	Deva
12	Dhives Akuru 	Diak
13	Dogra 	Dogr
14	Grantha 	Gran
15	Gujarati 	Gujr
16	Gunjala Gondi 	Gong
17	Gurmukhi 	Guru
18	Hanunó'o 	Hano
19	Javanese 	Java
20	Kaithi 	Kthi
21	Kannada 	Knda
22	Khmer 	Khmr
23	Khojki 	Khoj
24	Khudawadi 	Sind
25	Lao 	Laoo
26	Lepcha 	Lepc
27	Limbu 	Limb
28	Lontara 	Bugi
29	Mahajani 	Mahj
30	Makasar 	Maka
31	Malayalam 	Mlym
32	Marchen 	Marc
33	Meetei Mayek 	Mtei
34	Modi 	Modi
35	Multani 	Mult
36	Nandinagari 	Nand
37	New Tai Lue 	Talu
38	Odia 	Orya
39	'Phags-Pa 	Phag
40	Prachalit (Newa)	Newa
41	Rejang 	Rjng
42	Saurashtra 	Saur
43	Sharada 	Shrd
44	Siddham 	Sidd
45	Sinhala 	Sinh
46	Sundanese 	Sund
47	Sylheti Nagari 	Sylo
48	Tagbanwa 	Tagb
49	Tai Le 	Tale
50	Tai Tham 	Lana
51	Tai Viet 	Tavt
52	Takri 	Takr
53	Tamil 	Taml
54	Telugu 	Telu
55	Thai 	Thai
56	Tibetan 	Tibt
57	Tirhuta 	Tirh
