ID,uid,Chinese,Trad.,Pinyin,PlainPY,Definition
1,1,我,我,wǒ,wo3,I; me; my
2,2,知道,知道,zhīdào,zhi1 dao4,to know; to become aware of; also pr. [zhi1 dao5]
3,3,说不清楚,说不清楚,shuōbùqīngchǔ,shuo1 bu4 qing1 chu3,
4,4,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
5,5,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
6,6,也,也,yě,Ye3,"also; too; (in Classical Chinese) final particle implying affirmation; 
surname Ye"
7,7,没,没,méi,mei2,(negative prefix for verbs); have not; not
8,8,有用,有用,yǒuyòng,you3 yong4,useful
9,9,但,但,dàn,dan4,but; yet; however; only; merely; still
10,10,还是,还是,háishi,hai2 shi5,or; still; nevertheless; had better
11,11,想,想,xiǎng,xiang3,"to think; to believe; to suppose; to wish; to want; to miss (feel wistful 
about the absence of sb or sth)"
12,12,说出,说出,shuōchū,shuo1 chu1,to speak out; to declare (one's view)
13,13,来,来,lái,lai2,to come; to arrive; to come round; ever since; next
14,14,我,我,wǒ,wo3,I; me; my
15,15,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
16,16,多么,多么,duōme,duo1 me5,"how (wonderful etc); what (a great idea etc); however (difficult it may be 
etc); (in interrogative sentences) how (much etc); to what extent"
17,17,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
18,18,虚伪,虚伪,xūwěi,xu1 wei3,false; hypocritical; artificial; sham
19,19,不堪,不堪,bùkān,bu4 kan1,cannot bear; cannot stand; utterly; extremely
20,20,我,我,wǒ,wo3,I; me; my
21,21,承认,承认,chéngrèn,cheng2 ren4,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); 
to acknowledge"
22,22,我,我,wǒ,wo3,I; me; my
23,23,不是,不是,búshi,bu2 shi5,fault; blame
24,24,一个,一个,yīgè,yi1 ge4,
25,25,好,好,hǎo,hao3,"good; well; proper; good to; easy to; very; so; (suffix indicating 
completion or readiness); (of two people) close; on intimate terms; (after 
a personal pronoun) hello"
26,26,女,女,nǚ,nu:3,female; woman; daughter
27,27,后,後,hòu,Hou4,"back; behind; rear; afterwards; after; later; post-; empress; queen; 
(archaic) monarch; ruler; surname Hou"
28,28,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
29,29,坏,坏,huài,huai4,bad; spoiled; broken; to break down; (suffix) to the utmost
30,30,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
31,31,坏,坏,huài,huai4,bad; spoiled; broken; to break down; (suffix) to the utmost
32,32,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
33,33,女孩,女孩,nǚhái,nu:3 hai2,girl; lass
34,34,大概,大概,dàgài,da4 gai4,roughly; probably; rough; approximate; about; general idea
35,35,三,三,sān,San1,three; 3; surname San
36,36,年前,年前,niánqián,nian2 qian2,before the end of the year; before the new year
37,37,张高丽,张高丽,zhānggāolì,Zhang1 Gao1 li4,"Zhang Gaoli (1946-), PRC politician"
38,38,副总理,副总理,fùzǒnglǐ,fu4 zong3 li3,vice-premier; vice prime minister; deputy prime minister
39,39,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
40,40,退休,退休,tuìxiū,tui4 xiu1,to retire; retirement (from work)
41,41,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
42,42,找,找,zhǎo,zhao3,"to try to find; to look for; to call on sb; to find; to seek; to return; to 
give change"
43,43,天津,天津,tiānjīn,Tian1 jin1,"Tianjin, a municipality in northeast China, abbr. 津"
44,44,网球,网球,wǎngqiú,wang3 qiu2,tennis; tennis ball; Classifiers: 个
45,45,中心,中心,zhōngxīn,zhong1 xin1,center; heart; core; Classifiers: 个
46,46,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
47,47,刘,刘,liú,liu2,surname Liu; (classical) a type of battle-ax; to kill; to slaughter
48,48,大夫,大夫,dàfū,da4 fu1,senior official (in imperial China)
49,49,再,再,zài,zai4,"again; once more; re-; second; another; then (after sth, and not until 
then); no matter how ... (followed by an adjective or verb, and then 
(usually) 也 or 都 for emphasis)"
50,50,联系,联系,liánxì,lian2 xi4,"connection; contact; relation; to get in touch with; to integrate; to link; 
to touch; variant of 联系"
51,51,到,到,dào,dao4,"to (a place); until (a time); up to; to go; to arrive; (verb complement 
denoting completion or result of an action)"
52,52,我,我,wǒ,wo3,I; me; my
53,53,约,约,yuē,yue1,"to make an appointment; to invite; approximately; pact; treaty; to 
economize; to restrict; to reduce (a fraction); concise"
54,54,我,我,wǒ,wo3,I; me; my
55,55,打球,打球,dǎqiú,da3 qiu2,to play ball; to play with a ball
56,56,在,在,zài,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating 
an action in progress)"
57,57,北京,北京,běijīng,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government"
58,58,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
59,59,康,康,kāng,Kang1,healthy; peaceful; abundant; surname Kang
60,60,铭,铭,míng,ming2,to engrave; inscribed motto
61,61,大厦,大厦,dàshà,da4 sha4,"(used in the names of grand buildings such as 百老汇大厦 Broadway Mansions (in 
Shanghai) or 帝国大厦 Empire State Building etc)"
62,62,上午,上午,shàngwǔ,shang4 wu3,morning; Classifiers: 个
63,63,打,打,dǎ,da3,"to beat; to strike; to hit; to break; to type; to mix up; to build; to 
fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to 
play (a game); since; from"
64,64,完,完,wán,wan2,to finish; to be over; whole; complete; entire
65,65,球,球,qiú,qiu2,ball; sphere; globe; Classifiers: 个
66,66,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
67,67,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
68,68,妻子,妻子,qīzi,qi1 zi5,wife; Classifiers: 个
69,69,康,康,kāng,Kang1,healthy; peaceful; abundant; surname Kang
70,70,洁,洁,jié,jie2,clean
71,71,一起,一起,yīqǐ,yi1 qi3,in the same place; together; with; altogether (in total)
72,72,带,带,dài,dai4,"band; belt; girdle; ribbon; tire; area; zone; region; Classifiers: 条 ; to 
wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; 
to look after; to raise"
73,73,我去,我去,wǒqù,wo3 qu4,(slang) dang!; shoot!
74,74,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
75,75,你们,你们,nǐmen,ni3 men5,you (plural)
76,76,家,家,jiā,Jia1,"home; family; (polite) my (sister, uncle etc); classifier for families or 
businesses; refers to the philosophical schools of pre-Han China; noun 
suffix for a specialist in some activity, such as a musician or 
revolutionary, corresponding to English -ist, -er, -ary or -ian; 
Classifiers: 个 ; see 家伙 ; surname Jia"
77,77,然后,然后,ránhòu,ran2 hou4,after; then (afterwards); after that; afterwards
78,78,把,把,bǎ,ba3,"to hold; to contain; to grasp; to take hold of; handle; particle marking 
the following noun as a direct object; classifier for objects with handle; 
classifier for small objects: handful"
79,79,我,我,wǒ,wo3,I; me; my
