Chinese	count	percent	histogram	ID	uid	Trad.	Pinyin	PlainPY	Definition
我们	9	1.54	***********	124	124	我们	wǒmen	wo3 men5	we; us; ourselves; our
发生	5	0.85	******	96	96	发生	fāshēng	fa1 sheng1	to happen; to occur; to take place; to break out
一个	4	0.68	*****	24	24	一个	yīgè	yi1 ge4	
很多	4	0.68	*****	238	238	很多	hěnduō	hen3 duo1	very many; very much; great (quantity)
年前	3	0.51	***	36	36	年前	niánqián	nian2 qian2	before the end of the year; before the new year
一起	3	0.51	***	71	71	一起	yīqǐ	yi1 qi3	in the same place; together; with; altogether (in total)
我去	3	0.51	***	73	73	我去	wǒqù	wo3 qu4	(slang) dang!; shoot!
根本	3	0.51	***	103	103	根本	gēnběn	gen1 ben3	fundamental; basic; root; simply; absolutely (not); (not) at all; 
Classifiers: 个
这样	3	0.51	***	107	107	这样	zhèyàng	zhe4 yang4	this kind of; so; this way; like this; such
一切	3	0.51	***	145	145	一切	yīqiè	yi1 qie4	everything; every; all
没有	3	0.51	***	171	171	没有	méiyǒu	mei2 you3	haven't; hasn't; doesn't exist; to not have; to not be
阿姨	3	0.51	***	212	212	阿姨	āyí	a1 yi2	maternal aunt; step-mother; childcare worker; nursemaid; woman of similar 
age to one's parents (term of address used by child); Classifiers: 个
就是	3	0.51	***	222	222	就是	jiùshì	jiu4 shi4	(emphasizes that sth is precisely or exactly as stated); precisely; 
exactly; even; if; just like; in the same way as
相处	3	0.51	***	309	309	相处	xiāngchǔ	xiang1 chu3	to be in contact (with sb); to associate; to interact; to get along (well, 
poorly)
女孩	2	0.34	**	33	33	女孩	nǚhái	nu:3 hai2	girl; lass
天津	2	0.34	**	43	43	天津	tiānjīn	Tian1 jin1	Tianjin, a municipality in northeast China, abbr. 津
网球	2	0.34	**	44	44	网球	wǎngqiú	wang3 qiu2	tennis; tennis ball; Classifiers: 个
联系	2	0.34	**	50	50	联系	liánxì	lian2 xi4	connection; contact; relation; to get in touch with; to integrate; to link; 
to touch; variant of 联系
北京	2	0.34	**	57	57	北京	běijīng	Bei3 jing1	Beijing, capital of People's Republic of China; Peking; PRC government
你们	2	0.34	**	75	75	你们	nǐmen	ni3 men5	you (plural)
然后	2	0.34	**	77	77	然后	ránhòu	ran2 hou4	after; then (afterwards); after that; afterwards
一样	2	0.34	**	92	92	一样	yīyàng	yi1 yang4	same; like; equal to; the same as; just like
性关系	2	0.34	**	97	97	性关系	xìngguānxi	xing4 guan1 xi5	sexual relations; sexual contact; intercourse
那天	2	0.34	**	98	98	那天	nàtiān	na4 tian1	that day; the other day
下午	2	0.34	**	99	99	下午	xiàwǔ	xia4 wu3	afternoon; Classifiers: 个 ; p.m.
不可能	2	0.34	**	117	117	不可能	bùkěnéng	bu4 ke3 neng2	impossible; cannot; not able
愿意	2	0.34	**	121	121	愿意	yuànyì	yuan4 yi4	to wish; to want; ready; willing (to do sth)
关系	2	0.34	**	128	128	关系	guānxi	guan1 xi5	relation; relationship; to concern; to affect; to have to do with; guanxi; 
Classifiers: 个 ; variant of 关系
原本	2	0.34	**	142	142	原本	yuánběn	yuan2 ben3	originally; original
证据	2	0.34	**	172	172	证据	zhèngjù	zheng4 ju4	evidence; proof; testimony
后来	2	0.34	**	178	178	后来	hòulái	hou4 lai2	afterwards; later
一直	2	0.34	**	180	180	一直	yīzhí	yi1 zhi2	straight (in a straight line); continuously; always; from the beginning of 
... up to ...; all along
喜欢	2	0.34	**	186	186	喜欢	xǐhuan	xi3 huan5	to like; to be fond of
同意	2	0.34	**	203	203	同意	tóngyì	tong2 yi4	to agree; to consent; to approve
晚饭	2	0.34	**	206	206	晚饭	wǎnfàn	wan3 fan4	evening meal; dinner; supper; Classifiers: 份
宇宙	2	0.34	**	218	218	宇宙	yǔzhòu	yu3 zhou4	universe; cosmos
很大	2	0.34	**	219	219	很大	hěndà	hen3 da4	tremendous
你的	2	0.34	**	280	280	你的	nǐde	ni3 de5	your; yours
日子	2	0.34	**	311	311	日子	rìzi	ri4 zi5	day; a (calendar) date; days of one's life
很好	2	0.34	**	321	321	很好	hěnhǎo	hen3 hao3	well
可以	2	0.34	**	363	363	可以	kěyǐ	ke3 yi3	can; may; possible; able to; not bad; pretty good
好像	2	0.34	**	373	373	好像	hǎoxiàng	hao3 xiang4	as if; to seem like
这个	2	0.34	**	404	404	这个	zhège	zhe4 ge5	this; this one
的话	2	0.34	**	449	449	的话	dehuà	de5 hua4	if (coming after a conditional clause)
没有办法	2	0.34	**	455	455	没有办法	méiyǒubànfǎ	mei2 you3 ban4 fa3	there is nothing to be done; one can't do anything about it
离婚	2	0.34	**	456	456	离婚	líhūn	li2 hun1	to divorce; divorced from (one's spouse)
可是	2	0.34	**	466	466	可是	kěshì	ke3 shi4	but; however; (used for emphasis) indeed
侮辱	2	0.34	**	492	492	侮辱	wǔrǔ	wu3 ru3	to insult; to humiliate; dishonor
一个样	2	0.34	**	577	577	一个样	yīgeyàng	yi1 ge5 yang4	same as 一样 ; the same
知道	1	0.17	*	2	2	知道	zhīdào	zhi1 dao4	to know; to become aware of; also pr. [zhi1 dao5]
说不清楚	1	0.17	*	3	3	说不清楚	shuōbùqīngchǔ	shuo1 bu4 qing1 chu3	
有用	1	0.17	*	8	8	有用	yǒuyòng	you3 yong4	useful
还是	1	0.17	*	10	10	还是	háishi	hai2 shi5	or; still; nevertheless; had better
说出	1	0.17	*	12	12	说出	shuōchū	shuo1 chu1	to speak out; to declare (one's view)
多么	1	0.17	*	16	16	多么	duōme	duo1 me5	how (wonderful etc); what (a great idea etc); however (difficult it may be 
etc); (in interrogative sentences) how (much etc); to what extent
虚伪	1	0.17	*	18	18	虚伪	xūwěi	xu1 wei3	false; hypocritical; artificial; sham
不堪	1	0.17	*	19	19	不堪	bùkān	bu4 kan1	cannot bear; cannot stand; utterly; extremely
承认	1	0.17	*	21	21	承认	chéngrèn	cheng2 ren4	to admit; to concede; to recognize; recognition (diplomatic, artistic etc); 
to acknowledge
不是	1	0.17	*	23	23	不是	búshi	bu2 shi5	fault; blame
大概	1	0.17	*	34	34	大概	dàgài	da4 gai4	roughly; probably; rough; approximate; about; general idea
张高丽	1	0.17	*	37	37	张高丽	zhānggāolì	Zhang1 Gao1 li4	Zhang Gaoli (1946-), PRC politician
副总理	1	0.17	*	38	38	副总理	fùzǒnglǐ	fu4 zong3 li3	vice-premier; vice prime minister; deputy prime minister
退休	1	0.17	*	40	40	退休	tuìxiū	tui4 xiu1	to retire; retirement (from work)
中心	1	0.17	*	45	45	中心	zhōngxīn	zhong1 xin1	center; heart; core; Classifiers: 个
大夫	1	0.17	*	48	48	大夫	dàfū	da4 fu1	senior official (in imperial China)
打球	1	0.17	*	55	55	打球	dǎqiú	da3 qiu2	to play ball; to play with a ball
大厦	1	0.17	*	61	61	大厦	dàshà	da4 sha4	(used in the names of grand buildings such as 百老汇大厦 Broadway Mansions (in 
Shanghai) or 帝国大厦 Empire State Building etc)
上午	1	0.17	*	62	62	上午	shàngwǔ	shang4 wu3	morning; Classifiers: 个
妻子	1	0.17	*	68	68	妻子	qīzi	qi1 zi5	wife; Classifiers: 个
你家	1	0.17	*	82	82	你家	nǐjiā	ni3 jia1	
房间	1	0.17	*	84	84	房间	fángjiān	fang2 jian1	room; Classifiers: 间
多年	1	0.17	*	87	87	多年	duōnián	duo1 nian2	many years
没想到	1	0.17	*	104	104	没想到	méixiǎngdào	mei2 xiang3 dao4	didn't expect
在外	1	0.17	*	110	110	在外	zàiwài	zai4 wai4	outer; excluded
因为	1	0.17	*	114	114	因为	yīnwèi	yin1 wei4	because; owing to; on account of
相信	1	0.17	*	118	118	相信	xiāngxìn	xiang1 xin4	to be convinced (that sth is true); to believe; to accept sth as true
老婆	1	0.17	*	119	119	老婆	lǎopó	lao3 po2	(coll.) wife
一次性	1	0.17	*	127	127	一次性	yīcìxìng	yi1 ci4 xing4	one-off (offer); one-time; single-use; disposable (goods)
常委	1	0.17	*	132	132	常委	chángwěi	chang2 wei3	member of standing committee
埋藏	1	0.17	*	143	143	埋藏	máicáng	mai2 cang2	to bury; to hide by burying; hidden
在心	1	0.17	*	146	146	在心	zàixīn	zai4 xin1	
既然	1	0.17	*	148	148	既然	jìrán	ji4 ran2	since; as; this being the case
打算	1	0.17	*	152	152	打算	dǎsuàn	da3 suan4	to plan; to intend; to calculate; plan; intention; calculation; 
Classifiers: 个
负责	1	0.17	*	153	153	负责	fùzé	fu4 ze2	to be in charge of; to take responsibility for; to be to blame; 
conscientious
为何	1	0.17	*	154	154	为何	wèihé	wei4 he2	why
还要	1	0.17	*	155	155	还要	háiyào	hai2 yao4	
回来	1	0.17	*	156	156	回来	huílai	hui2 lai5	to return; to come back
留下	1	0.17	*	176	176	留下	liúxià	liu2 xia4	to leave behind; to stay behind; to remain; to keep; not to let (sb) go
否认	1	0.17	*	181	181	否认	fǒurèn	fou3 ren4	to declare to be untrue; to deny
确是	1	0.17	*	183	183	确是	quèshì	que4 shi4	certainly
否则	1	0.17	*	189	189	否则	fǒuzé	fou3 ze2	if not; otherwise; else; or else
不可	1	0.17	*	192	192	不可	bùkě	bu4 ke3	cannot; should not; must not
接触	1	0.17	*	194	194	接触	jiēchù	jie1 chu4	to touch; to contact; access; in touch with
还有	1	0.17	*	210	210	还有	háiyǒu	hai2 you3	furthermore; in addition; still; also
廉洁	1	0.17	*	211	211	廉洁	liánjié	lian2 jie2	honest; not coercive; honesty; integrity; incorruptible
地球	1	0.17	*	221	221	地球	dìqiú	di4 qiu2	the earth; Classifiers: 个
人类	1	0.17	*	229	229	人类	rénlèi	ren2 lei4	humanity; human race; mankind
还说	1	0.17	*	236	236	还说	háishuō	hai2 shuo1	to add (in speaking); to also say
放下	1	0.17	*	243	243	放下	fàngxià	fang4 xia4	to lay down; to put down; to let go of; to relinquish; to set aside; to 
lower (the blinds etc)
思想包袱	1	0.17	*	244	244	思想包袱	sīxiǎngbāofu	si1 xiang3 bao1 fu5	sth weighing on one's mind
并不	1	0.17	*	249	249	并不	bìngbù	bing4 bu4	not at all; emphatically not
从未	1	0.17	*	261	261	从未	cóngwèi	cong2 wei4	never
忘记	1	0.17	*	262	262	忘记	wàngjì	wang4 ji4	to forget
情感	1	0.17	*	281	281	情感	qínggǎn	qing2 gan3	feeling; emotion; to move (emotionally)
是的	1	0.17	*	284	284	是的	shìde	shi4 de5	yes, that's right; variant of 似的
感情	1	0.17	*	290	290	感情	gǎnqíng	gan3 qing2	emotion; sentiment; affection; feelings between two persons; Classifiers: 个 
,种
东西	1	0.17	*	292	292	东西	dōngxi	dong1 xi5	thing; stuff; person; Classifiers: 个
复杂	1	0.17	*	294	294	复杂	fùzá	fu4 za2	complicated; complex
说不清	1	0.17	*	295	295	说不清	shuōbùqīng	shuo1 bu4 qing1	
日后	1	0.17	*	298	298	日后	rìhòu	ri4 hou4	sometime; someday (in the future)
再次	1	0.17	*	300	300	再次	zàicì	zai4 ci4	one more time; again; one more; once again
打开	1	0.17	*	301	301	打开	dǎkāi	da3 kai1	to open; to show (a ticket); to turn on; to switch on
挺好	1	0.17	*	328	328	挺好	tǐnghǎo	ting3 hao3	very good
近代	1	0.17	*	331	331	近代	jìndài	jin4 dai4	the not-very-distant past; modern times, excluding recent decades; (in the 
context of Chinese history) the period from the Opium Wars until the May 
4th Movement (mid-19th century to 1919); capitalist times (pre-1949)
历史	1	0.17	*	332	332	历史	lìshǐ	li4 shi3	history; Classifiers: 门
远古	1	0.17	*	335	335	远古	yuǎngǔ	yuan3 gu3	antiquity; ancient times
时代	1	0.17	*	336	336	时代	shídài	Shi2 dai4	age; era; epoch; period (in one's life); Classifiers: 个 ; age; era; epoch; 
period (in one's life); Classifiers: 个
万物	1	0.17	*	341	341	万物	wànwù	wan4 wu4	all living things
知识	1	0.17	*	343	343	知识	zhīshi	zhi1 shi5	knowledge; Classifiers: 门 ; intellectual
谈到	1	0.17	*	345	345	谈到	tándào	tan2 dao4	to refer to; to speak about; to talk about
经济	1	0.17	*	346	346	经济	jīngjì	jing1 ji4	economy; economic
哲学	1	0.17	*	347	347	哲学	zhéxué	zhe2 xue2	philosophy; Classifiers: 个
话题	1	0.17	*	352	352	话题	huàtí	hua4 ti2	subject (of a talk or conversation); topic
下棋	1	0.17	*	354	354	下棋	xiàqí	xia4 qi2	to play chess
唱歌	1	0.17	*	355	355	唱歌	chànggē	chang4 ge1	to sing a song
乒乓球	1	0.17	*	357	357	乒乓球	pīngpāngqiú	ping1 pang1 qiu2	table tennis; ping-pong; table tennis ball; Classifiers: 个
桌球	1	0.17	*	358	358	桌球	zhuōqiú	zhuo1 qiu2	table tennis; table tennis ball (Tw); billiards; pool; snooker (HK, 
Singapore, Malaysia)
包括	1	0.17	*	359	359	包括	bāokuò	bao1 kuo4	to comprise; to include; to involve; to incorporate; to consist of
永远	1	0.17	*	362	362	永远	yǒngyuǎn	yong3 yuan3	forever; eternal
不亦乐乎	1	0.17	*	366	366	不亦乐乎	bùyìlèhū	bu4 yi4 le4 hu1	lit. isn't that a joy? (quote from Confucius); fig. (jocularly) extremely; 
awfully
性格	1	0.17	*	367	367	性格	xìnggé	xing4 ge2	nature; disposition; temperament; character; Classifiers: 个
那么	1	0.17	*	369	369	那么	nàme	na4 me5	like that; in that way; or so; so; so very much; about; in that case
合得	1	0.17	*	371	371	合得	hédé	he2 de2	
