term	description
国务院部委	ministries and commissions directly under the State Council
增收节支	increase revenue and cut government expenditure 4
反对"台独"	"Oppose the 'Independence of Taiwan'"
国家不分大小，应该一律平等	"All countries, big or small, should be equal."
一个中国的原则是和平统一的基础	"The One-China Principle is the foundation and prerequisite for peaceful reunification"
发展和平友好、平等互利、长期稳定的关系	"To develop relations of peace and friendship, equality and mutual benefit, and prolonged stability"
祝（某国）国家繁荣人民幸福	"Wish prosperity to ... and well-being to its people"
乒乓外交	ping-pong diplomacy
穿梭外交	shuttle diplomacy
中国共产党第十七次全国代表大会	17th National Congress of Communist Party of China (17th NCCPC)
二百海里海洋权	200-nautical-mile maritime rights
战败国	a defeated country
阿拔斯王朝	Abbasid dynasty
ABC戰爭	ABC war: a general term for war involving weapons of mass destructions (WMD), especially atomic (nuclear), biological, and chemical weapons. See weapons of mass destruction (WMD).
缺席投票	absence voting
绝对收益	absolute gain
专制政府/绝对专制主义	absolute government / absolutism
加快经济结构调整	accelerate economic restructuring
偶然的戰爭	accidental war: in the modern age, the unintentional launching of a nuclear attack because of a mistake or miscalculation.
向...派遣的	accredited to ...
法令	act
坚持解放思想、实事求是的思想路线，弘扬与时俱进的精神	"Adhere to the ideological guideline of emancipating the mind, seeking truth from facts, and upholds the spirit of advancing with time."
审判	adjudication
行政	administration
政委员	administrative board
行政法院	administrative court
行政法庭	administrative tribunal
与时俱进	advance with the times 4
发达工业国家	advanced industrial nations
咨询和同意	advice and consent
顾问	adviser
鼓励性行动,積極行動Jījí xíngdòng	affirmative action Giving preferential treatment to a socially or economically disadvantaged group in com pensation for opportunities denied by past discrimination.
地理大发现时代	Age of Exploration
空军武官	air attaché
空军	air force
空权	air power
异化	alienation
中华全国工商联合会	All China Federation of Industry and Commerce
中华全国归国华侨联合会	All China Federation of Returned Overseas Chinese
中华全国□□□同胞联谊会	All China Federation of Taiwan Compatriots
中华全国总工会	All China Federation of Trade Unions
中华全国新闻工作者协会	All China Journalists' Association
中华全国体育总会	All China Sports Federation
中化全国妇女联合会	All China Women's Federation
中华全国青年联合会	All China Youth Federation
全面小康社会	all-round well-off society 6
候补委员	alternate member
利他主义	altruism
特命全权大使	ambassador extraordinary and plenipotentiary
无任所大使	ambassador-at-large
美利坚霸权	American hegemony
美洲印第安文明	American Indian Civilization
美國獨立戰爭（1775-1783）	American Revolution (1775-1783) Also called the War of Independence and the Revolutionary War, this epoch-making event led to the end of British rule over the 13 colonies.
大赦国际	Amnesty International
诚挚友好的气氛	an atmosphere of cordiality and friendship
国际法准则	an established principle of international law
无政府主义	anarchism
无政府状态	anarchy
公告,通告	announcement
南極條約	Antarctic Treaty: an international agreement that prohibits all military activity on the Antarctic continent and allows for inspection of all nations' facilities there. It also nullifies allterritorial claims to Antarctic land and pledges the signatories to peaceful cooperation in exploration and research.
现实主义理论渊源	antecedents of realist theory
反犹太主义	anti-semitism
反核运动	antinuclear movements
反托拉斯法	antitrust law
種族隔離制度	apartheid system: the South African system designed to perpetuate racial domination by whites prior to the advent of black majority rule there in the early 1990s.
绥靖	appeasement
上訴法院	appellate court: a court that reviews cases on appeal from district courts.
同意投票	approval voting
仲裁	arbitration
军队/武装力量	armed force (two terms)
军备控制	arms control
军火商	arms dealer, merchant of death
軍備競賽	arms race: reciprocal military buildups between rival states; a process that tends to accelerate research, technology, and development in weapons systems and, according to some experts, is a potential cause of war.
邦联条例	Articles of Confederation
东南亚国家联盟	ASEAN, the Association of Southeast Asian nations
小亚细亚	Asia Minor
亞洲流感	Asian flu: A term used to describe the widespread financial turmoil in Asian stock markets, financial institutions, and economies in 1997.
部长助理	Assistant Minister
联系协定	association agreement
中国国际交流协会	Association for Int'l Understanding of China
确保摧毁	assured destruction
庇护；避难	asylum (two terms)
信息不对称	asymmetric information
不对称战略	asymmetrical strategy
应...邀请	at the invitation of...
大西洋联盟	Atlantic Alliance
大西洋宪章	Atlantic Charter
原子弹	atomic bomb
暴行	atrocity
随员	attaché
审计署	auditing administration
自给自足	autarky
独裁主义，权威主义,專制國家	authoritarianism (2)
自治	autonomous
轴心国	Axis Powers
国际收支	balance of payments
