term	Meaning
你呀	Indicating that the speaker is dissatisfied with thr person whom he is talking to 2
手痒痒	Someone is eager to do something.
穿不出去	Because clothing is not good-looking, not fashionable or not suitable, someone does not want to wear it outside, he/she is embarrassed that someone else will laugh at him/her (那件大衣看来是绝对旧得-了)
追时髦	Follow the fashion.
不就得了	Rhetorical question indicating "OK, all right; it's good enough." Often implies that the speaker is dissatisfied or impatient.
你看你 (-比赛能赢吗？ Do you reckon you could win the game?)	Indicates dissatisfaction or criticism
左一（）右一（）	Indicates a considerable amount.
让我说你什么好	The speaker is so dissatisfied with the person he is speaking with that he cannot find proper words to express his dissatisfaction.
听不进去 (他对批评-, 老师对我们的请求一点都-)	Not accept other's opinion or suggestion
一年到头 (他们-干农活)	Whole year
没面子	Lose face 3
看人家	The speaker admires someone.
动词+的什么似的	The action is to such degree that there is no way to express clearly.
又来的	The speaker has no patience with someone's repated words, usually complains.
换脑筋	Change one's old or traditional opinions.
（A）+动词+不过+（B）	(A) cannot surpass (B).
怎么也得 (-跟我们呆在一起 Do stay with us!)	(The speaker's estimate or guess) at least
爱（）就（）	One should do whatever he prefers, no one could interfere with his choice. It can also mean one does not care about what other people do.
喝西北风 (这些老板指望他们的工人-过日子)	Have no food; starve
说的比唱得还好听 (他- His glib talk sounds as sweet as a song)	One's deeds do not match one's words (contains the speaker's mock or discontent)
不定	Hard to say, hard to predict. It must be followed by an interrogative word, or a phrase composed of affirmative form plus negative form.
看你说的	The speaker disagrees with what the other person said.
耳旁风 (如果她知道你把她的忠告当成-，她会很伤心的 She would feel heart-broken if she knew that her advice to you had fallen on deaf ears)	Unheeded advice
后悔药 (如谚语所说，-难吃。 It is no use crying over split milk, as the proverb said)	"Medicine for remorse"
爱+动词+不+动词	The speaker does not care about what somebody does (implies resentfullness or impatience).
那一套 (我不信你- I won't buy your story; 又是-老玩意儿！ The same old game!; 他-我受够了 I have enough of him)	A way of saying something or doing something (derogatory)
（动词）+砸了 (搞- Blow it/Screw up; 事儿办- The job was bungled; 戏演- The play is badly performed)	Fail or not succeed in doing something
只不过。。。罢了	Only; just.
那块料	Someone is (not) suited to do something.
走下坡路 他正在- He is on the downward path; 近来生意在- Business has been going downhill recently; 这个运动员已开始- The player is over the hill; 他的事业已经-了 His career has been on the down grade; 西方社会是在-吗? Is Western society going downhill?)	To become worse and worse
没戏 (完了，工作吹了，我-了 That is it. I blow it. I am out)	Impossible or beyond hope
节骨眼 你来得正是-上! You've come in the nick of time!; 事情已到了-上 The matter has been brought to a crisis)	Vital or critical time (
当回事 (他不把我忠告- He thought light of my advice; 我根本不把他说的- I wouldn't take what he said seriously; 不拿他- pay no attention to him)	Attach importance to something
想得开 (这老太太最-了 The old lady always looks at the bright side of things)	Not take a matter to heart
得了吧 (-，你为什么这样做？ Come on .Why did you do it? 哦，-。他实际上并不那么糟。 Oh, come on. He is not so bad actually)	The speaker does not agree with the person he is speaking to
没心没肺	Someone is not very calculating, a little gullible or empty-headed.
小聪明 (他想捉弄我以卖弄- He tried to be clever at my expense; 也许你可以靠-混日子，但我不希望你这样 Perhaps you may live by your wits , but I do not hope so)	Cleverness in trivial matters; be sharp-witted but petty-minded
往心里去 (别人怎么说，别- Never mind what people say)	Care about 4
往好里说（）往怀里说	The speaker addresses both sides of an issue, praising and blaming. But the speaker's main meaning is blaming.
钻牛角尖 (你正在- you are heading into a blind alley)	To care about an insignificant or insoluble problem
跟（）过不去	Baffle or create difficulties for somebody.
说白了 (-, 他不喜欢你 The plain truth is that he doesn't like you)	Speak in simple and clear words (functions as an adverb)
打不精神来 (卡尔被工作弄得-起- Carl is cheesed off with his job)	Not in high spirits, or depressed, and without intereest in anything
托（）后退	Hold somebody back; be a drag on somebody.
抬不起头来 (他似乎给自己的错误压得-了。 He seemed to be weighed down by is own mistakes; 如果你被送进监狱，你的家人在本城就会再也- If you had been sent to prison, your family would never have been able to hold up their heads in this town again.)	Hang one's head; feel shame
亏	Indicating dissatisfaction or criticism in a mocking tone.
小菜一碟 (那次词汇测试真是-)	Very simple; easy to do
一把好手 (她是做菜的-)	A person who is good at something
露一手 (比尔想-，给安留下一个好印象; 一有机会总要- seize every opportunity to show off)	Show off one's skill
整个一个	Completely or wholly.
没的说	OK, of course, no problem.
不像话 这种行为真- Such behaviour is really shocking; 这样对待一个朋友, 真-! What a shitty way to treat a friend)	One's speech or behavior is unacceptable or wrong. It expresses the speaker's discontent or blame
这不	Used only in dialogue and must be followed by a pause. Introduces evidence in support of the previous statement.
够可以的 (我觉得整个事情已经-了 I feel the whole thing has gone far enough)	One has reached a high level or degree (of either good or evil)
一口咬定 (有人-他是强盗 Someone swore a charge against him as a robber)	Speak with certainty, no doubt
话里话外	One's words contain other impolite meanings.
费口舌 (要说服他很- It requires a lot of talking to convince him; 事情既已决定，人们劝我们不必多- We were told to save our breath because the matter had already been decided)	Do a lot of talking
闹了半天	Know the reason or fact after a long talk.
这把年纪 (上了- be getting on in years)	Very old
说到底 (-， 这是人品问题 In the final analysis, it's a matter of honesty; 他们的吵架-是为钱 Their quarrel comes down to money)	In the final analysis; at bottom
形容词+到哪儿去	Rhetorical question indicating "OK, all right; it's good enough." Often implies that Rhetorical question, meaning "BU + adjective".
半熟脸	Know somebody but not very well.
好说话 (他这人- He is easily persuaded; 他-，容易妥协 He is tolerant and gives in easily)	(Someone) has a good temper or is not stubborn or easy to be persuaded
留一手	Keep something just in case (or in preparation for some major occurence).
派上用场 (那可能可以- It might come in handy; 像这种时候，男人可真-了 Men sure come in handy at times like this)	Useful
气不够	Too angry to tolerate.
划不来 (这股票- This stock is a bad buy	Not worth it
