description	term
maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè]	阿姨 ā yí
modal particle ending sentence, showing affirmation, approval, or consent	啊 a
low; short (in length)	矮 ǎi
to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè]	爱好 ài hào
quiet; peaceful; calm	安静 ān jìng
to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle	把 bǎ
to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically	搬 bān
team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè]	班 bān
half; semi-; incomplete; (after a number) and a half	半 bàn
means; method; way (of doing sth); CL:條|条[tiáo],個|个[gè]	办法 bàn fǎ
an office; business premises; a bureau; CL:間|间[jiān]	办公室 bàn gōng shì
to help; to lend a hand; to do a favor; to do a good turn	帮忙 bāng máng
to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè],隻|只[zhī]	包 bāo
to eat till full; satisfied	饱 bǎo
north; the northern part a country; China north of the Yellow River	北方 běi fāng
the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory	背 bèi
nose; CL:個|个[gè],隻|只[zhī]	鼻子 bí zi
compare; contrast; fairly; comparatively; relatively; quite; rather	比较 bǐ jiào
competition (sports etc); match; CL:場|场[chǎng],次[cì]	比赛 bǐ sài
to have to; must; compulsory; necessarily	必须 bì xū
change; variation; to change; to vary; CL:個|个[gè]	变化 biàn huà
to express; to show; to say; to state; to indicate; to mean	表示 biǎo shì
play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng]	表演 biǎo yǎn
guesthouse; CL:個|个[gè],家[jiā]	宾馆 bīn guǎn
icebox; freezer cabinet; refrigerator; CL:臺|台[tái],個|个[gè]	冰箱 bīng xiāng
ability; talent; endowment; gift; an expert; only (then); only if; just	才 cái
menu; CL:份[fèn],張|张[zhāng]	菜单 cài dān
to participate; to take part; to join	参加 cān jiā
