description	term
shake; to rock	摇 yáo
to bite; to nip	咬 yǎo
otherwise; or; or else; how about...? (one choice or the other); either this, or else...	要不 yào bù
if	要是 yào shi
night	夜 yè
liquid	液体 yè tǐ
business; profession; CL:個|个[gè]	业务 yè wù
spare time; amateur; extra-curricular	业余 yè yú
(for) a lifetime	一辈子 yí bèi zi
in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day	一旦 yí dàn
to have a pleasant journey; Bon voyage!	一路平安 yí lù píng ān
still; as before	依然 yī rán
unanimous; identical (views or opinions)	一致 yí zhì
to move; movement; migration; mobile; portable	移动 yí dòng
regret; pity; sorry	遗憾 yí hàn
to immigrate; to migrate; emigrant; immigrant	移民 yí mín
a question; sth not understood; to query; interrogative (gramm.); CL:個|个[gè]	疑问 yí wèn
second of 10 heavenly stems 十天干; second in order; letter "B" or roman "II" in list "A, B, C", or "I, II, III" etc; second party (in legal contract, usually 乙方|乙方[yǐ fāng], as opposed to 甲方|甲方[jiǎ fāng]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)	乙 yǐ
as well as; too; and	以及 yǐ jí
since (a previous event)	以来 yǐ lái
to comment; to talk about; to discuss; discussion; CL:個|个[gè]	议论 yì lùn
unexpected; accident; mishap; CL:個|个[gè]	意外 yì wài
duty; obligation; commitment; volunteer duty; CL:項|项[xiàng]; mandatory; voluntary	义务 yì wù
meaning; significance; CL:個|个[gè]	意义 yì yì
therefore; as a result; thus; and as a result, ...	因而 yīn ér
element; factor; CL:個|个[gè]	因素 yīn sù
silver; silver-colored; relating to money or currency	银 yín
handsome	英俊 yīng jùn
hero; CL:個|个[gè]	英雄 yīng xióng
to meet; to welcome; to greet	迎接 yíng jiē
nutrition; nourishment; CL:種|种[zhǒng]	营养 yíng yǎng
to do business; to trade	营业 yíng yè
shadow; reflection; CL:個|个[gè]	影子 yǐng zi
a coin; CL:枚[méi]	硬币 yìng bì
to deal with; to cope	应付 yìng fu
hardware	硬件 yìng jiàn
to accept a job offer; to apply for an advertised position	应聘 yìng pìn
to use; to apply; application; applicable	应用 yìng yòng
to embrace; to hug	拥抱 yōng bào
to crowd	拥挤 yōng jǐ
courage; valor	勇气 yǒng qì
use; application	用途 yòng tú
preferential; favorable	优惠 yōu huì
established; long	悠久 yōu jiǔ
graceful; fine; elegant	优美 yōu měi
superiority; dominance; advantage	优势 yōu shì
post office; CL:家[jiā],個|个[gè]	邮局 yóu jú
to go sight-seeing; to tour; to visit; CL:次[cì]	游览 yóu lǎn
to hesitate	犹豫 yóu yù
to deep fry	油炸 yóu zhá
advantageous; to have advantages; favorable	有利 yǒu lì
kindergarten; nursery school	幼儿园 yòu ér yuán
to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy	娱乐 yú lè
to give; to help; to get along with; and; with	与 yǔ
rather than...; 與其|与其 A 不如|不如 B (rather than A, better to B)	与其 yǔ qí
tone; manner of speaking; mood; CL:個|个[gè]	语气 yǔ qì
universe; cosmos	宇宙 yǔ zhòu
forecast	预报 yù bào
to place an order; to book ahead	预订 yù dìng
to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic	预防 yù fáng
corn; maize; CL:粒[lì]	玉米 yù mǐ
