term	description
挨宰 ái zǎi	Be overcharged; be fleeced 你-了，这东西根本不值那么多钱。You're overcharged. This thing isn't worth that much.
安检	Security check 把东西放这儿，过一下-。Put you're things here to go through the security check.
安居工程	Economy Housing Project (housing project for low income urban residents)
安乐死	Euthanasia
按揭 àn jiē	Mortage 既然利率下降了，我们就重新谈判我们过去的-合同。
暗访 àn fǎng	Interview secretly
暗箱操作	Black case work; do something stealthily by using one's power in order to Seek huge profits
奥运	Olympic Games
80后	People born in the 1980's
八卦新闻	Gossip or fluffy news
八卦 bā guà	1) rumor; gossip 2) be good a gossip
八荣八耻 bā róng bā chǐ	Socialist concept of honor and disgrace - Eight Do's and Dont's
吧女	Bar girl
吧台	Bar counter
把脉 bǎ mài	Feel the pulse; a metaphor for conducting a survey, analysis and evaluation
霸王条款	Arbitraty clause, no-traded clause (NTC)
掰 bāi	Break up; break off a friendship
白搭 bái dā	It's no use; futile 和他辩也是- It's no use arguing with him.
白骨精 bái gǔ jīng	White collar office workes who excel in their career
白话 bái hua	Make empty talk; talk big; talk nonsense; blah-blah
白金唱片	Record sales over one million copies
白领	White collar
白领犯罪	White-collar crime
白色垃圾	White garbage
白色收入	Legal income
白色污染	White pollution
百家讲坛	A forum program broadcast on CCTV, a platform to spread the knowledge of interesting people
摆平 bǎi píng	1) Solve the problem; strike a balance 我来-所有这些 2) Punish
摆谱	Keep up appearances, go on for extravagance, show off one's wealth
摆摊 bǎi tān	Set up a vendor stall along the street or in a market
斑竹 bān zhú	Board moderator
板儿寸 bǎn cùn	Closely cropped hair; bush-top
板凳 bǎn dèng	Wooden stool or bench. Term referring to the third person in a network responding to a message.
板凳队员	Be an alternate player of a team, i.e. bench warmer
版主 bǎn zhǔ	Moderator of BBS forum
扮靓 bàn liàng	1) Make beautiful; beautify 2) Make something look pretty and neat through decoration or cleaning up
扮酷 bàn kù	Play it cool
榜 bàng	1) Rely on or accompany a peron who is rich, useful or has a certain social position 2) Love, have an intimate relationship with someone They have had a relationship for over a year. One who doesn't know them might think they are a couple.
棒槌 bàng chui	Wooden club (used in the old days to beat clothes when washing them); a metaphor for a layman or an amateur
棒杀 bàng shā	Hit or strike without knowing right from wrong, scorn without full knowledge of something
包装 bāo zhuāng	Package; a metaphor for beutifying or enhancing a person or a thing
煲电话粥 bāo	Cook porridge on the telephone; a metaphor for talking on the phone too long
保廉 bǎo lián	Keep probity
报送	Recommend for the admission to a higher-level school
暴走	Walk swiftly 当我决定要做一个作家的时候，我的父亲简直要-了 When l wanted to be a writer, my father went berserk.
暴堵 bào dǔ	Traffic jam
爆炒	Quick-fry; a metaphor for launching a whirlwind mass media advertising campaign for quick and optimum commercial impact in a short period
爆棚 bào péng	Literally meaning a tent that is too crowded with people and may explode; a metaphor for something that is so popular and loved by people so that many wish to join it or go to it
背包族 bēi bāo zú	Backpacker
北漂 piào	1) To come to Beijing and lead an unsettled life there 2) Artists, actors and artisans who come to cities in northern China, particular Beijing, to develop their careers
备不住 bèi bú zhù	Perhaps, maybe 她-已经去上海了
背 bèi	Be unlucky, have bad luck
背投 bèi tóu	Rear projection screen
倍儿棒 bèi bàng	Exceptionally good; great 《量子危机》是一部-的电影
蹦迪 bèng dí	Disco dance
蹦极 bèng jí	Bungee jumping
比拼 bǐ pīn	Both sides strive to compete with all energy. (这是场爱情与理性的-，玛丽芳心归属尚未可知。It is a showdown between love and logic, and the future of Mary,s heart is at stake.)
边缘化 biān yuán huà	Be at the fringe of society, be ignored by mainstream society (对以色列的彻底批评被边缘化。Out-and-out critics of Israel are relegated to the sidelines.; 东亚经济一体化格局下台湾经济的边缘化Taiwanese Economic Marginalization under East Asian Economic Integration)
扁 biǎn	Bian, hit, strike
飙升 biāo shēng	Soar, rocket (过去五年里，油价一路飙升。The oil price has climbed dramatically in the last five years.)
并购 bìng gòu	Merger and acquasition (竞争对手-了这家公司.The company was absorbed by its competitor.)
并轨 bìng guǐ	Combination of two methods (稳步推进国有企业下岗职工基本生活保障向失业保险-。We should steadily incorporate living allowances for laid-off workers from state-owned enterprises into the unemployment insurance.)
病毒	Virus
博彩 bó cǎi	Gamble (足球-)
博客 bó kè	Blog
不待见 bú dài jian	Annoy, dislike 你站在这里干什么? 还不赶紧走，省得招人-。
不靠谱 bú kào pǔ	Not accurate or reliable in speech or action 这么重要的事怎么能让他去办呢?他这人办事可-。
不吝 bú lìn	Not care, not mind (尚希-指教。We hope that you will not stint your criticism.)
不着调 bù zháo diào	Have no relation (to a solution); have nothing to do with 别竟说些-的话，来点实际的行动。
步行街 bù zháo diào	Walking street
擦边球 cā biān qiú	Line ball; a metaphor for something close to edge of a policy, but not quite against the policy (打-)
彩铃 cǎi líng	Ring tone (for cell phones)
彩民	Lottery ticket buyer
彩票	Lottery 他只是偶尔买张-，试试运气。
采蓝子	Vegetable basket. Refers to the vegetables and subsidiary food supplied to urban citizens 随着环保意识的增强，人们对环保问题的-正在明显增强。
菜鸟	New hand, greenhorn, rookie (我只是一个-.)
参与度 cān yù dù	Degree of participation in all activities, expressing one's opinions on the problems or matters
惨 cǎn	1) awkward, pitiful, miserable 今天我可- 2) (looking) bad, poor 说实话，这小伙子人真不错，就是张得-点。
草根	Grass roots 他对媒体从不回避自己的-出身，并以此为荣。
草根文化	Populace's culture, grass roots culture
蹭吃喝 cèng chī hē	Get something free to eat and drink 这人特没劲，除了跟朋友~，什么忙都帮不上。
蹭饭 cèng fàn	Get a free meal 你这么晚来这儿，是想~的吧?
插足 chā zú	1) Gain a foothold, put one's foot in (这儿几乎没有-的地方。There's not even standing room. 2) Get involved (因为第三者-那对夫妇离婚了。;这位黑人回避直接-政治。)
茶吧	Tea bar, teahouse
茶艺	Art of tea
拆迁 chāi qiān	Raze old houses and resettle the inhabitants (-补偿费 Compensation for demolition)
超女	Super girl Originally, Super Girl was the title of a TV program now called star selection. Now it's an abbrevation for the girls performing on the program.
超前	Ahead of the times; trancsending the present 他们生产的这个产品些~
超前消费	Over consumtion; excessive consumption; premature consumtion (有人鼓励他们-或借款。They are encouraged to overspend and borrow money.)
炒股 chǎo gǔ	Engage in stock market investment 他把所有的钱都拿去~了
炒汇 chǎo huì	Arbitrage; buy and resell foreign currency at a profit
炒家	Skillful broker or speculator 新股上市吸引来了很多~。
炒楼花 chǎo lóu huā	Investment in a building that is under construction
炒邮	Buy and resell stamps
炒鱿鱼 chǎo yóu yú	Sack, dismiss, fire
炒作 chǎo zuò	to hype 他新近的电影正被媒体大肆-。His latest movie is being hyped up by the media.
扯皮 chě pí	to wrangle 眼下-的事是这所房子该归谁
诚信	Faith, honesty, credibility (-——市场经济的黄金原则 Credibility——the golden rule of market economy)
吃不了兜着走	1) Ask for a "doggy bag" 2) Get more than one bargained for; land oneself in serious trouble
吃醋 chī cù	Be jealous (听起来你-了。)
吃醋药	"Take the wrong medicine", a term that infers a person's behaviour as being a bit strange or rude and impolite
吃回扣 chī huí kòu	Accept a commission
吃请	Accept an invitation to dinner
吃香	Be in great demand, be popular, be much sought-after (现在中国到处需要英语教师， 他们很-。)
吃心	Be suspicious, be oversensitive
持币观望	Hold on to your money and wait and see; wait to invest
持卡族	(credit) cardholders
斥资 chì zī	Pay the expenses (此外，我们也会继续推行-２，３５０亿元的基建计划。 We will also press ahead with our $235 billion infrastructure programme.)
赤潮 chì cháo	Red tide
重塑 chóng sù	Recreate, reshape, remold (有些人是为了-体形。)
重组 chóng zǔ	Reorganize, reform 企业兼并- annexation and reorganization of enterprises
臭脚 chòu jiǎo	1) (of football) bad play 2) (of football) poor player
臭街了	Literally "stink the street", a fad or craze
出彩	Make something excellent; do brilliant things 你必须得相当的-
出手	1) Give someone a hand; help 2) Produce, offer, invest 3) Sell, get off one's hands (货物已经-了。 The goods have been disposed of.)
触电 chù diàn	Have one's first experience on TV or in a movie
春晚	CCTV Spring Festival Gala
纯天然 chún tiān rán	Pure natural
磁浮列车 cí xuán fú liè chē	Maglev train (magnetically levitated train)
刺儿头 cì tóu	Trublesome or difficult person (说话别带刺儿。 Don't be sarcastic.)
凑份子 còu fēn zi	1) Band together to buy a present for someone (这个班的男生们-买了一个足球。 The boys in the class clubbed together to buy a football.) 2) Add to the trouble, especially buy poking one's nose into others' business
促销 cù xiāo	Sales promotion (-一种新产品)
攒电脑 cuán diàn nǎo	Assemble a computer
窜红 cuàn hóng	Become famous or popular quickly
寸头 cùn tóu	Crew cut
搓火 cuō huǒ	Get angry; feel impatient; irritate
撮 cuō	Eat; have a meal
打白条	Write an IOU, write a note signed in acknowledgement of a debt
打车	Take a taxi
打工妹	Young woman, usually from the countryside, working in the city
打工仔 zǎi	Young man, usually from the countryside, working in the city
打黑	The cracking down on the criminal activities of underworld gangs
打假 dǎ jiǎ	Stamp out counterfeit goods
大跌眼镜 dà diē yǎn jìng	"Have one's glasses falling off"; a metaphor for something very surprising or unexpected ("科比式篮球"让全联盟-。 The way Bryant is playing has flat out stunned the league.)
大鳄 dà è	"Huge crocodile", a metaphor for the most powerful person or organ in real estate, finance or other fields or industries
大放送 dà fàng sòng	On sale, sales promotion
大换血 dà huàn xiě	"Change blood", a metaphor to adjust and change members on a large scale
大款	Very rich person, big wheel, money bag
大卖场	Hypermarket, super center, warehouse market
大派送	Give something free in large quantities
大片儿 dà piān	Big budget films that saw great box-office success
大手笔	Large-scale, very creative and influental measure or action (他~地拿出一半财产给女儿办婚事。 He lashed out half his fortune on his daughter's wedding.)
大腕儿 dà wàn	Famous person, big shot, expert, celebrity (mostly used in entertainment field)
单身贵族 dān shēn guì zú	Single aristocrat, a metaphor for a single well-off person
淡出 dàn chū	Leave (a career) without notice; gradually disappear; fade out (一个月后，这件事情将会-人们的记忆。 After one month, this matter will be only a hazy, dim memory.)
蛋白质 dàn bái zhì	Abbreviation for a foolish, idiotic, or neurotic person or thing (derogatory)
当红 dāng hóng	Be in favor, be in vouge; popular (布莱德梦想某年某月成为一名-歌手名扬天下。)
导购 dǎo gòu	Salesperson who provides guidance (for purchase)
倒胃口 dǎo wèi kǒu	1) Spoil one's appetite, upset one's stomach (这种食物使人-) 2) Kill one's interest, dampen one's spirits; be boring (一见它就- feel sick at the sight of it)
灯泡 dēng pào	Bulb, a metaphor for third wheel
低保 dī bǎo	Low (minimal) assurance; government provided assistance for low income families (中央财政预算较大幅度地增加了"-"资金，地方财政预算也必须增加所需资金。)
低调 dī diào	Low-key, low profile (尽量保持-。 Try to keep a low profile; -但是有说服力的短小著作。 a little masterpiece of low-keyed eloquence)
地球村	Global village, global community
地毯式 dì tǎn shì	"Carpet searching", a term meaning a thorough and complete investigation (他们-搜索犯人。)
第二春 dì èr chūn	Second (new) life
颠儿 diān	Go away; leave quickly
点儿背	Bad luck
点击率	Click-through rate, counter for visitors to an internet web site
电子商务	E-commerce; electronic commerce
电子书	Electronic book
电子眼	Electronic eye
吊胃口 diào wèi kǒu	Whet one's appetite; hold in suspense; tantalize (别-我的-了，告诉我考试及格没有。 Do not keep me dangling; tell me if I pass the test)
掉价 diào jià	1) (of price) go down; fall or drop in price 2) Lower one's social status, lose face
掉链子 diào liàn zi	Break down 我看看，哦，车-了
跌份 diē fēn	Lower yourself, lose face 一个教师怎么能作出这种事来，真实-
丁克 dīng kè	DINK; a term for dual income, no kids
钉子户 dīng zi hù	Recalcitrant; person or household who refuses to move and bargains for a very high compensation when their land is requisitioned for a construciton project
顶 dǐng	Support or agree; a term used on the internet, especially in BBS 我-
东东	Thing; a term used on the internet
动漫 dòng màn	Cartoon, animated film
豆腐渣工程 dòu fǔ zhā gōng chéng	Jerry-built projects
读图时间	Graphic reading time
肚皮舞 dù pí wǔ	Belly dance
断背壁 duàn bèi bì	Brokeback mountain, synonym for gay
对路子	1) Meet the requirment; satisfy the need; be just right (这使我相信我的-终于走-了。 This induced me to believe that I was at length on the right track.) 2) Be one's liking; suit one
多媒体	Multimedia
夺金 duó jīn	Win the gold medal
恶补 è bǔ	Cram; do remedial work very hard in one's study: study hard to improve one's knowledge (我父亲为了入学考试帮我-。 My father crammed me for the entrance examination)
恶搞 è gǎo	Mischief; spoof; make fun of; play a joke on someone or something (笔者认为将其简单地称为"网路-"是不恰当的。 It is inappropriate to simply regard this phenomenon as a practical joke on net.)
耳朵根子软	Soft ear; a person who is easily swayed bu other's words
二	Idiot; stupid, silly but lovely
二手车	Second-hand car
二手房	Second-hand house
二手香	Second-hand fragrance; a perfume that it is so strong that it makes other people around feel uncomfortable
二手烟 èr shǒu yān	Passive smoke
发憷 fā chù	Feel timid and uneasy, become nervous 我发现他的凝视很令人- It's the way that he stares that I find so unnerving.
发了	Make a fortune; get rich
发毛	Be afraid of, be terrified, be scared, get gooseflesh (我一遇到危险,心里就-。)
发帖子 fā tiě zi	Send a message (天啊，-之前想一想--我希望你被降级为新人。 Geez, think before you post - I hope you get demoted to a rookie.)
反腐倡廉 fǎn fǔ chàng lián	Combat corruption and build a clean government
反恐 fǎn chǎng	Anti-terrorism
反弹 fǎn tán	Rebound, rally (-传球 bounce pass; 球-越过了网 The ball bounced over the net; 楼市正- The property market is rebounding)
返券 fǎn quàn	Gift coupon returned
犯傻 fàn shǎ	1) Act foolishly, stupid (别-了!周围邻居们会怎么议论? Stop acting so goofy! What will the neighbors say?) 2) Stare blankly; be in a daze
饭局 fàn jú	Banquet, feast, dinner party
防暴 fáng bào	Anti-riot
房贷 fáng dài	Housing loan
房价 fáng jià	Housing price
房奴 fáng nú	House slave; someone who must work very hard to earn enough money to pay their mortage
房爷 fáng yé	House lender; someone who makes money by renting houses to people
非物质文化遗产	Non-material cultural heritage
费改税	Charge to tax; it refers to the substitution of adminstrative charge with tax payment
