No.	Number	Word	Character-Simplified	Character-Traditional	Animal	Key	Japanese	Phonetic Alternatives
1	One	Run	鼠 	 鼠	Rat	Shoo!	nezumi	shǔ shu shu3 shu
2	Two	Zoo	牛 	 牛	Ox / Bull / Cow	New (zoo)	ushi	niú niu niu2 niu
3	Three	Tree	虎 	 虎	Tiger	Who?	tora	hǔ hu hu3 hu
4	Four	Door	兔 	 兔	Rabbit / Hare	Two! (feet)	usagi	tù tu tu4 tu
5	Five	Hive	龙 	 龍	Dragon	Long (tails)	ryuu / tatsu	lóng long long2 long
6	Six	Sick	蛇 	 蛇	Snake / Serpent	Cher	hebi	shé she she2 she
7	Seven	Heaven	马 	 馬	Horse	Ma (is that you?)	uma	mǎ ma ma3 ma
8	Eight	Gate	羊 	 羊	Goat / Sheep	Young (sheep)	hitsuji	yáng yang yang2 yang
9	Nine	Wine	猴 	 猴	Monkey	Ho!	saru	hóu hou hou2 hou
10	Ten	Den	鸡 	 鶏	Chicken / Rooster	Gee! (we love chicken)	niwatori	jī jim ji1 ji
11	Eleven	Ball Eleven	狗 	 狗	Dog	Go Go Go!	inu / ku	gǒu gou gou3 gou
12	Twelve	Shelve	猪 	 豬	Boar / Pig	What kind of JEW are you?	inoshishi	zhū zhu zhu1 zhu
