affix	type	explanation	example
*-aĉ-*	infix	Negative affect or a poor opinion of the object or action	*skribaĉi* (to scrawl, from 'write'); *veteraĉo* (foul weather); *domaĉo*  (a hovel, from 'house'); *rigardaĉi* (to gape at, from 'look at'); *aĉa*  (rotten, awful); *aĉaĵo* (a piece of junk, from *-aĵo);**aĉigi* (to spoil,  ruin, with *-igi*)
*-adi, -ado*	suffix	frequent, repeated, or continual action; as a noun, an action or process	*kuradi* (to keep on running); *parolado* (a speech, from 'talk, speak');  *naĝado* (swimming, from 'swim'); *sangado* (bleeding, from 'blood')
*-aĵo*	suffix	a concrete manifestation; (with a noun root) a product	*manĝaĵo* (food, from 'eat'); *novaĵo* (news, a novelty, from 'new');  *glaciaĵo* (an ice[cream], from 'ice'); *bovaĵo* (beef, from 'bovine');  *konstruaĵo* (a building, from 'to build'); *aĵo* (a thing);
*-ano*	suffix	a member, follower, participant, inhabitant	*kristano* (a Christian); *vilaĝano* (a villager); *usonano* (a US  American) [cf. *amerikano* (a continental American)]; *ŝipano* (a crew  member); *samkursano* (a classmate, from 'same' and 'course'); *samideano*  (a kindred spirit, from 'same' and 'idea'); *ano* (a member)
*-aro*	suffix	a collective group without specific number	*arbaro* (a forest, from 'tree'); *vortaro* (a dictionary, from 'word' [a  set expression]); *homaro* (humanity, from 'human' [a set expression;  'crowd, mob' is *homamaso*]); *ŝafaro* (a flock of sheep); *kamparo*  (countryside, from 'field'); *ŝiparo* (a fleet of ships); *anaro* (a  society [group of members], from *-ano*); *aro* (a herd, group, set)
*-ĉjo*	suffix	masculine affectionate form; the root is truncated	*Joĉjo* (Jack); *Miĉjo* (Mike); *paĉjo* (daddy); *fraĉjo* (bro); *amiĉjo*  (dear friend)
*-ebl-*	infix	possible, "-able"	*kredebla* (believable); *videbla* (visible); *eble* (possibly)
*-ec-*	infix	an abstract quality, "-ness"	*amikeco* (friendship); *boneco* (goodness); *italeca* (Italianesque);  *infaneca* (childish, from 'infano')
*-eg-*	infix	augmentative;	*domego* (a mansion, from 'house'); *virego* (a giant, from 'man');  *librego* (a tome, from 'book'); *varmega* (boiling hot); *grandega*  (huge); *ridegi* (to guffaw, from 'laugh'); *ega* (great, humongous)
*-ejo*	suffix	a place characterized by the root word	*lernejo* (a school, from 'to learn'), *vendejo* (a store, from 'to sell'),  *juĝejo* (a court, from 'to judge'), *kuirejo* (a kitchen, from 'to cook'),  *hundejo* (a kennel, from 'dog'), *naĝejo* (swimming pool, from 'to swim');  *ejo* (a place)
*-ema*	suffix	having a propensity or tendency towards an action	*ludema* (playful), *parolema* (talkative), *kredema* (credulous, from  'believe'); *brulema* (flammable, from 'burn'); *timema* (timid); *emo*  (inclination); *malema* (unwilling, with *mal-*); *eriĝema* (friable)
*-enda*	suffix	mandatory	*pagenda* (payable); *lavenda* (must be washed); *legendaĵo* (required  reading)
*-ero*	suffix	the smallest part	*ĉenero* (a link, from 'chain'); *fajrero* (a spark, from 'fire'); *neĝero*  (a snowflake, from 'snow'); *kudrero* (a stitch, from 'sew'), *lignero* (a  splinter, from 'wood'); *panero* (a crumb, from 'bread'); *monero* (a coin,  from 'money')
*-estro*	suffix	a leader, boss	*lernejestro* (a school principal [see *-ejo*]); *urbestro* (a mayor, from  'city'); *ŝipestro* (captain of a ship); *estraro* (board of directors,  with *-aro*)
*-et-*	infix	diminutive	*dometo* (a hut, from 'house'); *libreto* (a booklet); *varmeta*  (lukewarm); *rideti* (to smile, from 'laugh'); *rompeti* (to crack,  fracture, from 'break'); *boleti* (to simmer, from 'boil'); *eta* (small,  little)
*-iĉo*	suffix	male (unofficial, neologism)	*amikiĉo* (a male friend); *knabiĉo* (a boy)
*-ido*	suffix	an offspring, young (of an animal)	*katido* (a kitten); *reĝido* (a prince, from 'king'); *arbido* (a sapling,  from 'tree'); *izraelido* (an Israelite); *ido* (a kit, pup, kid, *etc.*)
