A	name	ka_ka	kha_kha	ga_ga	gha_gha	ṅa_ṅa	ca_ca	cha_cha	ja_ja	jha_jha	ña_ña	ṭa_ṭa	ṭha_ṭha	ḍa_ḍa	ḍha_ḍha	ṇa_ṇa	ta_ta	tha_tha	da_da	dha_dha	na_na	pa_pa	pha_pha	ba_ba	bha_bha	ma_ma	ya_ya	ẏa_ẏa	ra_ra	la_la	va_va	śa_śa	ṣa_ṣa	sa_sa	ha _ha
1	Assamese	ক	খ	গ	ঘ	ঙ	চ	ছ	জ	ঝ	ঞ	ট	ঠ	ড	ঢ	ণ	ত	থ	দ	ধ	ন	প	ফ	ব	ভ	ম	য়	য	ৰ	ল	ৱ	শ	ষ	স	হ
30	Balinese	ᬓ	ᬔ 	ᬕ 	ᬖ 	ᬗ 	ᬘ 	ᬙ 	ᬚ 	ᬛ 	ᬜ 	ᬝ 	ᬞ 	ᬟ 	ᬠ 	ᬡ 	ᬢ 	ᬣ 	ᬤ 	ᬥ 	ᬦ 	ᬧ 	ᬨ 	ᬩ 	ᬪ 	ᬫ 	ᬬ 		ᬭ 	ᬮ 	ᬯ 	ᬰ 	ᬱ 	ᬲ 	ᬳ 
35	Batak	ᯂ		ᯎ		ᯝ			ᯐ		ᯠ / ᯛ						ᯖ		ᯑ		ᯉ	ᯇ		ᯅ		ᯔ			ᯒ	ᯞ	ᯞ			ᯘ	ᯂ 
36	Baybayin	.mw-parser-output .script-baybayin{font-family:"Tagalog Doctrina 1593","Baybayin Lopez","Tagalog Stylized","Noto Sans Tagalog",Code2000} ᜃ		ᜄ		ᜅ											ᜆ		ᜇ		ᜈ	ᜉ		ᜊ		ᜋ	ᜌ		ᜇ	ᜎ	ᜏ			ᜐ	ᜑ 
2	Bengali	ক	খ	গ	ঘ	ঙ	চ	ছ	জ	ঝ	ঞ	ট	ঠ	ড	ঢ	ণ	ত	থ	দ	ধ	ন	প	ফ	ব	ভ	ম	য়	য	র	ল		শ	ষ	স	হ
14	Brahmi Early	𑀓	𑀔	𑀕	𑀖	𑀗	𑀘	𑀙	𑀚	𑀛	𑀜	𑀝	𑀞	𑀟	𑀠	𑀡	𑀢	𑀣	𑀤	𑀥	𑀦	𑀧	𑀨	𑀩	𑀪	𑀫	𑀬		𑀭	𑀮	𑀯	𑀰	𑀱	𑀲	𑀳 
16	Brahmi Late																																		
15	Brahmi Middle																																		
37	Buhid	ᝃ		ᝄ		ᝅ											ᝆ		ᝇ		ᝈ	ᝉ		ᝊ		ᝋ	ᝌ		ᝍ	ᝎ	ᝏ			ᝐ	ᝑ
25	Burmese	က	ခ	ဂ	ဃ	င	စ	ဆ	ဇ	ဈ	ဉ / ည	ဋ	ဌ	ဍ	ဎ	ဏ	တ	ထ	ဒ	ဓ	န	ပ	ဖ	ဗ	ဘ	မ	ယ		ရ	လ	ဝ	ၐ	ၑ	သ	ဟ 
24	Chakma	𑄇	𑄈	𑄉	𑄊	𑄋	𑄌	𑄍	𑄎	𑄏	𑄐	𑄑	𑄒	𑄓	𑄔	𑄕	𑄖	𑄗	𑄘	𑄙	𑄚	𑄛	𑄜	𑄝	𑄞	𑄟	𑄠	𑄡	𑄢	𑄣	𑄤			𑄥	𑄦
29	Cham	ꨆ	ꨇ	ꨈ	ꨉ	ꨋ	ꨌ	ꨍ	ꨎ	ꨏ	ꨑ						ꨓ	ꨔ	ꨕ	ꨖ	ꨘ	ꨚ	ꨜ	ꨝ	ꨞ	ꨠ	ꨢ		ꨣ	ꨤ	ꨥ		ꨦ	ꨧ	ꨨ
4	Devanagari	क	ख	ग	घ	ङ	च	छ	ज	झ	ञ	ट	ठ	ड	ढ	ण	त	थ	द	ध	न	प	फ	ब	भ	म	य	य़	र	ल	व	श	ष	स	ह
5	Gujarati	ક	ખ	ગ	ઘ	ઙ	ચ	છ	જ	ઝ	ઞ	ટ	ઠ	ડ	ઢ	ણ	ત	થ	દ	ધ	ન	પ	ફ	બ	ભ	મ	ય		ર	લ	વ	શ	ષ	સ	હ
