Vowel	Assamese	Bengali	Devanagari	Gujarati	Odia	Gurmukhi	Meitei Mayek[b]	Tibetan	Lepcha	Limbu	Tirhuta	Kaithi	Sylheti Nagari	Brahmi	Tamil	Kannada	Telugu	Sinhala	Malayalam	Chakma	Burmese	Khmer[c]	Thai[d]	Lao[d]	Cham	Balinese	Javanese	Sundanese	Lontara	Rejang	Batak (Toba)	Baybayin	Buhid	Hanunuo	Tagbanwa	ISO
a	অ	অ	अ	અ	ଅ	ਅ	ꯑ	ཨ	ᰣ	ᤀ	𑒁	𑂃		𑀅	அ	ಅ	అ	අ	അ	𑄃𑄧	အ	អ	อ (อะ)	ອະ	ꨀ	ᬅ	ꦄ	ᮃ	ᨕ	ꥆ	ᯀ	ᜀ	ᝀ	ᜠ	ᝠ	a
ka	ক	ক	क	ક	କ	ਕ	ꯀ	ཀ	ᰀ	ᤁ	𑒏	𑂍	ꠇ	𑀓	க	ಕ	క	ක	ക	𑄇𑄧	က	ក	ก (กะ)	ກະ	ꨆ	ᬓ	ꦏ	ᮊ	ᨀ	ꤰ	ᯂ	ᜃ	ᝃ	ᜣ	ᝣ	ka
ā	আ	আ	आ	આ	ଆ	ਆ	ꯑꯥ	ཨཱ	ᰣᰦ	ᤀᤠ	𑒂	𑂄	ꠀ	𑀆	ஆ	ಆ	ఆ	ආ	ആ	𑄃	အာ	អា	อา	ອາ	ꨀꨩ	ᬆ	ꦄꦴ									ā
kā	কা	কা	का	કા	କା	ਕਾ	ꯀꯥ	ཀཱ	ᰀᰦ	ᤁᤠ	𑒏𑒰	𑂍𑂰	ꠇꠣ	𑀓𑀸	கா	ಕಾ	కా	කා	കാ	𑄇	ကာ	កា	กา	ກາ	ꨆꨩ	ᬓᬵ	ꦏꦴ									kā
ê	অ্যা	অ্যা	ॲ															ඇ		𑄃𑄬𑄬	အယ်		แอ	ແອ				ᮆ	ᨕᨛ	ꥆꥎ						ê
kê	ক্যা	ক্যা	कॅ															කැ		𑄇𑄬𑄬	ကယ်		แก	ແກ				ᮊᮦ	ᨀᨛ	ꤰꥎ						kê
ô			ऑ															ඈ		𑄃𑅅	အွ		(ออ)	(ອອ)				ᮉ		ꥆꥍ						ô
kô			कॉ															කෑ		𑄇𑅅	ကွ		(กอ)	(ກອ)				ᮊᮩ		ꤰꥍ						kô
i	ই	ই	इ	ઇ	ଇ	ਇ	ꯏ	ཨི	ᰣᰧ	ᤀᤡ	𑒃	𑂅	ꠁ	𑀇	இ	ಇ	ఇ	ඉ	ഇ	𑄄, 𑄃𑄨	ဣ	ឥ	อิ	ອິ	ꨁ	ᬇ	ꦆ	ᮄ	ᨕᨗ	ꥆꥇ	ᯤ	ᜁ	ᝁ	ᜡ	ᝡ	i
ki	কি	কি	कि	કિ	କି	ਕਿ	ꯀꯤ	ཀི	ᰀᰧ	ᤁᤡ	𑒏𑒱	𑂍𑂱	ꠇꠤ	𑀓𑀺	கி	ಕಿ	కి	කි	കി	𑄇𑄨	ကိ	កិ	กิ	ກິ	ꨆꨪ	ᬓᬶ	ꦏꦶ	ᮊᮤ	ᨀᨗ	ꤰꥇ	ᯂᯪ	ᜃᜒ	ᝃᝒ	ᜣᜲ	ᝣᝲ	ki
ī	ঈ	ঈ	ई	ઈ	ଈ	ਈ	ꯑꫫ	ཨཱི	ᰣᰧᰶ	ᤀᤡ᤺	𑒄	𑂆		𑀈	ஈ	ಈ	ఈ	ඊ	ഈ	𑄃𑄩	ဤ	ឦ	อี	ອີ	ꨁꨩ	ᬈ	ꦇ									ī
kī	কী	কী	की	કી	କୀ	ਕੀ	ꯀꫫ	ཀཱི	ᰀᰧᰶ	ᤁᤡ᤺	𑒏𑒲	𑂍𑂲		𑀓𑀻	கீ	ಕೀ	కీ	කී	കീ	𑄇𑄩	ကီ	កី	กี	ກີ	ꨆꨫ	ᬓᬷ	ꦏꦷ									kī
