Vowel	Thai[d]	Khmer[c]	Devanagari	Bengali	Gujarati	Gurmukhi	Tamil	Telugu	Odia	Kannada	Sinhala	Malayalam
a	อ (อะ)	អ	अ	অ	અ	ਅ	அ	అ	ଅ	ಅ	අ	അ
ka	ก (กะ)	ក	क	ক	ક	ਕ	க	క	କ	ಕ	ක	ക
ā	อา	អា	आ	আ	આ	ਆ	ஆ	ఆ	ଆ	ಆ	ආ	ആ
kā	กา	កា	का	কা	કા	ਕਾ	கா	కా	କା	ಕಾ	කා	കാ
ê	แอ		ॲ	অ্যা							ඇ	
kê	แก		कॅ	ক্যা							කැ	
ô	(ออ)		ऑ								ඈ	
kô	(กอ)		कॉ								කෑ	
i	อิ	ឥ	इ	ই	ઇ	ਇ	இ	ఇ	ଇ	ಇ	ඉ	ഇ
ki	กิ	កិ	कि	কি	કિ	ਕਿ	கி	కి	କି	ಕಿ	කි	കി
ī	อี	ឦ	ई	ঈ	ઈ	ਈ	ஈ	ఈ	ଈ	ಈ	ඊ	ഈ
kī	กี	កី	की	কী	કી	ਕੀ	கீ	కీ	କୀ	ಕೀ	කී	കീ
u	อุ	ឧ	उ	উ	ઉ	ਉ	உ	ఉ	ଉ	ಉ	උ	ഉ
ku	กุ	កុ	कु	কু	કુ	ਕੁ	கு	కు	କୁ	ಕು	කු	കു
ū	อู	ឩ	ऊ	ঊ	ઊ	ਊ	ஊ	ఊ	ଊ	ಊ	ඌ	ഊ
kū	กู	កូ	कू	কূ	કૂ	ਕੂ	கூ	కూ	କୂ	ಕೂ	කූ	കൂ
e	(เอะ)		ऎ				எ	ఎ		ಎ	එ	എ
ke	(เกะ)		कॆ				கெ	కె		ಕೆ	කෙ	കെ
ē	เอ	ឯ	ए	এ	એ	ਏ	ஏ	ఏ	ଏ	ಏ	ඒ	ഏ
kē	เก	កេ	के	কে	કે	ਕੇ	கே	కే	କେ	ಕೇ	කේ	കേ
ai	ไอ,ใอ	ឰ	ऐ	ঐ	ઐ	ਐ	ஐ	ఐ	ଐ	ಐ	ඓ	ഐ
kai	ไก,ใก	កៃ	कै	কৈ	કૈ	ਕੈ	கை	కై	କୈ	ಕೈ	කෛ	കൈ
o	(โอะ)		ऒ	অ			ஒ	ఒ		ಒ	ඔ	ഒ
ko	(โกะ)		कॊ	ক			கொ	కొ		ಕೊ	කො	കൊ
ō	โ	ឱ	ओ	ও	ઓ	ਓ	ஓ	ఓ	ଓ	ಓ	ඕ	ഓ
kō	โก	កោ	को	কো	કો	ਕੋ	கோ	కో	କୋ	ಕೋ	කෝ	കോ
au	เอา	ឳ	औ	ঔ	ઔ	ਔ	ஔ	ఔ	ଔ	ಔ	ඖ	ഔ
kau	เกา	កៅ	कौ	কৌ	કૌ	ਕੌ	கௌ	కౌ	କୌ	ಕೌ	කෞ	കൗ
r̥	ฤ	ឫ	ऋ	ঋ	ઋ			ఋ	ଋ	ಋ	සෘ	ഋ
kr̥	กฺฤ	ក្ឫ	कृ	কৃ	કૃ			కృ	କୃ	ಕೃ	කෘ	കൃ
r̥̄	ฤๅ	ឬ	ॠ	ৠ	ૠ			ౠ	ୠ	ೠ	සෲ	ൠ
kr̥̄	กฺฤๅ	ក្ឬ	कॄ	কৄ	કૄ			కౄ	କୄ	ಕೄ	කෲ	കൄ
l̥	ฦ	ឭ	ऌ	ঌ	ઌ			ఌ	ଌ	ಌ	ඏ	ഌ
kl̥	กฺฦ	ក្ឭ	कॢ	কৢ	કૢ			కౢ	କୢ	ಕೢ	කෟ	കൢ
l̥̄	ฦๅ	ឮ	ॡ	ৡ	ૡ			ౡ	ୡ	ೡ	ඐ	ൡ
kl̥̄	กฺฦๅ	ក្ឮ	कॣ	কৣ	કૣ			కౣ	କୣ	ಕೣ	කෳ	കൣ
ṁ	อํ	អំ	अं	অং	અં	ਅਂ	அஂ	అం	ଂ	అం	අං	അം
kṁ	กํ	កំ	कं	কং	કં	ਕਂ	கஂ	కం	କଂ	ಕಂ	කං	കം
ḥ	อะ (อะฮฺ)	អះ	अः	অঃ	અઃ	ਅਃ	அஃ	అః	ଃ	అః	අඃ	അഃ
kḥ	กะ (กะฮฺ)	កះ	कः	কঃ	કઃ	ਕਃ	கஃ	కః	କଃ	ಕಃ	කඃ	കഃ
k	กฺ (ก/ก์)	ក៑	क्,क्‍	ক্,ক্‍	ક્,ક્‍	ਕ੍	க்	క్	କ୍	ಕ್	ක්	ക്,ക്‍
