Vowel	a	ka	ā	kā	ê	kê	ô	kô	i	ki	ī	kī	u	ku	ū	kū	e	ke	ē	kē	ai	kai	o	ko	ō	kō	au	kau	r̥	kr̥	r̥̄	kr̥̄	l̥	kl̥	l̥̄	kl̥̄	ṁ	kṁ	ḥ	kḥ	k
Assamese	অ	ক	আ	কা	অ্যা	ক্যা			ই	কি	ঈ	কী	উ	কু	ঊ	কূ			এ	কে	ঐ	কৈ	অৗ	কৗ	ও	কো	ঔ	কৌ	ঋ	কৃ	ৠ	কৄ	ঌ	কৢ	ৡ	কৣ	অং	কং	অঃ	কঃ	ক্,ক্‍
Bengali	অ	ক	আ	কা	অ্যা	ক্যা			ই	কি	ঈ	কী	উ	কু	ঊ	কূ			এ	কে	ঐ	কৈ	অ	ক	ও	কো	ঔ	কৌ	ঋ	কৃ	ৠ	কৄ	ঌ	কৢ	ৡ	কৣ	অং	কং	অঃ	কঃ	ক্,ক্‍
Devanagari	अ	क	आ	का	ॲ	कॅ	ऑ	कॉ	इ	कि	ई	की	उ	कु	ऊ	कू	ऎ	कॆ	ए	के	ऐ	कै	ऒ	कॊ	ओ	को	औ	कौ	ऋ	कृ	ॠ	कॄ	ऌ	कॢ	ॡ	कॣ	अं	कं	अः	कः	क्,क्‍
Gujarati	અ	ક	આ	કા					ઇ	કિ	ઈ	કી	ઉ	કુ	ઊ	કૂ			એ	કે	ઐ	કૈ			ઓ	કો	ઔ	કૌ	ઋ	કૃ	ૠ	કૄ	ઌ	કૢ	ૡ	કૣ	અં	કં	અઃ	કઃ	ક્,ક્‍
Odia	ଅ	କ	ଆ	କା					ଇ	କି	ଈ	କୀ	ଉ	କୁ	ଊ	କୂ			ଏ	କେ	ଐ	କୈ			ଓ	କୋ	ଔ	କୌ	ଋ	କୃ	ୠ	କୄ	ଌ	କୢ	ୡ	କୣ	ଂ	କଂ	ଃ	କଃ	କ୍
Gurmukhi	ਅ	ਕ	ਆ	ਕਾ					ਇ	ਕਿ	ਈ	ਕੀ	ਉ	ਕੁ	ਊ	ਕੂ			ਏ	ਕੇ	ਐ	ਕੈ			ਓ	ਕੋ	ਔ	ਕੌ									ਅਂ	ਕਂ	ਅਃ	ਕਃ	ਕ੍
Meitei Mayek[b]	ꯑ	ꯀ	ꯑꯥ	ꯀꯥ					ꯏ	ꯀꯤ	ꯑꫫ	ꯀꫫ	ꯎ	ꯀꯨ	ꯑꫬ	ꯀꫬ			ꯑꯦ	ꯀꯦ	ꯑꯩ	ꯀꯩ			ꯑꯣ	ꯀꯣ	ꯑꯧ	ꯀꯧ									ꯑꯪ	ꯀꯪ	ꯑꫵ	ꯀꫵ	ꯛ
Tibetan	ཨ	ཀ	ཨཱ	ཀཱ					ཨི	ཀི	ཨཱི	ཀཱི	ཨུ	ཀུ	ཨཱུ	ཀཱུ			ཨེ	ཀེ	ཨཻ	ཀཻ			ཨོ	ཀོ	ཨཽ	ཀཽ	རྀ	ཀྲྀ	རཱྀ	ཀཷ	ལྀ	ཀླྀ	ལཱྀ	ཀླཱྀ	ཨཾ	ཀཾ	ཨཿ	ཀཿ	ཀ྄
Lepcha	ᰣ	ᰀ	ᰣᰦ	ᰀᰦ					ᰣᰧ	ᰀᰧ	ᰣᰧᰶ	ᰀᰧᰶ	ᰣᰪ	ᰀᰪ	ᰣᰫ	ᰀᰫ			ᰣᰬ	ᰀᰬ					ᰣᰨ	ᰀᰨ	ᰣᰩ	ᰀᰩ									ᰣᰴ	ᰀᰴ			
