Language	Sentence	Region
Bahasa Melayu (informal)	Ko nak pegi mane ngan basikal tu? Bole aku ikut?	Malaysia
Bahasa Malaysia (formal)	Ke mana kamu mahu/hendak pergi dengan basikal itu? Bolehkah saya ikut?	Malaysia
Bahasa Melayu (formal)	Ke mana Engkau hendak pergi dengan kereta angin itu? Bolehkah saya ikut?	Riau dan Kepulauan Riau
Bahasa Indonesia (sangat formal)	Anda/Engkau akan menaiki sepeda itu ke mana? Bolehkah saya ikut?	Indonesia
Bahasa Indonesia (semiformal)	Kamu mau naik sepeda itu ke mana? Boleh saya ikut?	Indonesia
Bahasa Betawi	Lu mau naik sepeda itu ke mané? Boleh ikut nggak?	Jakarta (Indonesia)
Bahasa Melayu  Singapura	Ke mana awak hendak pergi dengan basikal itu? Boleh saya ikut?	Singapura
Bahasa Melayu  Johor / Selangor/Riau	Kau nak pergi ke mane dengan basikal itu? Boleh saye ikut?	Malaysia bahagian selatan
Bahasa Bengkulu	Kawu endak pai ke mano kek sepedo tu? Boleh aku ikut idak?	Bengkulu]
Bahasa Jambi	Kau nak pergi ke mano naek sepedo tu? Aku biso ikut dak?	Jambi
Bahasa Palembang	Kau nak pergi ke mano naek sepedo tu? Aku pacak melok dak?	Sumatera Selatan
Bahasa Bangka	Ka nek pergi ke mane naek ketangin tu? Ku boleh ngikut dak?	Bangka
Bahasa Belitung	Ikam nak pergi ke mane naek ketangin tu? Aku bisak ngikut ndak?	Belitung
Bahasa Banjar	Ikam handak tulak ka mana basapida tu? Bulih kada' aku umpat?	Kalimantan Selatan
Bahasa Kedah	Hang nak pi manā naik geqék tu? Chek ikut buléh dak?	Malaysia bagian utara dan Thailand Selatan bagian barat
Bahasa Baling	Mu nok gi manã naik geqék tu? Ku nãk ikut buléh dãk?	Kedah (Baling, Sik dan Padang Terap), Yala, Pattani, Satun
Bahasa Terengganu	Mung nok gi mane naik sika/geqék tu? Buléh dok nok ikuk?	Terengganu (Malaysia)
Bahasa Hulu Terengganu 	Dimé/Miké nok gi duané/kuané naik sika tuh? Buléh akouh ngikuk ugé?	Hulu Terengganu (Malaysia)
Bahasa Kelantan	Démo nok gi mano naik geqék/basika/sika tuh? Buléh kawé ikuk?	Kelantan (Malaysia), Thailand Selatan bagian timur
Bahasa Pahang	Awok nok kone naik geqék/siké tu? Boleh tok kome/koi/kas/kawai/kawas ikut?	Pahang (Malaysia)
Bahasa Perak-Kuala Kangsar 	Mike nak ke mane naik siké tu? Teman nak ngékor buléh?	Kuala Kangsar (Malaysia)
Bahasa Perak Tengah	Miké nok ke mané naik sika tu? Teman nok ngekor ugé buléh?	Perak Tengah (Malaysia)
Bahasa Melayu  Penang	Hang nak pi manā naik basikal tu? Aku ikut boleh tak?	Pulau Pinang dan Perak utara (Malaysia)
Bahasa Brunei	Kamana kau babasikal ah? Bulih ku ikut?	Brunei Darussalam
Bahasa Sarawak	Ke sine kitak maok make basikal? Boleh sik kamik ngekot?	Sarawak (Malaysia)
Bahasa Melayu Sabah	Mana ko mo pigi sama itu béskal? Buli sia ikut ka?	Sabah dan Labuan (Malaysia)
Bahasa Melayu  Pontianak	Mane kitak nak pergi naik sepeda tu? Kamék bulih ikut tadak?	Kalimantan Barat
Bahasa Melayu Makassar	Mau ko/ki' bawa' kemana itu sepeda kah? Bisa Jeka' Ikut?	Sulawesi Selatan dan Barat
Bahasa Larantuka		Flores
Bahasa Kutai		Kalimantan
Minangkabau	Kau ka pai kama jo karéta angin tu? Bulih ndak dén ikuik?	Kawasan Minangkabau (daratan Sumatera Barat, separuh daratan Riau, bagian utara Bengkulu, bagian barat Jambi, pantai barat Sumatera Utara, barat daya Aceh, dan Negeri Sembilan di Malaysia)
Bahasa Melayu Negeri Sembilan	Ékau nak poie mano naik basikal tu? Boleh dén ikut?	Negeri Sembilan (Malaysia)
Rawa	Kao nak poie mano nek basika to? Buleh ikoiyt ko indo?	Gopeng (Malaysia)
