indonesian	affix-type	english	sample	translation
buka	root	open	buka pintu	open the door
bukakan	suffix	open it	bukakan pintu untuk ibu	open the door for mum
membuka	prefix	to open	membuka pintu	to open the door
membukakan	circumfix	transitive - Open 'something'	membukakan pintu untuk ibu	to open the door for mum
pembuka	prefix	instrument / person that opens	pembuka botol / pembuka pintu	bottle opener / door opener (could be a person)
pembukaan	circumfix	an opening (ceremony)	hari ini pembukaan rumah makan	today's the opening of the restaurant
bukaan	suffix	an opening (physical)	bukaan lobang kurang cukup	the opening of the hole isn't (big) enough
terbuka	prefix	to be left open	pintunya terbuka	the door is open
keterbukaan	circumfix	openness	keterbukaan adalah sikap yang penting	openness is an important trait
berbuka	prefix	to break a fast	besok pagi berbuka puasa	(I will) break my fast in the morning
