root-initial	me-rule	root-sample	me-form
vowel+h (a,e,i,o,u)	meng+root	ingat (remember)	mengingat (to remember)
c	men+root	cari (seek)	mencari (to look for)
b	mem+root	buat (make)	membuat (to make)
f	mem+root	fasilitasi (facilitate)	memfasilitasi (to facilitate)
g	meng+root	ganggu (disturb)	menggangu (to disturb)
h	meng+root	hilang (lose)	menhilang (to lose)
j	men+root	jemput (meet)	menjemput (to meet)
k	meng-drop k+root	kalah (defeat)	mengalah (to defeat)
p	mem+drop p+root	pikir (think)	memikir (to think)
s	drop s, + meny+root	sambung (connect)	menyambung (to connect)
t	drop t, + men+root	tolong (help)	menolong (to help)
