English	Malay	Indonesian	priority
after	1. selepas , 2. setelah 	1. setelah  (also used in Malay to indicate consecutive actions) , 2. sesudah , selepas 	1
airplane 	kapal terbang 	pesawat terbang 	1
airport	lapangan terbang  ('airfield' in Indonesian; similar to Dutch vliegveld ) 	bandar udara  (loan translation of the English term, commonly abbreviated as bandara ) ,  lapangan terbang 	1
apartment 	pangsapuri , rumah pangsa , rumah kondo  (only for 'condominium') 	apartemen  (influenced by Dutch appartement ) , rumah susun ( rusun ) (public housing for poor families) , kondominium 	1
area	kawasan 	daerah , area , kawasan 	1
armed forces	tentera 	tentara , angkatan bersenjata 	1
army	tentera darat 	angkatan darat 	1
August	Ogos 	Agustus  from Dutch augustus 	1
auntie	makcik  (also used in Riau Malay dialect in Indonesia) , emak saudara , ibu saudara 	bibi , tante  from Dutch 	1
automatic	automatik  (formerly otomatik ) 	otomatis  (derived from Dutch pronunciation of automatisch ) 	1
bag	beg 	tas  (from Dutch) 	1
belt (of a seat) 	tali keledar 	sabuk , ikat pinggang 	1
bicycle	basikal 	sepeda  (influenced by French velocipede ) 	1
board (company) 	lembaga  'agency' in Indonesian 	dewan 	1
boot, trunk (of a car) 	but 	bagasi 	1
bucket; pail	baldi 	ember  from Dutch emmer 	1
bus 	bas 	bus , bis  nonstandard, influenced by Dutch pronunciation 	1
bus station	stesen bas 	terminal bus ( frequently pronounced as terminal bis as it is derived from Dutch pronunciation of bus )	1
bus stop 	perhentian bas 	1. pemberhentian bus , 2. halte bus  from Dutch bushalte 	1
business 	perniagaan , bisnes 	perniagaan  (less commonly used) , bisnis 	1
camp	kem 	kamp  (reflects Dutch pronunciation) 	1
campaign	kempen 	kampanye  (from Dutch campagne (a French loanword)) 	1
can (to be able) 	boleh , dapat 	bisa , dapat ,	1
cancer	kanser , barah 	kanker  from Dutch 	1
capital city	ibu negara 	ibu kota 	1
car	kereta  (means carriage in Indonesian, commonly used as a shorthand for kereta api , which means train . Malay followed English derivation of car which was a contraction of horseless carriage ) 	mobil  (from Dutch/mid-English automobile ) 	1
card	kad 	kartu  from Dutch kaart 	1
career	kerjaya , karier 	karier 	1
carrot	lobak merah 	wortel  (from Dutch) , lobak merah [ citation needed ] 	1
case	kes 	kasus  (from Latin : casus ) , hal 	1
cash 	wang tunai 	uang tunai , kas 	1
cashier 	juruwang 	1. kasir , from Dutch kassier  2. juru uang  (rare) 	1
chilli	cili, lada  ('pepper' in Indonesian, also in Malaysian [39] ) , cabai  (used in the northern states of Malaysia) 	cabai , lombok  (from Javanese : lombok ) 	1
cinema	panggung wayang bergambar ( more popularly abbreviated as  pawagam ), panggung wayang 	1. bioskop  from Dutch bioscoop , 2. sinema 	1
city 	bandar , bandaraya  (big city) , kota 	kota , bandar  (a coastal or port city in Indonesian) 	1
coat 	kot 	jas  from Dutch jas 	1
commission	suruhanjaya 	komisi  (from Dutch commissie ) 	1
company 	syarikat 	perusahaan , firma , maskapai  (from Dutch maatschappij – almost exclusively used to refer to airline companies, i.e. maskapai penerbangan ) 	1
conclusion	kesimpulan ; konklusi ( rare )	kesimpulan , konklusi  (from Dutch conclusie ) 	1
conference 	persidangan 	konferensi  (from Dutch conferentie ),  sidang 	1
court	mahkamah 	pengadilan , mahkamah 	1
current (adjective, of time) 	semasa 	saat ini , kini , terkini , aktual  ( from Dutch actueel ) 	1
cute	comel 	imut , menggemaskan , lucu 	1
democratic	demokratik	demokratis  (from Dutch demokratisch  note : "democratic republic" (in country names) translates as republik demokratik , such as in Republik Demokratik Kongo (Democratic Republic of the Congo)) 	1
department	jabatan  ('occupation' in Indonesian)	departemen , jurusan  (for department in university) 	1
departure	pelepasan	keberangkatan , kepergian 	1
detail	terperinci	detail , detil (nonstandard) , perincian , rinci  (nonstandard) 	1
dialect	loghat	dialek , logat 	1
different – difference	beza , berbeza – perbezaan	beda , berbeda – perbedaan 	1
discount	diskaun , rebat , potongan harga	diskon , rabat , potongan harga , korting  from Dutch, less frequent 	1
domestic	dalam negara	dalam negeri , domestik 	1
driver	pemandu means guide in Indonesian	sopir  from French chauffeur through Dutch , pengemudi  formal 	1
driver's license (U.S.) driving licence (UK)	lesen memandu	surat izin mengemudi (SIM)	1
drugs (illegal )	dadah  (colloquial use in Indonesia means "goodbye")	narkoba  (an acronym for NARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)) , NAPZA  (less frequent – an acronym for NArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances)) 	1
e-mail	e-mel	surel  (standard, shortened of surat elektronik (electronic mail)) , email (rarely used in everyday language, common in online contexts (e.g. website-based registration or social account)) 	1
Easter	Easter , Paskah  strictly used for Jewish Passover	Paskah  from Portuguese Pascoa 	1
editor	penyunting	editor , penyunting , redaktur  ( from French rédacteur through Dutch – refers to editors of mass printed media ) 	1
electricity	tenaga elektrik  lit. electric energy	listrik , kelistrikan , setrum  ( from Dutch stroom ) 	1
escalator	tangga gerak	tangga berjalan , eskalator 	1
Europe	Eropah	Eropa , Europa  (nonstandard) 	1
evening	teja	sore  petang 	1
factory	kilang  ('refinery' in Indonesian)	pabrik  from Dutch fabriek 	1
fan (fanatic)	peminat	penggemar , fans  informal, from English; Indonesians always use the plural form 	1
football	bola sepak	sepakbola 	1
form (document)	borang	formulir  from Dutch formulier , borang  (nonstandard) 	1
free (of charge)	percuma  means "worthless" in Indonesian	gratis  from Dutch , cuma-cuma , cecuma  (nonstandard) 	1
furniture	perabot rumah , perkakas rumah  (In Indonesian, perkakas means equipment)	mebel  from Dutch meubelen , perabot rumah tangga , furnitur 	1
gasoline	petrol (from British English  petrol )	bensin  (from Dutch Benzine ) 	1
ginger	halia	jahe jahi halia [46] 	1
government	kerajaan  derived from raja (king) – used in Malaysia and Brunei – in Indonesian means "kingdom"	pemerintah  derived from perintah (order/instruction) – also used in Singapore, which, like Indonesia, is a republic 	1
group	sekumpulan , kumpulan	kelompok , grup  from Dutch pronunciation of groep , (per)kumpulan , (per)himpunan 	1
healthy	sihat	sehat 	1
