count	English	Malay	Indonesian	priority	sample
1	after	1. selepas , 2. setelah 	1. setelah  (also used in Malay to indicate consecutive actions) , 2. sesudah , selepas 	1	1
2	airplane 	kapal terbang 	pesawat terbang 	1	1
3	belt (of a seat) 	tali keledar 	sabuk , ikat pinggang 	1	1
4	bus 	bas 	bus , bis  nonstandard, influenced by Dutch pronunciation 	1	1
5	car	kereta  (means carriage in Indonesian, commonly used as a shorthand for kereta api , which means train . Malay followed English derivation of car which was a contraction of horseless carriage ) 	mobil  (from Dutch/mid-English automobile ) 	1	1
6	different – difference	beza , berbeza – perbezaan	beda , berbeda – perbedaan 	1	1
7	football	bola sepak	sepakbola 	1	1
8	free (of charge)	percuma  means "worthless" in Indonesian	gratis  from Dutch , cuma-cuma , cecuma  (nonstandard) 	1	1
9	music	muzik	musik 	1	1
10	naked	bogel , telanjang	telanjang , bugil  (colloquial) 	1	1
11	natural	semulajadi	alami , natural 	1	1
12	network	rangkaian  (means circuit in Indonesian)	jaringan , jejaring 	1	1
13	office	pejabat	kantor  (from Dutch kantoor ) 	1	1
14	push, to (door)	tolak  (It used as in tolak peluru ( shot put ) in Indonesian for this contex, used less primarily in Indonesian to mean 'subtract', it also means 'to refuse/reject', also common meaning in Malay when used in arithmetics)	dorong  (means "to push" in Malay, but often used to mean "to support") 	1	1
15	room	bilik  (usually means "compartment" in Indonesian)	kamar  (from Dutch kamer ) , ruang  (Javanese, for storage areas etc.) 	1	1
16	secret	rahsia	rahasia 	1	1
17	shop	kedai  (Means eateries stall in Indonesia)	toko , warung , kedai 	1	1
18	tap water	air paip  (piped water)	air keran  (from Dutch Kraan ) , air ledeng  (" ledeng " also means "plumbing", from Dutch " leiding ") 	1	1
19	telephone	telefon  (formerly talipon )	telepon 	1	1
20	television	televisyen , TV	televisi  (from Dutch televisie ) , TV 	1	1
21	toothpaste	ubat gigi	pasta gigi  odol  ( genericized from Odol , German toothpaste's brand) 	1	1
22	tree	pokok  in Indonesian means "principal" or "core" or "staple", in Sundanese  poko means authentic, e.g. authentic cuisine , pohon	pohon 	1	1
23	university	universiti	universitas 	1	1
24	until	sehingga  (means 'thus' in Indonesian) , sampai	hingga , sampai 	1	1
25	very	sangat, amat, sekali	sangat, amat, sekali, banget  (from Javanese ngoko ) 	1	1
26	want	mahu	mau , ingin 	1	1
27	when	bila , apabila , ketika , bilamana  (rarely used)	kapan, bilamana , (question word)  bila, ketika 	1	1
28	you	anda  (very formal) , awak , kamu , engkau , kau	anda  (everyday formal) , kamu  (familiar only) , engkau ('kau)  (prose) 	1	1
29	zero	sifar	nol  from Dutch nul 	1	1
30	because	kerana , sebab 	karena , sebab 	1	1
31	country	negara 	negara , negeri  in Malaysia, negeri usually refers to a state within a federation 	1	1
32	cupboard	almari  (from Portuguese armário ) 	lemari  also from armário 	1	1
33	financial	kewangan	keuangan , finansial  from Dutch financieel 	1	1
34	half past one	pukul satu setengah  (one thirty)	pukul setengah dua  (thirty to two) 	1	1
35	internet café	kafe internet , kafe  cyber	warnet  a portmanteau for " warung internet " ( lit. internet shop) 	1	1
36	local	tempatan	lokal , setempat 	1	1
37	medicine	ubat	obat 	1	1
38	post code	poskod	kode pos 	1	1
39	rabbit	arnab  (from Arabic)	kelinci  (from Dutch konijn ) 	1	1
40	refrigerator	peti sejuk  lit. cool box (rarely used in Indonesian)	lemari es , lemari pendingin  ( lit. cooler closet) , kulkas  (from Dutch koelkast ) 	1	1
41	share (verb)	berkongsi  (In Indonesian, it means "creating trading company" or "plotting something bad")	berbagi 	1	1
42	time	masa , waktu	waktu  from Arabic الوقت  ( al-Waqt ) , masa  (can be used for 'in a specific long period of time' in Indonesian) 	1	1
43	towel	tuala  (from Portuguese toalha )	handuk  (from Dutch handdoek ) 	1	1
44	union	kesatuan  (in Indonesian means "unitary")	persatuan , uni , serikat 	1	1
45	billion	seribu juta, bilion 	miliar  (from Dutch miljard ) , milyar ( informal but frequently used )	1	1
46	central	pusat 	pusat , sentral , tengah 	1	1
47	cockroach	lipas 	lipas , kecoa  (from Southern Min Chinese: ka-choa̍h – 虼蚻) 	1	1
