Letter	Name (in IPA)_Indonesia	Name (in IPA)_Malaysia, Brunei and Singapore	Sound_IPA_Malaysia, Brunei, Singapore	Sound_English equivalent
Aa	a (/a/)	e (/e/)	/a/	a as in f a ther
/ə/ ~ /a/	-	a as in sof a 	#ERR	#ERR
Bb	bé (/be/)	bi (/bi/)	/b/	b as in b ed
Cc	cé (/t͡ʃe/)	si (/si/)	/t͡ʃ/	ch as in ch eck
Dd	dé (/de/)	di (/di/)	/d/	d as in d ay
Ee	é (/e/)	i (/i/)	/ə/	e as in tol e rant
/e/	#ERR	e as in h e y	#ERR	#ERR
/e/	/ɪ/	e as in pack e t	#ERR	#ERR
/ɛ/	#ERR	e as in g e t	#ERR	#ERR
Ff	éf (/ef/)	éf (/ef/)	/f/	f as in e f fort
Gg	gé (/ge/)	ji (/d͡ʒi/)	/ɡ/	g as in g ain
Hh	ha (/ha/)	héc (/het͡ʃ/)	/h/	h as in h arm
Ii	i (/i/)	ai (/ai̯/)	/i/	i as in mach i ne, but shorter
/e/	/ɪ/	i as in i gloo	#ERR	#ERR
Jj	jé (/d͡ʒe/)	jé (/d͡ʒe/)	/d͡ʒ/	j as in j am
Kk	ka (/ka/)	ké (/ke/)	/k/	unaspirated k as in s k ate
Ll	él (/el/)	él (/el/)	/l/	l as in l et
Mm	ém (/em/)	ém (/em/)	/m/	m as in m all
Nn	én (/en/)	én (/en/)	/n/	n as in n et
Oo	o (/o/)	o (/o/)	/o/	o as in o we
/o/	/ʊ/ 	#ERR	#ERR	#ERR
/ɔ/	#ERR	o as in b ough t, but shorter	#ERR	#ERR
Pp	pé (/pe/)	pi (/pi/)	/p/	unaspirated p as in s p eak
Qq	ki (/ki/)	kiu (/kiu/ or /kju/)	/q/ ~ /k/	q as in Q atar
Rr	ér (/er/)	ar (/ar/ or /a:/)	/r/	Spanish rr as in pue rr o
Ss	és (/es/)	és (/es/)	/s/	s as in s un
Tt	té (/te/)	ti (/ti/)	/t/	unaspirated t as in s t ill
Uu	u (/u/)	yu (/ju/)	/u/	u as in r u le, but shorter
/o/	/ʊ/	oo as in f oo t	#ERR	#ERR
Vv	vé (/ve/ or /fe/)	vi (/vi/)	/v/ ~ /f/	v as in v an
Ww	wé (/we/)	dabel yu (/dabəlˈju/)	/w/	w as in w et
Xx	éks (/eks/)	éks (/eks/)	/ks/	x as in bo x 
/z/	/s/	x as in x enon	#ERR	#ERR
Yy	yé (/je/)	wai (/wai̯/)	/j/	y as in y arn
Zz	zét (/zet/)	zed (/zed/)	/z/	z as in z ebra
