Language	Sentence	Region
Bahasa Melayu (informal)	Ko nak pegi mane ngan basikal tu? Bole aku ikut?	Malaysia
Bahasa Malaysia (formal)	Ke mana kamu mahu/hendak pergi dengan basikal itu? Bolehkah saya ikut?	Malaysia
Bahasa Melayu (formal)	Ke mana Engkau hendak pergi dengan kereta angin itu? Bolehkah saya ikut?	Indonesia Riau
Bahasa Indonesia (sangat formal)	Anda/Engkau akan menaiki sepeda itu ke mana? Bolehkah saya ikut?	Indonesia
Bahasa Indonesia (semiformal)	Kamu mau naik sepeda itu ke mana? Boleh saya ikut?	Indonesia
Bahasa Betawi	Lu mau naik sepeda itu ke mané? Boleh ikut nggak?	Indonesia Jakarta
Bahasa Melayu  Singapura	Ke mana awak hendak pergi dengan basikal itu? Boleh saya ikut?	Singapore
Bahasa Melayu  Johor / Selangor/Riau	Kau nak pergi ke mane dengan basikal itu? Boleh saye ikut?	Malaysia South
Bahasa Bengkulu	Kawu endak pai ke mano kek sepedo tu? Boleh aku ikut idak?	Indonesia Bengkulu
Bahasa Jambi	Kau nak pergi ke mano naek sepedo tu? Aku biso ikut dak?	Indonesia Jambi
Bahasa Palembang	Kau nak pergi ke mano naek sepedo tu? Aku pacak melok dak?	Indonesia South Sumatra
Bahasa Bangka	Ka nek pergi ke mane naek ketangin tu? Ku boleh ngikut dak?	Indonesia Bangka
Bahasa Belitung	Ikam nak pergi ke mane naek ketangin tu? Aku bisak ngikut ndak?	Indonesia Belitung
Bahasa Banjar	Ikam handak tulak ka mana basapida tu? Bulih kada' aku umpat?	Indonesia South Kalimantan
Bahasa Kedah	Hang nak pi manā naik geqék tu? Chek ikut buléh dak?	Malaysia North Thailand South
Bahasa Baling	Mu nok gi manã naik geqék tu? Ku nãk ikut buléh dãk?	Thailand Yala Satun Kedah
Bahasa Terengganu	Mung nok gi mane naik sika/geqék tu? Buléh dok nok ikuk?	Malaysia Terangganu
Bahasa Hulu Terengganu 	Dimé/Miké nok gi duané/kuané naik sika tuh? Buléh akouh ngikuk ugé?	Malaysia Terangganu Hulu
Bahasa Kelantan	Démo nok gi mano naik geqék/basika/sika tuh? Buléh kawé ikuk?	Malaysia Kelantan Thailand Southeast
Bahasa Pahang	Awok nok kone naik geqék/siké tu? Boleh tok kome/koi/kas/kawai/kawas ikut?	Malaysia Pahang
Bahasa Perak-Kuala Kangsar 	Mike nak ke mane naik siké tu? Teman nak ngékor buléh?	Malaysia Kuala Kangsar
Bahasa Perak Tengah	Miké nok ke mané naik sika tu? Teman nok ngekor ugé buléh?	Malaysia Perak Central
Bahasa Melayu  Penang	Hang nak pi manā naik basikal tu? Aku ikut boleh tak?	Malaysia Perak North Penang
Bahasa Brunei	Kamana kau babasikal ah? Bulih ku ikut?	Brunei Darussalam
Bahasa Sarawak	Ke sine kitak maok make basikal? Boleh sik kamik ngekot?	Malaysia Sarawak
Bahasa Melayu Sabah	Mana ko mo pigi sama itu béskal? Buli sia ikut ka?	Malaysia Sabah Labuan
Bahasa Melayu  Pontianak	Mane kitak nak pergi naik sepeda tu? Kamék bulih ikut tadak?	Malaysia Kalimantan West
Bahasa Melayu Makassar	Mau ko/ki' bawa' kemana itu sepeda kah? Bisa Jeka' Ikut?	Indonesia Sulawesi South and West
Bahasa Larantuka		Indonesia Flores
Bahasa Kutai		Indonesia Kalimantan
Minangkabau	Kau ka pai kama jo karéta angin tu? Bulih ndak dén ikuik?	Indonesia Minang Kabau
Bahasa Melayu Negeri Sembilan	Ékau nak poie mano naik basikal tu? Boleh dén ikut?	Malaysia Negeri Sembilan
Rawa	Kao nak poie mano nek basika to? Buleh ikoiyt ko indo?	Malaysia Gopeng
