Letter	name-indo	name-malay	ipa-indo	ipa-malay	eng-equiv-indo	eng-equiv-malay
Aa	a (/a/)	e (/e/)	/a/	/a/ 	a as in f a ther	a as in f a ther
Bb	bé (/be/)	bi (/bi/)	/b/	/b/ 	b as in b ed	b as in b ed
Cc	cé (/t͡ʃe/)	si (/si/)	/t͡ʃ/	/t͡ʃ/ 	ch as in ch eck	ch as in ch eck
Dd	dé (/de/)	di (/di/)	/d/	/d/ 	d as in d ay	d as in d ay
Ee	é (/e/)	i (/i/)	/ə/	/e/ 	e as in r e d	e as in tol e rant
Ff	éf (/ef/)	éf (/ef/)	/f/	/f/ 	f as in e f fort	f as in e f fort
Gg	gé (/ge/)	ji (/d͡ʒi/)	/ɡ/	/ɡ/ 	g as in g ain	g as in g ain
Hh	ha (/ha/)	héc (/het͡ʃ/)	/h/	/h/ 	h as in h arm	h as in h arm
Ii	i (/i/)	ai (/ai̯/)	/i/	/i/ 	i as in p i n	i as in mach i ne, but shorter
Jj	jé (/d͡ʒe/)	jé (/d͡ʒe/)	/d͡ʒ/	/d͡ʒ/ 	j as in j am	j as in j am
Kk	ka (/ka/)	ké (/ke/)	/k/	/k/ 	k as in s k ate	unaspirated k as in s k ate
Ll	él (/el/)	él (/el/)	/l/	/l/ 	l as in l et	l as in l et
Mm	ém (/em/)	ém (/em/)	/m/	/m/ 	m as in m all	m as in m all
Nn	én (/en/)	én (/en/)	/n/	/n/ 	n as in n et	n as in n et
Oo	o (/o/)	o (/o/)	/o/	/o/ 	o as in o we	o as in o we
Pp	pé (/pe/)	pi (/pi/)	/p/	/p/ 	p as in s p eak	unaspirated p as in s p eak
Qq	ki (/ki/)	kiu (/kiu/ or /kju/)	/q/ ~ /k/	/k/ 	q as in q ueen	q as in Q atar
Rr	ér (/er/)	ar (/ar/ or /a:/)	/r/	/r/ 	Spanish rr as in pue rr o	Spanish rr as in pue rr o
Ss	és (/es/)	és (/es/)	/s/	/s/ 	s as in s un	s as in s un
Tt	té (/te/)	ti (/ti/)	/t/	/t/ 	unaspirated t as in s t ill	unaspirated t as in s t ill
Uu	u (/u/)	yu (/ju/)	/u/	/u/ 	u as in p u ll	u as in r u le, but shorter
Vv	vé (/ve/ or /fe/)	vi (/vi/)	/v/ ~ /f/	/v/ or /f/ 	v as in v an	v as in v an
Ww	wé (/we/)	dabel yu (/dabəlˈju/)	/w/	/w/ 	w as in w et	w as in w et
Xx	éks (/eks/)	éks (/eks/)	/ks/	/ks/ or /s/ 	x as in bo x 	x as in bo x 
Yy	yé (/je/)	wai (/wai̯/)	/j/	/j/ 	y as in y arn	y as in y arn
Zz	zét (/zet/)	zed (/zed/)	/z/	/z/ 	z as in z ebra	z as in z ebra
