messageid	date	utc	tweeter	tweet
1401350302519812097	 2021-06-06 08:28:42	 +0700	 <getluckydream>	 Haduh dah males bgt gue harus jalan sama org kyk gitu modelannya
1401350301278371840	 2021-06-06 08:28:42	 +0700	 <shaacantik>	 @hanniha33 tag akuuu !!!! 😔💞
1401350299646775298	 2021-06-06 08:28:41	 +0700	 <chiizz13>	 @purplesky2209 Ganteng banget ini. Bomin blonde memang 👍🏻👍🏻👍🏻
1401350295997673472	 2021-06-06 08:28:41	 +0700	 <JoseAndre89>	 Kadang gue berasa bersyukur, meski tidur siang pas sore2, malam masih bisa tidur kisaran jam 10. Kemarin tidur siang jam 3 sampe jam 5, jam 10.30 udah tidur lg 😂
1401350294143787008	 2021-06-06 08:28:40	 +0700	 <LieDetectorID>	 Perilaku mendewakan seorang tokpol ini sangat berbahaya sekali.   @PDI_Perjuangan seharusnya introspeksi diri.
1401350291883139072	 2021-06-06 08:28:40	 +0700	 <KaraIndonesia_>	 Kara Indonesia adalah Local Brand yang mengusung garis design Smart Simple Sophisticated.
1401350291681775617	 2021-06-06 08:28:40	 +0700	 <anwar_syueb>	 @megatoken_io verry good project  @Sohana  @bani  @alisa  @shintiaap__  @Saminalvi   #bsc #Airdrops #newtoken
1401350291656626181	 2021-06-06 08:28:40	 +0700	 <riza_ajir>	 @korantempo Media bikin hoax dg berlindung dibalik kata DIDUGA.😜  Sudahlah, biarkan Ketua @KPK_RI bertindak sesuai mekanisme. Bgmn bisa bersih &amp; profesional kalo ada pegawai yg seenaknya atur2 &amp; politisasi KPK.  Yg dipecat getol playing victim, seolah2 cuma mrk orang baik2 &amp; berintegritas.  https://t.co/ALGseDMD4l
1401350290788388864	 2021-06-06 08:28:39	 +0700	 <JalanArjuna>	 @stv_7deg4res 😕
1401350290746400771	 2021-06-06 08:28:39	 +0700	 <dzkynfl_>	 Hanya dengan kata segalanya seakan menghilang~
1401350289785978884	 2021-06-06 08:28:39	 +0700	 <diikaa_tan>	 @florechitra  https://t.co/1q5s0Dqomu
1401350288322088961	 2021-06-06 08:28:39	 +0700	 <dealpolin>	 @rahmat_ardynn iyaa njir sumpah ga boong  tanya yang lain klo ga percaya
1401350287575511043	 2021-06-06 08:28:39	 +0700	 <tamtaam__>	 Msh aman blm panas.  https://t.co/fj6RWzx2pN
1401350285155393538	 2021-06-06 08:28:38	 +0700	 <sofiesyarief>	 @alderina Berhenti di lampu merah ganggu ritme jantung dan bikin turun rata-rata kecepatan, Pon. Kasian. Kamu lah yang harus paham.  🤭
1401350285008596992	 2021-06-06 08:28:38	 +0700	 <machmudb>	 @OposisiCerdas Tapi sekarang beliau ditendang...nt diem....trus ...emang nt ngemeng apa...???
1401350282445869058	 2021-06-06 08:28:37	 +0700	 <Nayayayayaaya>	 Kadang ngerasa jadi "the only one" kadang juga merasa "nothing", kadang perasaan bgtuh☺️
