word	count	percent	histogram
di	296	1.14	**************************************************
dan	236	0.91	***************************************
yang	225	0.87	**************************************
yg	219	0.85	************************************
ada	164	0.63	***************************
Semoga	155	0.60	**************************
ya	155	0.60	**************************
ini	144	0.56	************************
beruntung	139	0.54	***********************
amin🧡🙏	131	0.51	**********************
aja	114	0.44	*******************
bisa	111	0.43	******************
ga	103	0.40	*****************
itu	103	0.40	*****************
the	99	0.38	****************
mau	91	0.35	***************
aku	88	0.34	**************
to	87	0.34	**************
sama	83	0.32	**************
ke	82	0.32	*************
untuk	81	0.31	*************
juga	76	0.29	************
kalo	74	0.29	************
I	73	0.28	************
udah	73	0.28	************
a	72	0.28	************
jadi	72	0.28	************
dari	64	0.25	**********
Done	63	0.24	**********
and	62	0.24	**********
gak	62	0.24	**********
kamu	60	0.23	**********
kita	60	0.23	**********
nya	59	0.23	*********
you	58	0.22	*********
lagi	57	0.22	*********
masih	55	0.21	*********
pagi	55	0.21	*********
dengan	54	0.21	*********
of	51	0.20	********
lebih	50	0.19	********
tidak	50	0.19	********
gue	48	0.19	********
tapi	48	0.19	********
apa	47	0.18	*******
orang	46	0.18	*******
atau	45	0.17	*******
for	45	0.17	*******
is	44	0.17	*******
kan	44	0.17	*******
in	43	0.17	*******
Aku	42	0.16	*******
sih	42	0.16	*******
akan	41	0.16	******
buat	40	0.15	******
si	40	0.15	******
tau	40	0.15	******
dalam	39	0.15	******
dia	39	0.15	******
punya	39	0.15	******
banget	38	0.15	******
hari	38	0.15	******
Minggu	37	0.14	******
lu	37	0.14	******
dulu	36	0.14	******
harus	36	0.14	******
jangan	36	0.14	******
this	36	0.14	******
gua	35	0.14	*****
me	35	0.14	*****
baru	33	0.13	*****
bgt	33	0.13	*****
kepada	33	0.13	*****
kok	32	0.12	*****
pada	32	0.12	*****
Pagi	31	0.12	*****
bikin	31	0.12	*****
gw	31	0.12	*****
kak	31	0.12	*****
semua	31	0.12	*****
so	31	0.12	*****
sudah	31	0.12	*****
tp	31	0.12	*****
Indonesia	30	0.12	*****
Ini	30	0.12	*****
Polres	30	0.12	*****
cuma	29	0.11	****
Warga	28	0.11	****
gitu	28	0.11	****
lah	28	0.11	****
my	28	0.11	****
saja	28	0.11	****
Gratis	27	0.10	****
Iya	27	0.10	****
Masker	27	0.10	****
Masyarakat	27	0.10	****
be	27	0.10	****
tuh	27	0.10	****
udh	27	0.10	****
Kegiatan	26	0.10	****
Kesehatan	26	0.10	****
Seribu	26	0.10	****
dong	26	0.10	****
pasti	26	0.10	****
sekarang	26	0.10	****
Himbauan	25	0.10	****
Jajaran	25	0.10	****
Kepulauan	25	0.10	****
Medis	25	0.10	****
Pembagian	25	0.10	****
Polsek	25	0.10	****
Protokol	25	0.10	****
bukan	25	0.10	****
happy	25	0.10	****
jam	25	0.10	****
lupa	25	0.10	****
makan	25	0.10	****
nih	25	0.10	****
project	25	0.10	****
saya	25	0.10	****
tak	25	0.10	****
biar	24	0.09	****
dapat	24	0.09	****
it	24	0.09	****
kalau	24	0.09	****
Saya	23	0.09	***
lg	23	0.09	***
on	23	0.09	***
selalu	23	0.09	***
sendiri	23	0.09	***
terus	23	0.09	***
that	23	0.09	***
Happy	22	0.09	***
banyak	22	0.09	***
gimana	22	0.09	***
hati	22	0.09	***
salah	22	0.09	***
sampe	22	0.09	***
Selamat	21	0.08	***
Ya	21	0.08	***
beli	21	0.08	***
dah	21	0.08	***
karena	21	0.08	***
kenapa	21	0.08	***
malah	21	0.08	***
pake	21	0.08	***
pas	21	0.08	***
rumah	21	0.08	***
saat	21	0.08	***
seperti	21	0.08	***
utk	21	0.08	***
belum	20	0.08	***
done	20	0.08	***
ku	20	0.08	***
luck	20	0.08	***
mereka	20	0.08	***
nanti	20	0.08	***
tidur	20	0.08	***
yaa	20	0.08	***
☜	20	0.08	***
Ada	19	0.07	***
Kalo	19	0.07	***
mana	19	0.07	***
satu	19	0.07	***
tdk	19	0.07	***
wkwk	19	0.07	***
adalah	18	0.07	***
baik	18	0.07	***
ikut	18	0.07	***
kasih	18	0.07	***
lain	18	0.07	***
oleh	18	0.07	***
org	18	0.07	***
pernah	18	0.07	***
Bisa	17	0.07	**
Dan	17	0.07	**
Gak	17	0.07	**
all	17	0.07	**
birthday	17	0.07	**
dunia	17	0.07	**
klo	17	0.07	**
langsung	17	0.07	**
mas	17	0.07	**
paling	17	0.07	**
perlu	17	0.07	**
yuk	17	0.07	**
Jangan	16	0.06	**
Kalau	16	0.06	**
Morning	16	0.06	**
abis	16	0.06	**
enak	16	0.06	**
hanya	16	0.06	**
jd	16	0.06	**
jg	16	0.06	**
kali	16	0.06	**
love	16	0.06	**
wish	16	0.06	**
with	16	0.06	**
ㅤ	16	0.06	**
Im	15	0.06	**
Jadi	15	0.06	**
Thanks	15	0.06	**
Udah	15	0.06	**
anak	15	0.06	**
but	15	0.06	**
deh	15	0.06	**
