match,group,is_participating,start,end,content
1,0,yes,34,45,nyelamatkan
1,1,yes,34,35,n
1,2,yes,35,45,yelamatkan
2,0,yes,77,78,i
2,1,no,-1,-1,
2,2,yes,77,78,i
3,0,yes,153,164,nyelamatkan
3,1,yes,153,154,n
3,2,yes,154,164,yelamatkan
4,0,yes,221,230,nggendong
4,1,yes,221,223,ng
4,2,yes,223,230,gendong
5,0,yes,279,284,rdeka
5,1,no,-1,-1,
5,2,yes,279,284,rdeka
6,0,yes,331,340,ngumumkan
6,1,yes,331,333,ng
6,2,yes,333,340,umumkan
7,0,yes,429,437,ngatakan
7,1,yes,429,431,ng
7,2,yes,431,437,atakan
8,0,yes,590,598,ngatakan
8,1,yes,590,592,ng
8,2,yes,592,598,atakan
9,0,yes,659,665,nyerbu
9,1,yes,659,660,n
9,2,yes,660,665,yerbu
10,0,yes,710,716,mukuli
10,1,yes,710,711,m
10,2,yes,711,716,ukuli
11,0,yes,723,729,nyiksa
11,1,yes,723,724,n
11,2,yes,724,729,yiksa
12,0,yes,785,791,mbunuh
12,1,yes,785,786,m
12,2,yes,786,791,bunuh
13,0,yes,846,857,ngungkapkan
13,1,yes,846,848,ng
13,2,yes,848,857,ungkapkan
14,0,yes,868,873,mbawa
14,1,yes,868,869,m
14,2,yes,869,873,bawa
15,0,yes,915,920,nurut
15,1,yes,915,916,n
15,2,yes,916,920,urut
16,0,yes,964,971,ngepung
16,1,yes,964,966,ng
16,2,yes,966,971,epung
17,0,yes,1023,1027,reka
17,1,no,-1,-1,
17,2,yes,1023,1027,reka
18,0,yes,1030,1040,ngumpulkan
18,1,yes,1030,1032,ng
18,2,yes,1032,1040,umpulkan
19,0,yes,1056,1061,maksa
19,1,yes,1056,1057,m
19,2,yes,1057,1061,aksa
20,0,yes,1064,1068,reka
20,1,no,-1,-1,
20,2,yes,1064,1068,reka
21,0,yes,1093,1098,mbawa
21,1,yes,1093,1094,m
21,2,yes,1094,1098,bawa
22,0,yes,1101,1105,reka
22,1,no,-1,-1,
22,2,yes,1101,1105,reka
23,0,yes,1181,1187,nyerbu
23,1,yes,1181,1182,n
23,2,yes,1182,1187,yerbu
24,0,yes,1232,1239,ndengar
24,1,yes,1232,1233,n
24,2,yes,1233,1239,dengar
25,0,yes,1242,1246,reka
25,1,no,-1,-1,
25,2,yes,1242,1246,reka
26,0,yes,1292,1303,nyelamatkan
26,1,yes,1292,1293,n
26,2,yes,1293,1303,yelamatkan
27,0,yes,1326,1330,reka
27,1,no,-1,-1,
27,2,yes,1326,1330,reka
28,0,yes,1333,1339,njebol
28,1,yes,1333,1334,n
28,2,yes,1334,1339,jebol
29,0,yes,1385,1390,makai
29,1,yes,1385,1386,m
29,2,yes,1386,1390,akai
30,0,yes,1415,1424,nodongkan
30,1,yes,1415,1416,n
30,2,yes,1416,1424,odongkan
31,0,yes,1443,1447,reka
31,1,no,-1,-1,
31,2,yes,1443,1447,reka
32,0,yes,1527,1535,ngatakan
32,1,yes,1527,1529,ng
32,2,yes,1529,1535,atakan
33,0,yes,1601,1605,reka
33,1,no,-1,-1,
33,2,yes,1601,1605,reka
34,0,yes,1640,1644,reka
34,1,no,-1,-1,
34,2,yes,1640,1644,reka
35,0,yes,1660,1665,ngapa
35,1,yes,1660,1662,ng
35,2,yes,1662,1665,apa
36,0,yes,1686,1690,reka
36,1,no,-1,-1,
36,2,yes,1686,1690,reka
37,0,yes,1693,1699,ngikat
37,1,yes,1693,1695,ng
37,2,yes,1695,1699,ikat
38,0,yes,1713,1719,mukuli
38,1,yes,1713,1714,m
38,2,yes,1714,1719,ukuli
39,0,yes,1726,1731,mbawa
39,1,yes,1726,1727,m
39,2,yes,1727,1731,bawa
40,0,yes,1859,1863,reka
40,1,no,-1,-1,
40,2,yes,1859,1863,reka
41,0,yes,1866,1871,ngaku
41,1,yes,1866,1868,ng
41,2,yes,1868,1871,aku
42,0,yes,1903,1907,reka
42,1,no,-1,-1,
42,2,yes,1903,1907,reka
43,0,yes,1910,1918,ngatakan
43,1,yes,1910,1912,ng
43,2,yes,1912,1918,atakan
44,0,yes,2018,2023,njadi
44,1,yes,2018,2019,n
44,2,yes,2019,2023,jadi
45,0,yes,2063,2074,nggambarkan
45,1,yes,2063,2065,ng
45,2,yes,2065,2074,gambarkan
46,0,yes,2086,2090,reka
46,1,no,-1,-1,
46,2,yes,2086,2090,reka
47,0,yes,2255,2260,nteri
47,1,yes,2255,2256,n
47,2,yes,2256,2260,teri
48,0,yes,2302,2310,nyangkal
48,1,yes,2302,2303,n
48,2,yes,2303,2310,yangkal
49,0,yes,2337,2344,mbantah
49,1,yes,2337,2338,m
49,2,yes,2338,2344,bantah
50,0,yes,2366,2374,ngatakan
50,1,yes,2366,2368,ng
50,2,yes,2368,2374,atakan
51,0,yes,2443,2450,ndengar
51,1,yes,2443,2444,n
51,2,yes,2444,2450,dengar
52,0,yes,2472,2476,reka
52,1,no,-1,-1,
52,2,yes,2472,2476,reka
53,0,yes,2547,2555,ngatakan
53,1,yes,2547,2549,ng
53,2,yes,2549,2555,atakan
54,0,yes,2607,2614,ningkat
54,1,yes,2607,2608,n
54,2,yes,2608,2614,ingkat
55,0,yes,2634,2640,ngecam
55,1,yes,2634,2636,ng
55,2,yes,2636,2640,ecam
56,0,yes,2802,2807,lawan
56,1,no,-1,-1,
56,2,yes,2802,2807,lawan
57,0,yes,2932,2937,njadi
57,1,yes,2932,2933,n
57,2,yes,2933,2937,jadi
58,0,yes,3033,3044,mperkirakan
58,1,yes,3033,3034,m
58,2,yes,3034,3044,perkirakan
59,0,yes,3084,3091,nampung
59,1,yes,3084,3085,n
59,2,yes,3085,3091,ampung
60,0,yes,3128,3135,ngungsi
60,1,yes,3128,3130,ng
60,2,yes,3130,3135,ungsi
61,0,yes,3175,3180,nteri
61,1,yes,3175,3176,n
61,2,yes,3176,3180,teri
62,0,yes,3213,3221,ngatakan
62,1,yes,3213,3215,ng
62,2,yes,3215,3221,atakan
63,0,yes,3367,3376,nghubungi
63,1,yes,3367,3369,ng
63,2,yes,3369,3376,hubungi
64,0,yes,3394,3399,nteri
64,1,yes,3394,3395,n
64,2,yes,3395,3399,teri
65,0,yes,3415,3420,nteri
65,1,yes,3415,3416,n
65,2,yes,3416,3420,teri
66,0,yes,3557,3569,mperlihatkan
66,1,yes,3557,3558,m
66,2,yes,3558,3569,perlihatkan
67,0,yes,3782,3790,ngatakan
67,1,yes,3782,3784,ng
67,2,yes,3784,3790,atakan
68,0,yes,3847,3853,mbunuh
68,1,yes,3847,3848,m
68,2,yes,3848,3853,bunuh
69,0,yes,3922,3929,ngambil
69,1,yes,3922,3924,ng
69,2,yes,3924,3929,ambil
70,0,yes,3997,4005,lahirkan
70,1,no,-1,-1,
70,2,yes,3997,4005,lahirkan
71,0,yes,4018,4026,ngerikan
71,1,yes,4018,4020,ng
71,2,yes,4020,4026,erikan
72,0,yes,4033,4036,dis
72,1,no,-1,-1,
72,2,yes,4033,4036,dis
