English	Indonesian	Spelling (in IPA )
Hello!	Halo! 	[ˈhalo] 
Good morning!	Selamat pagi! 	[sə'lamat ˈpagi] 
Good afternoon!	Selamat siang! 	[səˈlamat ˈsiaŋ] 
Good evening! or Good night!	Selamat malam! 	[səˈlamat ˈmalam] 
Goodbye!	Selamat tinggal! 	[sə'lamat ˈtiŋɡal] 
See you later!	Sampai jumpa lagi! 	[ˈsampai̯ ˈdʒumpa ˈlagi] 
Thank you	Terima kasih (standard, formal)	[təˈrima ˈkasih] 
Thanks	Makasih (colloquial)	[maˈkasih] 
You are welcome	Sama-sama or terima kasih kembali 	[ˈsa'ma ˈsama] or [təˈrima ˈkasih kəm'bali] 
Yes	Ya (standard) or iya (colloquial)	[ˈja] or [ˈija] 
No	Tidak or tak 	[ˈtidaʔ] or [ˈtaʔ] 
And	Dan 	[ˈdan] 
Or	Atau 	[a'tau̯] 
Because	Karena 	[ˈkarəna] 
Therefore	Karena itu 	[ˈkarəna ˈʔitu] 
Nothing	Tidak ada 	[ˈtidaʔ ˈada] 
Maybe	Mungkin 	[ˈmuŋkin] 
How are you?	Apa kabar? 	[ˈapa ˈkabar] 
I am fine	Baik or Baik-baik saja 	[ˈbaik] or [ˈbaik ˈbaik ˈsadʒa] 
Have a nice day!	Semoga hari Anda menyenangkan! 	[sə'moga ˈhari ˈʔanda məɲəˈnaŋkan] 
Bon appétit!	Selamat makan! or Selamat menikmati! 	[sə'lamat ˈmakan] or [səˈlamat mənikˈmati] 
I am sorry	Maafkan saya 	[ma'ʔafkan ˈsaja] 
Excuse me	Permisi 	[pər'misi] 
What?	Apa? 	[ˈapa] 
Who?	Siapa? 	[siˈapa] 
When?	Kapan? 	[ˈkapan] 
Where?	Di mana? 	[di ˈmana] 
Why?	Mengapa? (standard) or kenapa? (colloquial)	[mə'ŋapa] or [kə'napa] 
How?	Bagaimana? 	[baɡai̯'mana] 
How much?	Berapa? 	[bə'rapa] 
What is your name?	Nama Anda siapa ?	[ˈnama ˈʔanda siˈapa] 
My name is...	Nama saya... 	[ˈnama ˈsaja] 
Do you know?	Apakah Anda tahu? 	[aˈpakah ˈʔanda ˈtahu] 
Yes, I know / No, I do not know	Ya, saya tahu / Tidak, saya tidak tahu 	[ˈja ˈsaja ˈtahu] / [ˈtidaʔ ˈsaja ˈtidaʔ ˈtahu] 
Can you speak Indonesian?	Bisakah Anda berbicara bahasa Indonesia? 	[bərbi'tʃara baˈhasa ʔindoˈnesi̯a] 
Yes, I can speak Indonesian / No, I can not speak Indonesian	Ya, saya bisa berbicara bahasa Indonesia / Tidak, saya tidak bisa berbicara bahasa indonesia 	[ˈja ˈsaja ˈbisa bərbiˈtʃara baˈhasa Indoˈnesi̯a] / [ˈtidaʔ ˈsaja ˈtidaʔ ˈbisa bərbiˈtʃara baˈhasa ʔindoˈnesi̯a] 
What time is it now?	Pukul berapa sekarang? 	[ˈpukul bə'rapa səˈkaraŋ] 
It is 5.00 o'clock	Sekarang pukul 5.00 	[səˈkaraŋ ˈpukul ˈlima] 
When will you go to the party?	Kapan Anda akan pergi ke pesta itu? 	[ˈkapan ˈʔanda ˈʔakan pər'gi ke ˈpesta ˈʔitu] 
Soon	Nanti 	[ˈnanti] 
Today	Hari ini 	[ˈhari ˈʔini] 
Tomorrow	Besok 	[ˈbesok] 
The day after tomorrow	Lusa 	[ˈlusa] 
Yesterday	Kemarin 	[kə'marin] 
Congratulations!	Selamat! 	[sə'lamat] 
Happy New Year!	Selamat Tahun Baru! 	[sə'lamat ˈtahun ˈbaru] 
Merry Christmas!	Selamat Natal! 	[sə'lamat ˈnatal] 
Please	Mohon or tolong 	[ˈmohon] or [ˈtoloŋ] 
Stop!	Berhenti! 	[bər'henti] 
I am happy	Saya senang 	[ˈsaja sə'naŋ] 
I understand	Saya mengerti 	[ˈsaja ˈməŋərti] 
Help!	Tolong! 	[ˈtoloŋ] 
I need help	Saya memerlukan bantuan 	[ˈsaja məmərˈlukan ban'tuan] 
Can you help me?	Bisakah Anda menolong saya? 	[biˈsakah ˈʔanda mə'noloŋ ˈsaja] 
Can I help you? / Do you need help?	Dapatkah saya membantu Anda? / Apakah Anda membutuhkan bantuan? 	[da'patkah ˈsaja məm'bantu ˈʔanda] / [aˈpakah ˈʔanda məmbuˈtuhkan banˈtuan] 
May I borrow your eraser?	Bolehkah saya meminjam penghapus Anda? 	[boˈlehkah ˈsaja mə'minjam peŋ'hapus ˈʔanda] 
With my pleasure	Dengan senang hati 	[dəˈŋan sə'naŋ ˈhati] 
Welcome	Selamat datang 	[sə'lamat ˈdataŋ] 
Welcome to Indonesia	Selamat datang di Indonesia 	[sə'lamat ˈdataŋ di ʔindoˈnesi̯a] 
I agree / I disagree	Saya setuju / Saya tidak setuju 	[ˈsaja sə'tudʒu] / [ˈsaja ˈtidaʔ sə'tudʒu] 
I understand / I do not understand	Saya mengerti / Saya tidak mengerti 	[ˈsaja ˈməŋərti] / [ˈsaja ˈtidaʔ ˈməŋərti] 
I am hungry	Saya lapar 	[ˈsaja ˈlapar] 
I am thirsty	Saya haus 	[ˈsaja ˈhaus] 
I am sick	Saya sakit 	[ˈsaja ˈsakit] 
Get well soon	Semoga cepat sembuh 	[sə'moga tʃə'pat səmˈbuh] 
