romaji,set,index,kana,kanji,modern-kana,id
a,0,0,あ,安,あ,1
a,0,1,𛀂,安,あ,2
a,0,2,𛀅,惡,あ,3
a,0,3,𛀃,愛,あ,4
a,0,4,𛀄,阿,あ,5
i,0,0,い,以,い,6
i,0,1,𛀆,以,い,7
i,0,2,𛀇,伊,い,8
i,0,3,𛀈,意,い,9
i,0,4,𛀉,移,い,10
u,0,0,う,宇,う,11
u,0,1,𛀊,宇,う,12
u,0,2,𛀋,宇,う,13
u,0,3,𛀌,憂,う,14
u,0,4,𛀍,有,う,15
u,0,5,𛀎,雲,う,16
e,0,0,え,衣,え,17
e,0,1,𛀁,江,え,18
e,0,2,𛀏,盈,え,19
e,0,3,𛀐,縁,え,20
e,0,4,𛀑,衣,え,21
e,0,5,𛀒,衣,え,22
e,0,6,𛀓,要,え,23
o,0,0,お,於,お,24
o,0,1,𛀔,於,お,25
o,0,2,𛀕,於,お,26
o,0,3,𛀖,隱,お,27
ka,1,0,か,加,か,28
ka,1,1,𛀗,佳,か,29
ka,1,2,𛀘,加,か,30
ka,1,3,𛀙,可,か,31
ka,1,4,𛀚,可,か,32
ka,1,5,𛀛,嘉,か,33
ka,1,6,𛀢,家,か,34
ka,1,7,𛀜,我,か,35
ka,1,8,𛀝,歟,か,36
ka,1,9,𛀞,賀,か,37
ka,1,10,𛀟,閑,か,38
ka,1,11,𛀠,香,か,39
ka,1,12,𛀡,駕,か,40
ki,1,0,き,幾,き,41
ki,1,1,𛀣,喜,き,42
ki,1,2,𛀤,幾,き,43
ki,1,3,𛀥,幾,き,44
ki,1,4,𛀦,支,き,45
ki,1,5,𛀻,期,き,46
ki,1,6,𛀧,木,き,47
ki,1,7,𛀨,祈,き,48
ki,1,8,𛀩,貴,き,49
ki,1,9,𛀪,起,き,50
ku,1,0,く,久,く,51
ku,1,1,𛀫,久,く,52
ku,1,2,𛀬,久,く,53
ku,1,3,𛀭,九,く,54
ku,1,4,𛀮,供,く,55
ku,1,5,𛀯,倶,く,56
ku,1,6,𛀰,具,く,57
ku,1,7,𛀱,求,く,58
ke,1,0,け,計,け,59
ke,1,1,𛀳,介,け,60
ke,1,2,𛀲,介,け,61
ke,1,3,𛀢,家,け,62
ke,1,4,𛀴,希,け,63
ke,1,5,𛀵,氣,け,64
ke,1,6,𛀶,計,け,65
ke,1,7,𛀷,遣,け,66
ko,1,0,こ,己,こ,67
ko,1,1,𛀸,古,こ,68
ko,1,2,𛂘,子,こ,69
ko,1,3,𛀹,故,こ,70
ko,1,4,𛀻,期,こ,71
ko,1,5,𛀺,許,こ,72
sa,2,0,さ,左,さ,73
sa,2,1,𛀼,乍,さ,74
sa,2,2,𛀽,佐,さ,75
sa,2,3,𛀾,佐,さ,76
sa,2,4,𛀿,左,さ,77
sa,2,5,𛁀,差,さ,78
sa,2,6,𛁁,散,さ,79
sa,2,7,𛁂,斜,さ,80
sa,2,8,𛁃,沙,さ,81
shi,2,0,し,之,し,82
shi,2,1,𛁄,之,し,83
shi,2,2,𛁅,之,し,84
shi,2,3,𛁆,事,し,85
shi,2,4,𛁇,四,し,86
shi,2,5,𛁈,志,し,87
shi,2,6,𛁉,新,し,88
su,2,0,す,寸,す,89
su,2,1,𛁊,受,す,90
su,2,2,𛁋,壽,す,91
su,2,3,𛁌,數,す,92
su,2,4,𛁍,數,す,93
su,2,5,𛁎,春,す,94
su,2,6,𛁏,春,す,95
su,2,7,𛁐,須,す,96
su,2,8,𛁑,須,す,97
se,2,0,せ,世,せ,98
se,2,1,𛁒,世,せ,99
se,2,2,𛁓,世,せ,100
se,2,3,𛁔,世,せ,101
se,2,4,𛁕,勢,せ,102
se,2,5,𛁖,聲,せ,103
so,2,0,そ,曾,そ,104
so,2,1,𛁗,所,そ,105
so,2,2,𛁘,所,そ,106
so,2,3,𛁙,曾,そ,107
so,2,4,𛁚,曾,そ,108
so,2,5,𛁛,楚,そ,109
so,2,6,𛁜,蘇,そ,110
so,2,7,𛁝,處,そ,111
ta,3,0,た,太,た,112
ta,3,1,𛁞,堂,た,113
ta,3,2,𛁟,多,た,114
ta,3,3,𛁠,多,た,115
ta,3,4,𛁡,當,た,116
chi,3,0,ち,知,ち,117
chi,3,1,𛁢,千,ち,118
chi,3,2,𛁣,地,ち,119
chi,3,3,𛁤,智,ち,120
chi,3,4,𛁥,知,ち,121
chi,3,5,𛁦,知,ち,122
chi,3,6,𛁧,致,ち,123
