en	en-us-phon
hello	(huh-loh) 
ice cream	(eye-skreem) 
water	(wah-tur) 
supermarket	(soo-pur-mar-kit) 
cat	(kat) 
bus	(buss) 
dress	(dress) 
dog	(dahg) 
banana	(buh-na-nuh) 
carrot	(ka-rut) 
taxi	(tak-see) 
t-shirt	(tee-shurt) 
fish	(fish) 
aeroplane	(air-plane) 
horse	(horss) 
french fries	(frentch fryz) 
swimming pool	(swim-ing pool) 
cheese	(tcheez) 
towel	(tao-ul) 
doctor	(dahk-tur) 
apple	(a-pul) 
beach	(beetch) 
bicycle	(by-si-kul) 
airport	(air-port) 
juice	(jooss) 
bakery	(bay-kuh-ree) 
shoes	(shooz) 
phone	(fone) 
post office	(pohst off-iss) 
restaurant	(ress-tuh-rahnt) 
hotel	(hoh-tel) 
milk	(milk) 
chocolate	(chahk-let) 
car	(kar) 
hat	(hat) 
sunglasses	(sun-glass-iz) 
chicken	(tchik-in) 
train	(trane) 
station	(stay-shun) 
toilet	(toy-let) 
bed	(bed) 
house	(houss) 
pants	(pants) 
suitcase	(soot-kayss) 
plate	(playt) 
knife	(nife) 
fork	(fork) 
spoon	(spoon) 
computer	(kum-pyoo-tur) 
book	(book) 
sandwich	(sand-witch) 
yes	(yes) 
no	(noh) 
movie theater	(moo-vee thee-uh-tur) 
park	(park) 
menu	(men-yoo) 
passport	(pass-port) 
police officer	(puh-leess off-uh-sur) 
key	(kee) 
ticket	(tik-it) 
pineapple	(pine-ap-ul) 
rain	(rayn) 
snow	(snoh) 
sun	(sun) 
tree	(tree) 
flower	(flao-ur) 
cake	(kayk) 
ball	(bawl) 
bird	(burd) 
egg	(eg) 
umbrella	(um-brel-uh) 
rabbit	(rab-it) 
money	(muh-nee) 
bank	(bank) 
mouse	(mouss) 
scarf	(skarf) 
gloves	(gluhvs) 
coat	(kote) 
hospital	(hah-spi-tul) 
chair	(tchair) 
table	(tay-bul) 
toothbrush	(tooth-brush) 
toothpaste	(tooth-payst) 
sunscreen	(sun-skreen) 
lion	(lye-un) 
elephant	(el-uh-funt) 
monkey	(mung-kee) 
spider	(spy-dur) 
burger	(bur-gur) 
pen	(pen) 
door	(dor) 
window	(win-doh) 
tent	(tent) 
church	(tchurtch) 
tomato	(tuh-may-toh) 
moon	(moon) 
stars	(starz) 
postcard	(pohst-kard) 
boat	(bote) 
goodbye	(good-by) 
