Form	Name(s)	Used with
ᠡ‍	*'Crown':*ᠲᠢᠲᠢᠮ*titim* (тит(и/э)м*tit(i/e)m*)	all initial vowels (*a*, *e*, *i*, *o*, *u*, *ö*, *ü*, *ē*), and some  initial consonants (*n*, *m*, *l*, *h*, etc).
᠊ᠡ‍	*'Tooth':*ᠠᠴᠤᠭ*ačuγ* (ацаг*atsag*)	*a*, *e*, *n*, *ng*, *q*, *γ*, *m*, *l*, *d*, etc; historically also*r*.
	*'Tooth':*ᠰᠢᠳᠦ*sidü* (шүд*shüd*)	
᠊᠊	*'Spine, backbone':*ᠨᠢᠷᠤᠭᠤ*niruγu* (нуруу*nuruu*)	the vertical line running through words.
‍᠊ᠠ	*'Tail':*ᠰᠡᠭᠦᠯ*segül* (сүүл*süül*)	*a*, *e*, *n*, etc. A final connected flourish/swash pointing right.
‍᠊ᠰ᠋	*'Short tail':* ᠪᠣᠭᠤᠨᠢ ᠰᠡᠭᠦᠯ*boγuni segül* (богино/богонь сүүл*bogino/bogoni  süül*)	final *q*, *γ*, *m*, and *s*
᠎ᠠ⟨?⟩⟨⟩	*[...]:*ᠣᠷᠬᠢᠴᠠ*orkiča* (орхиц*orkhits*)	separated final *a* or *e*.
	*'Sprinkling, dusting':*ᠴᠠᠴᠤᠯᠭ᠎ᠠ⟨?⟩*čačulγ‑a* (цацлага*tsatslaga*)	lower part of final *a* or *e*; the lower part of final *g*.
‍ᡳ᠌	*'Hook':*ᠳᠡᠭᠡᠭᠡ*degege* (дэгээ*degee*)	final *i* and *d*.
ᠵ‍	*'Shin, stick':*ᠰᠢᠯᠪᠢ*silbi* (шилбэ*shilbe*)	*i*; initial *ö* and *ü*; the upper part of final *g*; *ǰ* and *y*, etc.
	*'Straight shin':*ᠰᠢᠯᠤᠭᠤᠨ ᠰᠢᠯᠪᠢ*siluγun silbi* (шулуун шилбэ*shuluun shilbe*)	
	*'Long tooth':*ᠤᠷᠲᠤ ᠰᠢᠳᠦ*urtu sidü* (урт шүд*urt shüd*)	
ᠶ‍	*'Shin with upturn':*ᠡᠭᠡᠲᠡᠭᠡᠷ ᠰᠢᠯᠪᠢ*egeteger silbi* (э(э)тгэр шилбэ*e(e)tger  shilbe*)	*y*.
ᠸ‍	*Shin with downturn:*ᠮᠠᠲᠠᠭᠠᠷ ᠰᠢᠯᠪᠢ*mataγar silbi* (матгар шилбэ*matgar  shilbe*)	*ē* and *w*.
ᠷ‍	*Horned shin:*ᠥᠷᠭᠡᠰᠦᠲᠡᠢ ᠰᠢᠯᠪᠢ*örgesütei silbi* (өргөстэй шилбэ*örgöstei  shilbe*)	*r*, and historically also the upper part of final *g* and separated *a*.
ᠳ᠋‍	*'Looped shin':*ᠭᠣᠭᠴᠤᠭᠠᠲᠠᠢ ᠰᠢᠯᠪᠢ*γoγčuγatai silbi* (гогцоотой шилбэ*gogtsootoi  shilbe*)	*t* and *d*.
ᡁ‍	*'Hollow shin':*ᠬᠥᠨᠳᠡᠢ ᠰᠢᠯᠪᠢ*köndei silbi* (хөндий шилбэ*khöndii shilbe*)	*h* and *zh*.
‍ᠢ	*'Bow':*ᠨᠤᠮᠤ*numu* (нум*num*)	final *i*, *o*–*ü*, and *r*; *ng*, *b*, *p*, *k*, *g*, etc.
‍᠊ᠣ‍	*'Belly, stomach,' loop, contour:*ᠭᠡᠳᠡᠰᠦ*gedesü* (гэдэс*gedes*)	the enclosed part of *o*–*ü*, *b*, *p*, initial *t* and *d*, etc.
ᠲ‍	*'Hind-gut':*ᠠᠷᠤ ᠶᠢᠨ ᠭᠡᠳᠡᠰᠦ⟨?⟩*aru‑yin gedesü* (арын гэдэс*aryn gedes*)	initial *t* and *d*.
‍᠊ᠹ‍	*Flaglet, tuft:*ᠵᠠᠷᠲᠢᠭ*ǰartiγ* (зартиг*zartig*Wylie: *'jar-thig*)	the left-side diacritic of *f* and *z*.
‍ᠽ‍		
ᠬ	*[...]:*[...] (ятгар зартиг*yatgar zartig*)	initial *q* and *γ*.
‍᠊ᠮ‍	*'Braid, pigtail':*ᠭᠡᠵᠢᠭᠡ*geǰige* (гэзэг*gezeg*)	*m*.
	*'Horn':*ᠡᠪᠡᠷ*eber* (эвэр*ever*)	
‍᠊ᠯ‍	*'Horn':*ᠡᠪᠡᠷ*eber* (эвэр*ever*)	*l*.
	*'Braid, pigtail':*ᠭᠡᠵᠢᠭᠡ*geǰige* (гэзэг*gezeg*)	
‍᠊ᠰ‍	*'Corner of the mouth':*ᠵᠠᠪᠠᠵᠢ*ǰabaǰi* (зав(и/ь)ж*zavij*)	*s* and *š*.
‍ᠴ‍	*[...]:*ᠰᠡᠷᠡᠭᠡ ᠡᠪᠡᠷ*serege eber* (сэрээ эвэр*seree ever*)	*č*.
	*'Fork':*ᠠᠴᠠ*ača* (ац*ats*)	
‍ᠵ‍	*[...]:*[...] (жалжгар эвэр*jaljgar ever*)	*ǰ*.
	*'Tusk, fang':*ᠰᠣᠶᠤᠭ᠎ᠠ⟨?⟩*soyuγ‑a* (соёо*soyoo*)	
