Pos.	Cyrillic	Braille	Name	IPA[6]	ISO 9	Standard romanization (MNS 5217:2012)[7][8]	Library of Congress	Mongolian script counterpart
1	Аа	⠁	а	a	а			ᠠ
2	Бб	⠃	бэ	p, pʲ	b			ᠪ
3	Вв	⠺	вэ	w̜, w̜ʲ	v			ᠸ
4	Гг	⠛	гэ	ɡ, ɡʲ, ɢ	g			ᠭ
5	Дд	⠙	дэ	t, tʲ	d			ᠳ
6	Ее	⠑	е	ji~jɵ	e	ye	e	ᠶᠡ
7	Ёё	⠡	ё	jɔ	ë	yo	ë	ᠶᠣ
8	Жж	⠚	жэ	tʃ	ž	j	zh	ᠵ
9	Зз	⠵	зэ	ts	z			ᠽ
10	Ии	⠊	и	i	i			ᠢ
11	Йй	⠯	хагас и	i	j	i	ĭ	ᠢ
12	Кк	⠅	ка	kʰ, kʲʰ, x, xʲ	k			ᠺ
13	Лл	⠇	эл	ɮ, ɮʲ	l			ᠯᠠ
14	Мм	⠍	эм	m, mʲ	m			ᠮ
15	Нн	⠝	эн	n, nʲ, ŋ	n			ᠨ
16	Оо	⠕	о	ɔ	o			ᠣ
17	Өө	⠧	ө	ɵ~o	ô	ö		ᠥ
18	Пп	⠏	пэ	pʰ, pʰʲ	p			ᠫ
19	Рр	⠗	эр	r, rʲ	r			ᠷ
20	Сс	⠎	эс	s	s			ᠰ
21	Тт	⠞	тэ	tʰ, tʰʲ	t			ᠲ
22	Уу	⠥	у	ʊ	u			ᠤ
23	Үү	⠹	ү	u	ü			ᠦ
24	Фф	⠋	фэ, фа, эф	f, pʰ	f			ᠹ
25	Хх	⠓	хэ, ха	x, xʲ	h	kh		ᠬ
26	Цц	⠉	цэ	tsʰ	c	ts		ᠴ
27	Чч	⠟	чэ	tʃʰ	č	ch		ᠴᠤ
28	Шш	⠱	ша, эш	ʃ	š	sh		ᠱ
29	Щщ	⠭	ща, эшчэ	(ʃ)	ŝ	sh	shch	ᠰᠢ
30	Ъъ	⠷	хатуугийн тэмдэг	none	ʺ	i	ı	ᠢ
31	Ыы	⠮	эр үгийн ы	i	y			
32	Ьь	⠾	зөөлний тэмдэг	ʲ	ʹ	i		
33	Ээ	⠪	э	e~i	è	e	ê	ᠡ
34	Юю	⠳	ю	jʊ, ju	û	yu	iu	ᠶᠦ
35	Яя	⠫	я	ja	â	ya	ia	ᠶᠠ
