Number	English	Indonesian
0	zero	nol [nol] 
1	one	satu [sa•tu] 
2	two	dua [du•(w)a] 
3	three	tiga [ti•ga] 
4	four	empat [əm•pat] 
5	five	lima [li•ma] 
6	six	enam [ə•nam] 
7	seven	tujuh [tu•dʒuh] 
8	eight	delapan [də•la•pan] 
9	nine	sembilan [səm•bi•lan] 
10	ten	sepuluh [sə•pu•luh] 
11	eleven	sebelas [sə•bə•las] 
12	twelve	dua belas [du•(w)a bə•las] 
13	thirteen	tiga belas [ti•ga bə•las] 
14	fourteen	empat belas [əm•pat bə•las] 
15	fifteen	lima belas [li•ma bə•las] 
20	twenty	dua puluh [du•(w)a pu•luh] 
21	twenty one	dua puluh satu [du•(w)a pu•luh sa•tu] 
30	thirty	tiga puluh [ti•ga pu•luh] 
100	one hundred	seratus [sə•ra•tus] 
200	two hundred	dua ratus [du•(w)a ra•tus] 
210	two hundred ten	dua ratus sepuluh [du•(w)a ra•tus sə•pu•luh] 
897	eight hundred ninety seven	delapan ratus sembilan puluh tujuh [də•la•pan ra•tus səm•bi•lan pu•luh tu•dʒuh] 
1000	one thousand	seribu [sə•ri•bu] 
10000	ten thousand	sepuluh ribu [sə•pu•luh ri•bu] 
100000	one hundred thousand	seratus ribu [sə•ra•tus ri•bu] 
1000000	one million	sejuta or satu juta [sə•dʒu•ta] or [sa•tu dʒu•ta] 
1000000000	one billion	satu miliar [sa•tu mi•li•(j)ar] or [sa•tu mil•jar] 
1000000000000	one trillion	satu triliun [sa•tu tri•li•(j)un] or [sa•tu tril•jun] 
