Pinyin	IPA	IPA_link0	IPA_link1	English approximation [33]	Explanation
b	[ p ]	/wiki/Voiceless_bilabial_plosive	#ERR	s p ark	unaspirated p , as in s p ark
p	[ pʰ ]	/wiki/Aspirated_consonant	#ERR	p ay	strongly aspirated p , as in p it
m	[ m ]	/wiki/Voiced_bilabial_nasal	#ERR	m ay	as in English m u mm y
f	[ f ]	/wiki/Voiceless_labiodental_fricative	#ERR	f air	as in English f un
d	[ t ]	/wiki/Voiceless_alveolar_plosive	#ERR	s t op	unaspirated t , as in s t op
t	[ tʰ ]	/wiki/Aspirated_consonant	#ERR	t ake	strongly aspirated t , as in t op
n	[ n ]	/wiki/Voiced_alveolar_nasal	#ERR	n ay	as in English n it
l	[ l ]	/wiki/Voiced_alveolar_lateral_approximant	#ERR	l ay	as in English l ove
g	[ k ]	/wiki/Voiceless_velar_plosive	#ERR	s k ill	unaspirated k , as in s k ill
k	[ kʰ ]	/wiki/Aspirated_consonant	#ERR	k ay	strongly aspirated k , as in k ill
h	[ x ] , [ h ]	/wiki/Voiceless_velar_fricative	/wiki/Voiceless_glottal_fricative	lo ch	Varies between h at and Scottish lo ch .
j	[ tɕ ]	/wiki/Voiceless_alveolo-palatal_affricate	#ERR	chur chy ard	Alveo-palatal. No equivalent in English, but similar to an unaspirated "-chy-" sound when said quickly. Like q , but unaspirated. Is similar to the English name of the letter G , but curl the tip of the tongue downwards to stick it at the back of the teeth.
q	[ tɕʰ ]	/wiki/Aspirated_consonant	#ERR	pun ch y ourself	Alveo-palatal. No equivalent in English. Like pun ch y ourself, with the lips spread wide as when one says ee . Curl the tip of the tongue downwards to stick it at the back of the teeth and strongly aspirate.
x	[ ɕ ]	/wiki/Voiceless_alveolo-palatal_fricative	#ERR	pu sh y ourself	Alveo-palatal. No equivalent in English. Like -sh y- , with the lips spread as when one says ee and with the tip of the tongue curled downwards and stuck to the back of the teeth.
zh	[ ʈʂ ]	/wiki/Voiceless_retroflex_affricate	#ERR	nur t ure	Unaspirated ch . Similar to ha tch ing but retroflex, or mar ch ing in American English. Voiced in a toneless syllable.
ch	[ ʈʂʰ ]	/wiki/Aspirated_consonant	#ERR	chur ch	Similar to ch in, but retroflex.
sh	[ ʂ ]	/wiki/Voiceless_retroflex_fricative	#ERR	sh irt	Similar to sh oe but retroflex, or mar sh in American English.
r	[ ɻ ~ ʐ ]	/wiki/Voiced_retroflex_approximant	/wiki/Voiced_retroflex_fricative	r ay	No equivalent in English, but similar to a sound between r in r educe and s in mea s ure but with the tongue curled upward against the top of the mouth (i.e. retroflex).
z	[ ts ]	/wiki/Voiceless_alveolar_affricate	#ERR	pi zz a	unaspirated c , similar to something between su ds but voiceless, unless in a toneless syllable.
c	[ tsʰ ]	/wiki/Aspirated_consonant	#ERR	ha ts	like the English ts in ca ts , but strongly aspirated, very similar to the Czech, Polish, Esperanto, and Slovak c .
s	[ s ]	/wiki/Voiceless_alveolar_fricative	#ERR	s ay	as in s un
w	[ w ]	/wiki/Voiced_labial%E2%80%93velar_approximant	#ERR	w ay	as in w ater. Before an e or a it is sometimes pronounced like v as in v iolin.*
y	[ j ] , [ ɥ ]	/wiki/Voiced_palatal_approximant	/wiki/Voiced_labial%E2%80%93palatal_approximant	y es	as in y es. Before a u , pronounced with rounded lips, as if pronouncing German ü.*
