A	Language	Origin	Language_link0	Notes
1	Adamorobe Sign Language	village	/wiki/Adamorobe_Sign_Language	(ADS) (Ghana)
5	Algerian Sign Language	French	/wiki/Algerian_Sign_Language	
14	Bamako Sign Language	local	/wiki/Bamako_Sign_Language	used by adult men. Threatened by ASL .
17	Berbey Sign Language	family	/wiki/Berbey_Sign_Language	Dogon region, Mali [2] 
20	Bouakako Sign Language	village	/wiki/Bouakako_Sign_Language	Ivory Coast
26	Bura Sign Language	village	/wiki/Bura_Sign_Language	in Nigeria
27	Burkina Sign Language	local	/wiki/Burkina_Sign_Language	Ouagadougou ( Langue des Signes Mossi )
33	Chadian Sign Language	ASL	/wiki/Chadian_Sign_Language	
45	Douentza Sign Language	village	/wiki/Douentza_Sign_Language	Dogon region, Mali
51	Eritrean Sign Language	artificial	/wiki/Eritrean_Sign_Language	#ERR
53	Eswatini Sign Language	local	/w/index.php?title=Eswatini_Sign_Language&action=edit&redlink=1	
58	Francophone African Sign Language	ASL	/wiki/Francophone_African_Sign_Language	The development of ASL in Francophone West Africa
60	Gambian Sign Language	ASL	/wiki/Gambian_Sign_Language	
63	Ghanaian Sign Language	ASL	/wiki/Ghanaian_Sign_Language	(GSE)
69	Guinea-Bissau Sign Language	local	/wiki/Guinea-Bissau_Sign_Language	incipient/basic
70	Guinean Sign Language	ASL	/wiki/Guinean_Sign_Language	
73	Hausa Sign Language	local	/wiki/Hausa_Sign_Language	"Maganar Hannu" (HSL) – Northern Nigeria ( Kano State )
99	Kenyan Sign Language	local	/wiki/Kenyan_Sign_Language	(KSL or LAK)
108	Lesotho Sign Language	BANZL	/wiki/Lesotho_Sign_Language	
109	Libyan Sign Language	Arab?	/wiki/Libyan_Sign_Language	
114	Malagasy Sign Language	French:Danish:Norwegian	/wiki/Malagasy_Sign_Language	(or "Madagascan Sign Language") May be a dialect of Norwegian SL
120	Maroua Sign Language	local	/wiki/Maroua_Sign_Language	Cameroon
121	Mauritian Sign Language	isolate	/wiki/Mauritian_Sign_Language	
124	Mbour Sign Language	local	/wiki/Mbour_Sign_Language	M'Bour , Senegal 
129	Moroccan Sign Language	ASL	/wiki/Moroccan_Sign_Language	
134	Namibian Sign Language	Paget-Gorman	/wiki/Namibian_Sign_Language	
135	Nanabin Sign Language	village	/wiki/Nanabin_Sign_Language	a deaf family in Nanabin, Ghana 
140	Nigerian Sign Language	ASL	/wiki/Nigerian_Sign_Language	
168	Rwandan Sign Language	?	/wiki/Rwandan_Sign_Language	
171	Sao Tome and Principe Sign Language	rural	/wiki/Sao_Tome_and_Principe_Sign_Language	
175	Sierra Leonean Sign Language	ASL	/wiki/Sierra_Leonean_Sign_Language	
182	Somali Sign Language	Kenyan SL	/wiki/Somali_Sign_Language	
183	South African Sign Language	Irish & British	/wiki/South_African_Sign_Language	(SASL)
187	Sudanese sign languages	village	/wiki/Sudanese_sign_languages	Government proposal to unify local languages
194	Tanzanian sign languages	local	/wiki/Tanzanian_sign_languages	(seven independent languages, one for each deaf school in Tanzania, with little mutual influence)
195	Tebul Sign Language	village	/wiki/Tebul_Sign_Language	(Tebul Ure SL) Mopti, Mali (village of Tebul Ure)
199	Tunisian Sign Language	French:Italian	/wiki/Tunisian_Sign_Language	
201	Ugandan Sign Language	local	/wiki/Ugandan_Sign_Language	(USL)
212	Yoruba Sign Language	local	/wiki/Yoruba_Sign_Language	(YSL)
54	Ethiopian sign languages		/wiki/Ethiopian_sign_languages	1 million signers of an unknown number of languages
131	Mozambican Sign Language		/wiki/Mozambican_Sign_Language	
214	Zambian Sign Language		/wiki/Zambian_Sign_Language	(ZASL)
215	Zimbabwean sign languages		/wiki/Zimbabwean_sign_languages	"sign language" is an official language
4	Albanian Sign Language		/wiki/Albanian_Sign_Language	"Gjuha e Shenjave Shqipe"
38	Costa Rican Sign Language		/wiki/Costa_Rican_Sign_Language	at least four languages in Costa Rica (Woodward 1991)
40	Cuban Sign Language		/wiki/Cuban_Sign_Language	
52	Estonian Sign Language		/wiki/Estonian_Sign_Language	"Eesti viipekeel"
59	French Sign Language		/wiki/French_Sign_Language	"Langues des Signes Française" (LSF)
68	Guatemalan Sign Language		/wiki/Guatemalan_Sign_Language	
78	Hungarian Sign Language		/wiki/Hungarian_Sign_Language	"Magyar jelnyelv"
101	Korean Sign Language (KSDSL)		/wiki/Korean_Sign_Language	"한국수어 (or 한국수화)" / "Hanguk Soo-hwa" Korean standard sign language – manually coded spoken Korean  
105	Laotian Sign Language		/wiki/Laotian_Sign_Language	(related to Vietnamese languages; may be more than one SL)
110	Lithuanian Sign Language		/wiki/Lithuanian_Sign_Language	"Lietuvių gestų kalba"
112	Macau Sign Language		/wiki/Macau_Sign_Language	"澳門手語" [ citation needed ] 
116	Maltese Sign Language		/wiki/Maltese_Sign_Language	"Lingwi tas-Sinjali Maltin" (LSM)
136	Navajo Sign Language		/wiki/Navajo_Sign_Language	
146	Old Costa Rican Sign Language		/wiki/Old_Costa_Rican_Sign_Language	
174	Seraglio Sign Language		/wiki/Seraglio_Sign_Language	Ottoman court
179	Slovakian Sign Language		/wiki/Slovakian_Sign_Language	"Slovenský posunkový jazyk"
181	Solomon Islands Sign Language		/wiki/Solomon_Islands_Sign_Language	
203	Uruguayan Sign Language		/wiki/Uruguayan_Sign_Language	"Lengua de Señas Uruguaya"
204	Valencian Sign Language		/wiki/Valencian_Sign_Language	"Llengua de Signes en la Comunitat Valenciana" (LSCV)
29	Cambodian Sign Language	ASL	/wiki/Cambodian_Sign_Language	
18	Bhutanese Sign Language	?	/wiki/Bhutanese_Sign_Language	
61	Georgian Sign Language	?	/wiki/Georgian_Sign_Language	[3] 
71	Guyanese Sign Language	?	/wiki/Guyanese_Sign_Language	
74	Hawaiʻi Sign Language	?	/wiki/Hawai%CA%BBi_Sign_Language	
113	Macedonian Sign Language	?	/wiki/Macedonian_Sign_Language	Македонски знаковен јазик / Makedonski znakoven jazik 
128	Mongolian Sign Language	?	/wiki/Mongolian_Sign_Language	"Монгол дохионы хэл"
28	Burmese sign language	ASL	/wiki/Burmese_sign_language	may be two languages
44	Dominican Sign Language	ASL	/wiki/Dominican_Sign_Language	
72	Haitian Sign Language	ASL	/wiki/Haitian_Sign_Language	
89	Jamaican Sign Language	ASL	/wiki/Jamaican_Sign_Language	(JSL)
115	Malaysian Sign Language	ASL	/wiki/Malaysian_Sign_Language	"Bahasa Isyarat Malaysia" (BIM)
160	Puerto Rican Sign Language	ASL	/wiki/Puerto_Rican_Sign_Language	"Lengua de señas puertorriqueña"
196	Thai Sign Language	ASL	/wiki/Thai_Sign_Language	(TSL) "แบบสะกดนิ้วมือไทย" (incl. Hai Yai)
149	Panamanian Sign Language	ASL	/wiki/Panamanian_Sign_Language	"Lengua de señas panameñas"
19	Bolivian Sign Language	ASL	/wiki/Bolivian_Sign_Language	"Lenguaje de Señas Bolivianas" (LSB)
87	Jakarta Sign Language	ASL	/wiki/Jakarta_Sign_Language	a variety of Indonesian Sign Language 
210	Yogyakarta Sign Language	ASL	/wiki/Yogyakarta_Sign_Language	a variety of Indonesian Sign Language 
173	Selangor Sign Language	ASL	/wiki/Selangor_Sign_Language	(Malaysia)
41	Cypriot Sign Language	ASL	/wiki/Cypriot_Sign_Language	"Κυπριακή Νοηματική Γλώσσα" (CSL) [15] 
37	Colombian Sign Language	Andean	/wiki/Colombian_Sign_Language	(CSN) / Lengua de Señas Colombiana (LSC)
47	Ecuadorian Sign Language	Andean	/wiki/Ecuadorian_Sign_Language	
154	Peruvian Sign Language	Andean [13]	/wiki/Peruvian_Sign_Language	"Lengua de señas peruana"
48	Egyptian Sign Language	Arab	/wiki/Egyptian_Sign_Language	
49	Emirati Sign Language	Arab	/wiki/Emirati_Sign_Language	
83	Iraqi Sign Language	Arab	/wiki/Iraqi_Sign_Language	العراقى مترجمي لغة الاشارة  Perhaps close to Levantine.
104	Kuwaiti Sign Language	Arab	/wiki/Kuwaiti_Sign_Language	لغة الاشارة الكويتية
209	Yemeni Sign Language	Arab	/wiki/Yemeni_Sign_Language	"لغة الإشارة اليمنية"
92	Jordanian Sign Language	Arab, Levantine	/wiki/Jordanian_Sign_Language	Lughat il-Ishaarah il-Urduniah / الاردنية مترجمي لغة الاشارة (LIU)
107	Lebanese Sign Language	Arab, Levantine	/wiki/Lebanese_Sign_Language	Lughat al-Isharat al-Lubnaniya / لغة الإشارات اللبنانية
148	Palestinian Sign Language	Arab, Levantine	/wiki/Palestinian_Sign_Language	"لغة الاشارات الفلسطينية"
192	Syrian Sign Language	Arab, Levantine	/wiki/Syrian_Sign_Language	
95	Kafr Qasem Sign Language	village	/wiki/Kafr_Qasem_Sign_Language	Kafr Qasim 
147	Omani Sign Language	Arab?	/wiki/Omani_Sign_Language	
162	Qatari Unified Sign Language	Arab?	/wiki/Qatari_Unified_Sign_Language	
170	Samoan Sign Language	Auslan	/wiki/Samoan_Sign_Language	
11	Auslan	British	/wiki/Auslan	(Australian Sign Language)
23	British Sign Language	British	/wiki/British_Sign_Language	(BSL)
