index	latin	cyrillic
1	Powrót Taty, przez A. Mickiewicza	Поврут Таты, през А. Мицкевича
2	Pójdźcie o dziatki, pójdźcie wszystkie razem	Пуйдьте о дятки, пуйдьте вшистке разэм
3	Za miasto, pod słup na wzgórek,	За място, под слуп на взгурэк,
4	Tam przed cudownym klęknijcie obrazem,	Там пред цудовным клѩкнийте образэм,
5	Pobożnie zmówcie paciorek.	Побожне змувте патëрэк.
6	Tato nie wraca ranki i wieczory	Тато не враца ранки и вечоры
7	we łzach go czekam i trwodze;	вэ лзах го чекам и трводзэ;
8	Rozlały rzeki, pełne zwierza bory,	Розлялы реки, пэлнэ зверя боры,
9	I pełno zbójców na drodze;-	И пэлно збуйцув на дродзэ;-
10	Słysząc to dziatki biegną wszystkie razem	Слышѫц то дятки бегнѫ вшистке разэм
11	Za miasto pod słup na wzgórek,	За място под слуп на взгурэк,
12	Tam przed cudownym klękają obrazem,	Там пред цудовным клѩкаѭ образэм,
13	I zaczynają paciorek.	И зачинаѭ патëрэк.
14	Całują ziemię, potem w Imię Ojca,	Цалуѭ земѩ, потэм в Имѩ Ойца,
15	Syna i Ducha świętego,	Сына и Духа свѩтэго,
16	Bądź pochwalona przenajświętsza Trójca	Бѫдь похвалëна пренайсвѩтша Труйца
17	Teraz i czasu wszelkiego.	Тэраз и часу вшелькего.
