sequence|thai|phonetic|description|desc-short|set|level|
1|ถูกเผงเลย|tùuk pěng ləəi|Spot on!; Exactly!; You hit the nail on the head!  Note: -ถูกต้อง(เลย) (tùuk dtɔ̂ng; tùuk dtɔ̂ng ləəi)has a similar meaning but is a bit  less emphatic.  |Spot on!; Exactly!; You hit th|Super Useful Expressions, Part 1   |Intermediate level|
2|นั่นแหละ|nân-lɛ̀|Exactly.; That's it/right.; There you are then.; That's... (or  emphasizes preceding part of sentence). |Exactly.; That's it/right.; Th|||
3|(ก็)นั่นน่ะสิ|nân-nâ-sì; gɔ̂ɔ nân-nâ-sì|Quite right!; Yes...; Exactly!; That's just it!  |Quite right!; Yes...; Exactly!|||
4|จะไปแล้ว|jà bpai lɛ́ɛo|(I) gotta get going; I'm gonna go now.; I gotta run.  |(I) gotta get going; I'm gonna|||
5|ไปไหน (bpai nǎi)Where are you going?  ||||||
6|พูดเล่น|pûut-lên|Just joking!; I'm kidding.  |Just joking!; I'm kidding.  |||
7|อย่าพูดเล่น|yàa pûut-lên|Don't joke around.  |Don't joke around.  |||
8|โอ้โฮ|ôo-hǒo|Wow; Oh!; Gee!; Holy Cow!; Whoa! (shows surprise in a  kind of cute, comical way)  |Wow; Oh!; Gee!; Holy Cow!; Who|||
9|ตายแล้ว|dtaai-lɛ́ɛo|Goodness!; Shoot!; Shit! Oh my!  |Goodness!; Shoot!; Shit! Oh my|||
10|ทุกอย่างจะดีขึ้นเอง|túk-yàang jà dii kʉ̂n eeng|Everything will be okay/  work out.; It will all work out.  |Everything will be okay/  work|||
11|อีกแล้วหรือ|ìik lɛ́ɛo rʉ̌ʉ|Again?!; It happened again?!; You did it again?!  |Again?!; It happened again?!; |||
12|ไม่ใช่ครั้งแรก (mâi-châi kráng-rɛ̂ɛk)This/That/It's not the first time.  ||||||
13|คุณว่าอะไรนะ|kun wâa àrai ná|What did you say?  Note: -คุณพูดว่าอะไรนะ (kun pûut wâa àrai ná)is a bit longer and less casual way to  say this. |What did you say?  Note: -คุณพ|||
14|ใครว่า...|krai wâa...|Who says...?; Who said...?  |Who says...?; Who said...?  |||
15|โธ่เอ๋ย/โธ่เอ๊ย|tôo-əə̌i/tôo-əə́i|Oh man!; Come on man!; Oh dear!; Shit!;  (Oh), damn!, etc.  |Oh man!; Come on man!; Oh dear|||
16|อะไรก็ได้|à-rai gɔ̂ɔ dâi|Anything's fine.; Whatever you want.; whatever;  anything |Anything's fine.; Whatever you|||
