thai,phonetic,register,definition,note
พูดยังไม่ทันจบ,pûut yang mâi-tan jòp,,(I) haven’t finished talking yet! / (I) haven’t finished what I was going to say!,
ไม่คิดหน้าคิดหลัง,mâi kít nâa kít lǎng,,(She) just does it without thinking about the consequences! / (She)’s so rash! / (She) just goes ahead and does it without a second thought.,
ดูภายนอก,... duu paai-nɔ̂ɔk…,,Superficially… / Outwardly… / On the surface…,
แต่ติดปัญหาตรง(ที่ว่า),... dtɛ̀ɛ dtìt bpan-hǎa dtrong (tîi-wâa)…,,But the problem is (that)…,
มีกฎหมายข้อไหนไม่ให้(ถ่ายรูป),mii gòt-mǎai kɔ̂ɔ nǎi mâi-hâi (tàai-rûup) ,,Is there a law against (taking pictures)?,
ไม่ต้องน้อยใจ,mâi-dtɔ̂ng nɔ́ɔi-jai,,Don’t feel slighted.,
กินข้าวพร้อมหน้าพร้อมตา,gin-kâao prɔ́ɔm-naa-prɔ́ɔm-dtaa (,,Having dinner) all together.,
ไม่มีผู้ชายคนไหน(ชอบผู้หญิงขี้บ่น),mâi-mii pûu-chaai kon-nǎi (chɔ̂ɔp pûu-yǐng kîi-bon),,No guy… (likes a woman who complains all the time).,
ทำไมเรื่องแบบนี้ต้องเกิดขึ้นกับฉัน,tam-mai rʉ̂ang bɛ̀ɛp-níi dtɔ̂ng gə̀ət-kʉ̂n gàp chǎn,,Why does this have to happen to me?!,
ใช้เวลาให้คุ้มค่าที่สุด,chái-wee-laa hâi kúm-kâa tîi-sùt ,,Make the most of your time. / Make your time really matter.,
ค่อยว่ากันอีกที,kɔ̂i wâa gan ìik tii,,Let’s talk about it another time. / We can discuss it later.,
มันไม่จบง่ายๆ,man mâi-jòp ngâai-ngâai ,,It ain't over 'til it's over! / It ain’t over ’til the Fat Lady sings! / It won’t be over so easily!,
เวลาจะเยียวยาทุกอย่าง,wee-laa jà yiao-yaa túk-yàang ,LITERARY,Time will heal everything.,
ใช้เวลานานแค่ไหนกว่าจะ(เห็นผล),chái-wee-laa naan kɛ̂ɛ-nǎi gwàa jà (hěn pǒn),,How long does it take before (you see results)?,
(จะ)ไม่มีอะไรเหมือนเดิมอีกแล้ว,(jà) mâi-mii à-rai mʉ̌an-dəəm ìik lɛ́ɛo ,,Nothing will ever be the same again. / Nothing will be like it was before.,
ใช้ได้บ้างไม่ได้บ้าง,chái-dâi bâang mâi-dâi bâang ,,"Sometimes (it) works, sometimes it doesn’t.",
มาถึงขนาดนี้แล้ว,... maa-tʉ̌ng kà-nàat-níi lɛ́ɛo…,,(We)’ve come this far… / (You)’ve made it this far…,
ผมต้องแบกรับภาระ,... pǒm dtɔ̂ng bɛ̀ɛk-ráp paa-rá...,,I have to bear/carry the burden (of)…,
หล่อนไม่สนใจอะไรเลยนอกจาก(เงิน),lɔ̀n mâi sǒn-jai à-rai ləəi nɔ̂ɔk-jàak (ngən),,She’s not interested in anything except (money).,
ผมจะทำอะไรได้,pǒm jà tam à-rai dâi ,,What can I do? (This is sarcastic and means you can’t do anything.),
