Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
Ahom_aho,aho,jonsson1991,,5,5,5,1,4,4,4,2,2,2,2,3,H,H,H,L,H,H,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AitonMorey_aio,aio,morey2010aiton,,"1,4",2,2,2,"1,4","1,4","1,4",2,3,3,3,3,1,1,1,"3,5",1,1,1,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AitonBanchob_aio,aio,banchob1977,,6,2,2,2,"3,1,5","3,1,5","3,1,5",7,7,7,7,4,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AitonDiller1_aio,aio,diller1992,,4,3,3,3,6,6,6,1,5,5,5,2,6,6,6,1,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AitonDiller2_aio,aio,diller1992,,1,3,3,3,1,1,1,3,2,2,2,2,1,1,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackTaiJonsson_blt,blt,jonsson1991,,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackTaiPintasaard_blt,blt,pintasaard2004development,56-57,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,44,45,45,45,44,22,22,22,55,45,45,45,44,21,21,21,31,45,45,45,,,,,,,,,,
BlackTaiHudak_blt,blt,hudak2008comparative_3,,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,2,2,2,5,44,45,45,45,44,22,22,22,55,45,45,45,44,21?,21?,21?,31?,45,45,45,,,,,,,,,,
TaiYa1_cuu,cuu,zhou2001_5,,1,1,1,2,5,5,5,1,3,3,3,4,9,9,9,"8,9",7,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiYa2_cuu,cuu,zhou2001_7,,1,1,1,2,5,5,5,6,3,3,3,4,9,"5,9",5,6,3,7,"3,7",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiLueBencha_khb,khb,bencha2000,35-44,1,1,1,5,2,2,2,6,3,3,3,7,2,2,2,6,4,4,4,6,33,535,535,535,33,55,55,55,11,313,313,313,33,131,131,131,353,313,313,313,,,,,,,,,,
TaiLueAmpornpan_khb,khb,ampornpan1986,72-86,1,1,1,2,5,5,5,4,6,6,6,3,5,5,5,4,1,1,1,4,331,55?,55?,55?,331,55,55,55,343,355,355,355,331,232,232,232,33,355,355,355,,,,,,,,,,
LueZhou_khb,khb,zhou2001_3,,1,1,1,2,5,5,5,6,3,3,3,4,9,9,9,"8,7",7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LueYu_khb,khb,yu1980,,1,1,1,2,5,5,5,6,5,3,3,4,9,9,9,8,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LueJonsson_khb,khb,jonsson1991,,1,1,1,2,5,5,5,6,3,3,3,4,5,5,5,6,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiLue_khb,khb,pintasaard2004development,61-63,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,33,35,35,35,33,55,55,55,41,35,35,35,33,24?,24?,24?,11,35,35,35,,,,,,,,,,
LueChiengHung_khb,khb,hudak2008comparative_6,19-23,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,5,33,55,55,55,33,55,55,55,21,12,12,12,33,11?,11?,11?,31?,12,12,12,,,,,,,,,,
LueMuongYong_khb,khb,hudak2008comparative_7,19-23,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,5,33,45,45,45,33,45,45,342,342,12,12,12,33,11?,11?,11?,31?,12,12,12,,,,,,,,,,
LueKingsada_khb,khb,kingsada1999phongxaly,42737,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,4,33,55,55,55,33,55,55,55,31,35,35,35,33,13,13,13,11,35,35,35,,,,,,,,,,
KhamtiJonsson_kht,kht,jonsson1991,,4,1,1,3,4,4,4,1,5,5,5,2,4,4,4,1,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KhamtiDockum_kht,kht,dockum2014,,1,4,4,4,6,6,6,2,2,2,2,2,6,6,6,2,6,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KhamtiHarris_kht,kht,harris1976notes,,4,1,1,3,4,4,4,1,5,5,5,2,4,4,4,1,4,4,4,1,31,55,55,55,31,55,31,31,53,55,55,55,31,35?,35?,35?,21?,55,55,55,,,,,,,,,,
KhuenKlangMuong_kkh,kkh,hudak1994_12,977-979,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,4,4,4,6,22,44,44,44,51?,35,35,44,44,12,12,12,22,33?,33?,33?,51?,12,12,12,,,,,,,,,,
KhuenBaanVeng_kkh,kkh,hudak1994_13,1021-1023,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,4,4,4,6,22,44,44,44,51?,35,35,44,44,12,12,12,22,33?,33?,33?,51?,12,12,12,,,,,,,,,,
Khamyang_ksu,ksu,morey2010khamyang,,6,5,5,2,1,1,1,5,3,3,3,4,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoNgaewSungkep_lao,lao,sungkep1983,"54-55, 62-73",5,1,1,1,2,2,2,2,4,3,3,3,5,5,5,2,4,4,4,3,43,14,14,14,21,14,33,33,33,221,221,221,221,454,33,33,33,454,454,454,,,,,,,,,,
NakhonThaiSungkep_lao,lao,sungkep1983,"55, 62-73",5,1,1,1,2,2,2,2,4,3,3,3,4,4,4,3,4,4,4,3,343,35,35,35,343,1223,332,332,332,34,34,34,34,35,343,343,343,35,35,35,,,,,,,,,,
LaoKhrangSungkep_lao,lao,sungkep1983,"57, 62-73",1,2,2,2,3,3,3,3,4,5,5,5,1,1,1,3,4,4,4,5,45,313,313,313,44,312,243,243,243,44,44,44,44,353,45,45,45,354,354,354,,,,,,,,,,
LaoTai_lao,lao,sungkep1983,"58, 62-73",1,2,2,3,4,4,4,4,5,6,6,6,1,1,1,4,5,5,5,6,41,24,24,24,33,224,243,243,453,33,33,33,33,31,41,41,41,21,21,21,,,,,,,,,,
LaoWiangSungkep_lao,lao,sungkep1983,"59, 62-73",1,2,2,3,4,4,4,4,5,6,6,6,1,1,1,4,5,5,5,6,41,24,24,24,33,14,132,132,354,33,33,33,33,31,41,41,41,21,21,21,,,,,,,,,,
LaoKhrangChativong_lao,lao,chativong1986,68-73,1,2,2,2,3,3,3,3,4,5,5,5,5,5,5,2,1,1,1,3,23,31,31,31,44,313,243,243,243,44,44,44,44,343,35,35,35,35,35,35,,,,,,,,,,
LaoNgaewPungpawpun_lao,lao,pungpawpun1984,70-76,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,2,6,6,6,3,23,32,32,32,44,24,22,22,22,44,44,44,44,454?,232?,232?,232?,454,454,454,,,,,,,,,,
NakhonthaiPaiboonwangcharoen_lao,lao,paiboonwangcharoen1984,47-51,1,2,2,2,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,55,55,55,55,55,35,33,33,33,44,44,44,44,343,55,55,55,55,55,55,,,,,,,,,,
KhuBua_lao,lao,sila1975,13-24,5,5,1,1,6,6,6,3,4,4,4,3,6,1,1,3,2,1,1,3,51,11,33,33,51,15,15,33,33,23,23,23,51,554,554,554,51,23,33,33,,,,,,,,,,
LaoKhrangNakorn_lao,lao,nakorn2000,23-26,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,45,323,323,323,34,313,243,243,243,44,44,44,44,353,45,45,45,353,353,353,,,,,,,,,,
LaoBorkaew_lao,lao,chawsuan1994,201-972 (lexicon),1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoKhrangChawsuan_lao,lao,chawsuan1994,201-972 (lexicon),1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SouthernLaoChawsuan_lao,lao,chawsuan1994,201-972 (lexicon),1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoWiangChawsuan_lao,lao,chawsuan1994,201-972 (lexicon),1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaloengTisapong_lao,lao,tisapong1985,59-77,5,5,5,1,2,2,2,3,2,3,3,3,2,2,2,3,5,5,5,2,454,434,434,434,21,434,434,434,34,21,21,21,454,21,454,454,454,21,21,21,,,,,,,,,,
LaoKhrangPanka_lao,lao,panka1980,67-76,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,45,313,313,313,44,313,243,243,243,44,44,44,44,353,45,45,45,353,353,353,,,,,,,,,,
SouthernLaoPanka_lao,lao,panka1980,67-76,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,41,24,24,24,33,24,232,232,452,33,33,33,33,21,41,41,41,21,21,21,,,,,,,,,,
LaoWiang_lao,lao,panka1980,67-76,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,41,24,24,24,33,24,232,232,353,33,33,33,33,21,41,41,41,21,21,21,,,,,,,,,,
LaoJonsson_lao,lao,jonsson1991,,4,1,1,3,2,2,2,2,6,5,5,5,6,6,6,5,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoPintasaard_lao,lao,pintasaard2004development,68-69,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,3,3,3,4,42,45,45,45,33,23,11,11,45,33,33,33,33,21?,42,42,42,21?,21?,21?,,,,,,,,,,
LaoLaksanawong_lao,lao,laksanawong2008comparative,60-63,1,2,2,3,4,4,4,4,5,6,6,6,4,4,4,6,1,1,1,3,452,24,24,24,35,24,32,32,35,33,33,33,33,21,452,452,452,33,33,33,,,,,,,,,,
KaloengLaksanawong_lao,lao,laksanawong2008comparative,65-67,1,1,"1,2,4",2,3,3,3,4,5,6,6,6,4,4,4,6,2,2,2,3,452,35,35,35,343,24,24,"24,35,33",35,343,343,343,33,21,452,452,452,33,33,33,,,,,,,,,,
TaiVientiane1_lao,lao,hudak1997_15,789-791,1,4,4,4,2,2,2,2,3,3,3,5,3,3,3,5,1,1,1,2,53?,14,14,14,44,14,33,33,33,44,44,44,44,21?,21?,21?,53?,21?,21?,21?,,,,,,,,,,
TaiVientiane2_lao,lao,hudak1997_16,805-807,1,4,4,4,2,2,2,5,3,6,6,6,2,2,2,5,1,1,1,4,53?,14,14,14,33,14,33,33,33,22,22,22,53?,21?,55?,55?,55?,22,22,22,,,,,,,,,,
TaiChiengKhouang_lao,lao,hudak1997_17,885-887,1,4,4,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,5,43,14,14,14,43,14,33,33,33,32,32,32,43,44?,44?,44?,55?,32,32,32,,,,,,,,,,
TaiLuangPrabang_lao,lao,hudak1997_18,911-913,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,2,2,2,3,45?,14,14,14,33,534,14,14,14,33,33,33,33,55?,45?,45?,45?,55?,55?,55?,,,,,,,,,,
LaoNgaewChinchest_lao,lao,chinchest1989,39,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,112,434,434,434,33,25,343,343,343,33,33,33,33,35?,112?,112?,112?,45,45,45,,,,,,,,,,
LaoCambodia1_lao,lao,sopheap2017tone,59-61,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,31,35,35,35,44,35,42,42,451,44,44,44,331,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoCambodia2_lao,lao,sopheap2017tone,61-63,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,31,24,24,24,33,24,32,32,42X,33,33,33,33,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoCambodia3_lao,lao,sopheap2017tone,63-65,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,31,35,35,35,44,35,42,42,451X,44,44,44,342,33?,31?,31?,31?,33,33,33,,,,,,,,,,
LaoCambodia4_lao,lao,sopheap2017tone,66-68,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,342,35,35,35,44,24,32,32,42X,33,33,33,332,11?,342?,342?,342?,11,11,11,,,,,,,,,,
