khamphuan	thai-plaintext	English	Rating
หลีเกี่ยวหวด	หีเกี่ยวลวด	Pussy wrapped in wire	R
เหียะตึงปี๋	หีตึงเปียะ	Tight pussy	R
ขุนตกใต้ทวย	ควยตกใต้ทุน	Dick falls under investment	R
น้ำมันมวยทาขา	น้ำมันมาทาควย	Come and put lube on the dick	R
หันตูดให้แดด	หันแตดให้ดูด	Turn your clit around so I can suck it	R
ดีไม่ห่างเหิน	หีไม่ห่างเดิน	Don't have to walk far to get pussy	R
หูหมี	หีหมู	Pig pussy	R
หายกระตี่	หีกระต่าย	Rabbit pussy	R
หาหมึ	หีหมา	Dog pussy	R
ดอยหมง	ดงหอย	Pussy (clam) jungle	R
ดีออก	อีดอก	Bitch	R
ดีไม่ห่างเหิน	หีไม่ห่างเดิน	Don't have to walk far to get pussy	R
หันตูดให้แดด	หันแตดให้ดู	Turn your clit around so I can see it	R
สีดูหุ้ม	หีดูส้ม	Looks like an orange pussy	R
สีแหบ	หีแสบ	Stinging pussy	R
สีเหียว	หีเสียว	Horny pussy	R
หาดไม่สะอี๋	หีไม่สะอาด	Unclean pussy	R
หางชี้	หีช้าง	Elephant pussy	R
หางจะกี	หีจะกาง	Pussy is going to spread	R
หาดเท่าถี	หีเท่าถาด	Pussy as big as a tray	R
ไหผี	หีไผ	Whose pussy?	R
ไหผู้ดี	หีผู้ใด	Whose pussy?	R
ไหขึ้นรถฟรี	หีขึ้นรถไฟ	Pussies on the train	R
สำลีขายหวย	สำหีขายควย	Pussy sells dicks	R
สำรวยลืมคำ	สำควยลืมรำ	Dick forgot how to dance	R
แม่ปะนีขายหอม	แม่ปะหีขายนม	Pussy mum sells her tits	R
ผีไม่มีหัว	หีไม่มีผัว	Pussy without a husband	R
ผีเลียหัว	ผัวเลียหี	Husband licks pussy	R
ผีดูดหัว	ผัวดูดหี	Husband sucks pussy	R
เหาไดโนสี	หีไดโนเสาร์	Dinosaur pussy	R
มีคีย์ไว้แทงหวย	มีควยไว้แทงหี	Dick for stabbing pussy	R
หกสกกะปี๋	หีสกกะปรก	Filthy pussy	R
เอาไม้แหย่รีหู	เอาไม้ยูแหร่หี	Take your stick and probe my pussy	R
อวยคม	อมควย	Sucking dick	R
ยักษ์ไม่ให้เพชร	เย็ดไม่ให้พัก	Fucking without a break	R
