No.	Prefix	Meaning	Example
1	อติ	great, exceed	อดิศร one who is great อดิเรกgreater than one
2	อนุ	minor, less, small, secondary, background	อนุชนthose who follow, who come after อนุจรfollower
3	อป	separate, parted from	อัปยศ shame/disgrace อัปลักษณ์ ugly, low, devilish
4	อภิ	grand, large, especially, particular	อภิญญา with great knowledge อภิปรายto present in specific detail
5	อธิ	grand, over, large, on top of (Sometimes similar to ‘epi-‘ prefix in English)	อธิปัญญา one with great intellect อธิษฐาน with great intent and focus (pray)
6	อว	descend, diminish, decrease (sometimes similar to ‘de-‘prefix in English)	อวกาศwith decreased air/atmosphere (space) อวชาตบุตร a son who is inferior to his father
7	อา	entire, major, grand, opposite, enter, approach, near, secure	อาคม approaching/come towards อาเทส changing
8	อุ	rise, increase, outside of	อุบัติto arise/happen อุโฆษ promote/give name to
9	อุป	enter, approach, near, secure	อุปราช advisor to king อุปจาร almost/close to
10	ทุ (ทุร ทร)	bad, difficult	ทรชน bad person ทรพร no energy
11	นิ	enter, descend/decrease/diminish to	นิปริยายdirectly
12	ป	entire, in front of, before, sometimes similar to ‘pre- ‘prefix in English	ประวัติ that which has happened ปัญญา overall knowledge / wisdom
13	ปฏิ	particular, response, relay, inverse	ปฏิบัติapply/put into practice ปฏิทิน‘particular’ day – calendar
14	ปริ	cyclic, a cycle, region, all over	ปริวัตรtranspose บริสุทธิ์the ‘n’th’ point/utmost = virgin/holy/innocent
15	วิ	extraordinary, special, different, stand out	วิจารณ์contemplate/research วิวรรณ beautiful complexion
16	ปรา	opposite (often similar to ‘contra-‘ or ‘anti-‘ prefixes in English)	ปราชัยlose
17	นิ	Without, outside of, sometimes similar to ‘ex-‘prefix in English.	นิรนามhave no name นิรมลwithout blemish/beautiful
18	สํ	along with, with, good (sometimes similar to ‘con-‘, ‘corr-‘ and ‘bene-‘ prefixes in English)	สมาคมto come together สังคม to go together – society สนธิto connect
19	สุ	good, beautiful, easy, sometimes similar to ‘bene-‘ or ‘facil-‘ prefixes in English	สุชาดาof good birth สุเทพa good god/heavenly being สุพจน์ a good word
20	อปิ	close to, above	(rare – often found in Pali texts)
