Language,ISO,Source_ID,Source_page,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,DL1.phon,DL2.phon,DL3.phon,DL4.phon
Ahom_aho,aho,jonsson1991,,,,,,,,,,,,,,,,,,,,,
AitonMorey_aio,aio,morey2010aiton,,,,,,,,,,,,,,,,,,,,,
AitonBanchob_aio,aio,banchob1977,,,,,,,,,,,,,,,,,,,,,
AitonDiller1_aio,aio,diller1992,,,,,,,,,,,,,,,,,,,,,
AitonDiller2_aio,aio,diller1992,,,,,,,,,,,,,,,,,,,,,
BlackTaiJonsson_blt,blt,jonsson1991,,,,,,,,,,,,,,,,,,,,,
BlackTaiPintasaard_blt,blt,pintasaard2004development,56-57,22,22,22,55,45,45,45,44,21,21,21,31,45,45,45,44,45,45,45,44
BlackTaiHudak_blt,blt,hudak2008comparative_3,,22,22,22,55,45,45,45,44,21?,21?,21?,31?,45,45,45,44,45,45,45,44
TaiYa1_cuu,cuu,zhou2001_5,,,,,,,,,,,,,,,,,,,,,
TaiYa2_cuu,cuu,zhou2001_7,,,,,,,,,,,,,,,,,,,,,
TaiLueBencha_khb,khb,bencha2000,35-44,55,55,55,11,313,313,313,33,131,131,131,353,535,535,535,33,313,313,313,33
TaiLueAmpornpan_khb,khb,ampornpan1986,72-86,55,55,55,343,355,355,355,331,232,232,232,33,55?,55?,55?,331,355,355,355,331
LueZhou_khb,khb,zhou2001_3,,,,,,,,,,,,,,,,,,,,,
LueYu_khb,khb,yu1980,,,,,,,,,,,,,,,,,,,,,
LueJonsson_khb,khb,jonsson1991,,,,,,,,,,,,,,,,,,,,,
TaiLue_khb,khb,pintasaard2004development,61-63,55,55,55,41,35,35,35,33,24?,24?,24?,11,35,35,35,33,35,35,35,33
LueChiengHung_khb,khb,hudak2008comparative_6,19-23,55,55,55,21,12,12,12,33,11?,11?,11?,31?,55,55,55,33,12,12,12,33
LueMuongYong_khb,khb,hudak2008comparative_7,19-23,45,45,342,342,12,12,12,33,11?,11?,11?,31?,45,45,45,33,12,12,12,33
LueKingsada_khb,khb,kingsada1999phongxaly,42737,55,55,55,31,35,35,35,33,13,13,13,11,55,55,55,33,35,35,35,33
KhamtiJonsson_kht,kht,jonsson1991,,,,,,,,,,,,,,,,,,,,,
KhamtiDockum_kht,kht,dockum2014,,,,,,,,,,,,,,,,,,,,,
KhamtiHarris_kht,kht,harris1976notes,,55,31,31,53,55,55,55,31,35?,35?,35?,21?,55,55,55,31,55,55,55,31
KhuenKlangMuong_kkh,kkh,hudak1994_12,977-979,35,35,44,44,12,12,12,22,33?,33?,33?,51?,44,44,44,51?,12,12,12,22
KhuenBaanVeng_kkh,kkh,hudak1994_13,1021-1023,35,35,44,44,12,12,12,22,33?,33?,33?,51?,44,44,44,51?,12,12,12,22
Khamyang_ksu,ksu,morey2010khamyang,,,,,,,,,,,,,,,,,,,,,
LaoNgaewSungkep_lao,lao,sungkep1983,"54-55, 62-73",14,33,33,33,221,221,221,221,454,33,33,33,14,14,14,21,454,454,454,43
NakhonThaiSungkep_lao,lao,sungkep1983,"55, 62-73",1223,332,332,332,34,34,34,34,35,343,343,343,35,35,35,343,35,35,35,343
