Thai	Thai (IPA)	Chinese Character	Mandarin (Pinyin)	Cantonese (IPA)	Korean	Korean (Roman)	Vietnamese-roman	Meaning							
(เก้า)อี้	(kau)jî:	椅	yǐ	ji1	의	ui	cái ghế	Chair							
เก่า		古			고	go	cổ 	old							
ก็	kɔ̂:	就	jiù	cau6	취	chwi	tựu	Connecting conditional action with subsequent action – ‘x condition THEN y’							
กว่า	kwà:	過	guò	kwɔ1	과	gwa	qua	To pass / exceed							
กว้าง	kwâ:ŋ	廣	guǎng	kwɔŋ2	광	gwang	rộng	Wide							
กี่	kì:	幾	jǐ	kei1	기	gi	cơ • khởi • ki • ky • kí • ký • kỉ • kỳ • kỷ 	How Many' / An Amount							
กู้		救			구	gu	cứu	to rescue							
กรุง		京			경	gyeong	Kinh	capital							
เก่ง		强			강		quyền lực	to be skillful / to be strong in doing thing							
แก้	kæ̂:	改	gǎi	kɔi2	개	gae	cải	To change							
ไก่	kài	雞 (鸡)	jī	kɐi1	계 (鸡)	gye (jī)	Gà (gà)	chicken							
ขอ		求			구		cầu xin	to request / to beg							
ขา			(hokkien only)				#VALUE!	leg							
ขาด		缺			결		thiếu	to be short of / to be lack in							
ขิม	kʰǐm	琴	qín	kʰɐm4	금	geum	Đàn piano	Tuned musical instrument that is struck							
ขี่	kʰì:	騎	qí	kʰei4	기	gi	kị • kỵ	Ride / Drive							
ขุน		軍 / 君			군	gun	Quân đội / Jun.	senate / official /general							
เข็ม	kʰěm	針	zhèn	cʰɐn3	침	chim	Cây kim	Needle							
แขก	kʰæ̀:k	客	kè	hak3	객	gaeg	khách	Guest (From Hokkien)							
แข่ง		競			경		Cạnh tranh	to compete							
ค่า		價			가	ga	giá bán	value							
งา	ŋa:	牙	yá	ŋa4	아	a	răng	Tooth 							
งาน		宴	yan		연		tiệc	function / event / party							
ง่าย	ŋâ:i	易	yì	ji6	이	yi	dễ	Easy							
เงิน	ŋən	銀	yín	ŋɐn4	은	eun	ngân	Silver (Money)							
จอง	cɔ:ŋ	定	dìng	deŋ6	정	jeong	Chắc chắn	To reserve / mark a place							
จ้อง		瞪			등		nhìn chằm chằm	to stare							
ชั้น	cʰán	層	céng	cʰɐŋ4	층	cheung	Sàn nhà	A level / floor							
ชา	cʰa	茶	chá	cʰa4	차	cha	Trà	Tea							
ช่าง	cʰâ:ŋ	匠					thợ mộc	smith							
ช้าง	cʰá:ŋ	像	xiàng	cœŋ6	상	sang	bức ảnh	Elephant							
ชี้		指			지	ji	tham khảo	to point							
ชื่อ		氏			씨	ssi	Tiền mặt	name							
เช่า	cʰâu	租	zū	cou1	조	jo	thuê	To rent							
เช้า	cʰáu	朝	cháo	cʰiʊ4	조	jo	đối với	Morning							
เชิญ		請			청		Vui lòng	to invite							
เช้ง		橙					quả cam	mandarin orange							
เชียง	cʰi:aŋ	城	chéng	seŋ4	성	seong	thành phố	City							
