nôm	vn	th	Meaning-vn	meaning-th	etymology	viet-only	main-chunom
嘲	chào	เช้า	hi / morning / greeting	morning	Non-Sino-Vietnamese reading of Chinese 朝 (“to meet; to meet a senior person; to attend the emperor's audience”, SV: triều). Doublet of chầu and triều. (Nguyễn Văn Khang. Từ ngoại lai trong tiếng Việt, 2007)	TRUE	TRUE
爸	ba	พ่อ	father	father	Non-Sino-Vietnamese reading of Chinese 爸 (“father”, SV: bả).	FALSE	TRUE
爸	bô	พ่อ	baby pot	father	Non-Sino-Vietnamese reading of Chinese 爸 (“father”, SV: bả).	FALSE	FALSE
媽	má	แม่	mother	mother	Non-Sino-Vietnamese reading of Chinese 媽 (“mother”, SV: ma).	FALSE	TRUE
媄	mẹ	แม่	mom	mother	From Proto-Vietic *meːʔ ~ *mɛːʔ, from Proto-Mon-Khmer *meeʔ ~ *ʔmeeʔ (“mother”) ; cognate with Bahnar mĕ, Khmer ម៉ែ (mae), Mon မိ (mìˀ), Khasi mei. Ultimately a nursery word, compare Old Chinese 母 (*məʔ) (B-S) and Proto-Tai *meːᴮ (whence Thai แม่ (mɛ̂ɛ)). Related to mái.	TRUE	TRUE
𡥵	con	คน	child	person	From Proto-Tai *ɢwɯnᴬ (“human being; person”). Cognate with Northern Thai ᨤᩫ᩠ᨶ, Lao ຄົນ (khon), Lü ᦅᦳᧃ (kun), Shan ၵူၼ်း (kúun), Tai Nüa ᥐᥨᥢᥰ (kön), Ahom 𑜀𑜤𑜃𑜫 (kun), Bouyei wenz, Zhuang vunz, Zuojiang Zhuang koenz. Nôm form of con (“child”).	TRUE	TRUE
婆	bà	ป้า	Grandma	aunty	Sino-Vietnamese word from 婆 (“grandmother”).	FALSE	TRUE
油	dầu	อิ๊ว	oil	oil	Non-Sino-Vietnamese reading of Chinese 油 (“oil”, SV: du).	FALSE	TRUE
眜	mắt	ตา	eye	eye	From Proto-Vietic *mat, from Proto-Mon-Khmer *mat. Akin to Muong [Hòa Bình] mặt , Old Mon mɔt (modern Mon မတ် (mòt)), Bahnar măt, Pacoh mát, Khasi 'mat/khmat, Khmu mat, Mang mat⁷, Car Nicobarese mat, Santali ᱢᱮᱫ (met’).  Compare also Proto-Austronesian *maCa (Malay mata), Proto-Tai *p.taːᴬ (Thai ตา (dtaa)), Proto-Sino-Tibetan *s-mjak ~ s-mik (Chinese 目 (mù < OC *C.muk), Tibetan མིག (mig)).	TRUE	TRUE
𪖬	mũi	มูก	nose	nose	From Proto-Vietic *muːs (“nose”), from Proto-Mon-Khmer *muh ~ *muuh ~ *muus (“ nose”); cognates include Khmer ច្រមុះ (crɑmoh), Bahnar muh, Khasi khmut, Mon မိုဟ်, Car Nicobarese meh.	TRUE	TRUE
𥚇	lưỡi	ลิน	tongue	tongue	From Middle Vietnamese 𥚇 (lưởi), from Proto-Vietic *laːs. Cognate with Nghệ An /Hà Tĩnh dialects lại, Muong lãi. Compare also Pacoh leah (“to lick”).	TRUE	TRUE
㗂	tiếng	เสียง	language	sound / voice	From Middle Vietnamese tiếng, ultimately from Chinese 聲 (MC ɕiᴇŋ), likely through a Tai language (compare Thai เสียง (sǐiang)) since the tonal correspondence is atypical for a direct borrowing. Cognate with Muong thiểng.	TRUE	TRUE
𦹵	cỏ	คอ	neck	neck	From Middle Vietnamese 𦹵 (cỏ), from Proto-Vietic *kɔh (“grass”). Cognate with Thavung ก็อฮ.	TRUE	TRUE
𦢳	vai	บ่า ไหล่	shoulder	shoulder	Compare Proto-Katuic *ʔapaal (“shoulder”) (whence Pacoh apal). Thai บ่า  Indonesian Bahu  Some North Central dialects have the form ban with unlenited ‹b› (vs. standard form with lenited ‹v›) and ‹-n› reflex of earlier *-l.	TRUE	TRUE
渃	nước	น้ำ	water	water	From Proto-Vietic *ɗaːk (“water”), from Proto-Mon-Khmer *ɗaak (“water”). Cognates with Nghệ An/Hà Tĩnh dialects nác, Muong đác, Khmer ទឹក (tik), Bahnar đak, Eastern Mnong dak, Central Nicobarese râk/dâk and Santali ᱫᱟᱜ (dak’). From Proto-Tai *C̬.namᶜ (“water”). Cognate with Northern Thai ᨶ᩶ᩣᩴ (nam), Southern Thai หน่าม, Lao ນ້ຳ (nam), Lü ᦓᧄᧉ (nam2), Tai Dam ꪙꪾ꫁ (nam6), Shan ၼမ်ႉ (nâ̰m), Tai Nüa ᥘᥛᥳ (lam5), Khamti ꩫမ်ႇ, Aiton ꩫံ (naṃ), Phake ꩫံ (naṃ), Ahom 𑜃𑜪 (naṃ), Bouyei ramx, Zhuang raemx, Nong Zhuang naemx, Zuojiang Zhuang naemx, Saek นัม. Compare Proto-Be *namᴮᶜ², Proto-Hlai *C-nəmʔ.	TRUE	TRUE
