Letter	letter-name	ipa-hanoi	ipa-saigon
A a	a	/aː˧/ 	/aː˧/ 
Ă  ă	á	/aː˧˥/ 	/aː˧˥/ 
Â  â	ớ	/əː˧˥/ 	/əː˧˥/ 
B b	bê	/ɓe˧/ 	/ɓe˧/ 
C c	xê	/se˧/	/se˧/
D d	dê	/ze˧/	/je˧/
Đ  đ	đê	/ɗe˧/	/ɗe˧/
E e	e	/ɛ˧/	/ɛ˧/
Ê  ê	ê	/e˧/	/e˧/
G g	giê	/ʒe˧/	/ʒe˧, ɹe˧/
H h	hát, hắt	/ha:t˧˥/	/hak˧˥/
I i	i ngắn	/i˧ ŋan˧˥/	/ɪi̯˧ ŋaŋ˧˥/ [7] 
K k	ca	/kaː˧/	/kaː˧/
L l	en lờ	/ɛn˧ ləː˨˩/	/ɛŋ˧ ləː˨˩/
M m	em mờ	/ɛm˧ məː˨˩/	/ɛm˧ məː˨˩/
N n	en nờ, anh nờ	/ɛn˧ nəː˨˩/	/an˧ nəː˨˩/
O o	o	/ɔ˧/	/ɔ˧/
Ô  ô	ô	/o˧/	/o˧/
Ơ  ơ	ơ	/əː˧/	/əː˧/
P p	pê, bê phở	/pe˧/	/pe˧/
Q q	quy	/ku˧, kwi˧/	/kwi˧/
R r	e rờ	/ɛ˧ rəː˨˩/	/ɛ˧ ɹəː˨˩/
S s	ét xì, ét xờ	/ɛt˦˥ si˨˩/	/ɛt˦˥, ə:t˦˥ (sə˨˩)/
T t	tê	/te˧/	/te˧/
U u	u	/u˧/	/ʊu̯˧/ [7] 
Ư  ư	ư	/ɨ˧/	/ɯ̽ɯ̯˧/ [7] 
V v	vê	/ve˧/	/ve˧/
X x	ích xì	/ik˦˥ si˨˩/	/ɪ̈t˦˥ (si˨˩)/
Y y	y dài	/i˧ zaːj˨˩/	/ɪi̯˧ jaːj˨˩/ [7] 
