Text	VietOnly
𧵑	TRUE
吧	FALSE
𪜀	TRUE
𠬠	TRUE
固	FALSE
仍	FALSE
𠊛	TRUE
𠊚	TRUE
𥪝	TRUE
特	FALSE
空	FALSE
㐌	TRUE
𠇍	TRUE
唄	FALSE
朱	FALSE
各	FALSE
碎	FALSE
於	FALSE
翁	FALSE
𧗱	TRUE
底	FALSE
拱	FALSE
旦	FALSE
𦤾	TRUE
呢	FALSE
𠓨	TRUE
𡗉	TRUE
偀	TRUE
妬	FALSE
如	FALSE
自	FALSE
欺	FALSE
𨕭	TRUE
𫥨	TRUE
𦓡	TRUE
沛	FALSE
吏	FALSE
群	FALSE
𠱊	TRUE
時	FALSE
㖘	TRUE
𢆥	TRUE
爫	TRUE
茹	FALSE
𨉟	TRUE
𠫾	TRUE
𡥵	TRUE
在	FALSE
𠄩	TRUE
被	FALSE
備	FALSE
役	FALSE
只	FALSE
事	FALSE
遶	FALSE
丐	FALSE
爲	FALSE
欣	FALSE
呐	FALSE
姑	FALSE
𣈜	TRUE
㵋	TRUE
𨖲	TRUE
慄	FALSE
戶	FALSE
婆	TRUE
局	FALSE
册	FALSE
同	FALSE
銅	FALSE
垌	TRUE
𡢐	TRUE
當	FALSE
咍	TRUE
𤯩	TRUE
年	FALSE
𢧚	TRUE
别	FALSE
𧡊	TRUE
耒	TRUE
城	FALSE
成	FALSE
誠	FALSE
吻	FALSE
恪	FALSE
𠄼	TRUE
渃	TRUE
伮	TRUE
細	FALSE
戈	FALSE
哿	TRUE
共	FALSE
之	FALSE
低	FALSE
数	FALSE
歲	FALSE
次	FALSE
奇	FALSE
期	FALSE
旗	FALSE
圻	TRUE
㛪	TRUE
一	FALSE
𠓀	TRUE
伴	FALSE
意	FALSE
影	FALSE
凭	FALSE
平	FALSE
朋	FALSE
芇	TRUE
頭	FALSE
投	FALSE
阮	FALSE
哴	TRUE
格	FALSE
革	FALSE
曰	FALSE
尋	FALSE
𣅶	TRUE
李	FALSE
理	FALSE
正	FALSE
政	FALSE
𧘇	TRUE
𣎃	TRUE
會	FALSE
憢	TRUE
𣗓	TRUE
吝	FALSE
由	FALSE
𣃣	TRUE
㦖	TRUE
文	FALSE
工	FALSE
卷	FALSE
捲	FALSE
調	FALSE
條	FALSE
花	FALSE
華	FALSE
𡘯	TRUE
埃	FALSE
𠀧	TRUE
爸	FALSE
㗂	TRUE
塘	FALSE
