Spelling	Sound
a	 /a/ ( [æ] in some dialects) except as below  /ă/ in au  /ăw/ and ay  /ăj/ (but /a/ in ao  /aw/ and ai  /aj/ )  /ăj/ before syllable-final nh  /ŋ/ and ch  /k/ , see  Vietnamese phonology#Analysis of final ch , nh  /ə̯/ in ưa  /ɨə̯/ , ia  /iə̯/ and ya  /iə̯/  /ə̯/ in ua except after q [note 1] 
ă	 /ă/ 
â	 /ə̆/ 
e	 /ɛ/ 
ê	 /e/ except as below  /ə̆j/ before syllable-final nh  /ŋ/ and ch  /k/ , see  Vietnamese phonology#Analysis of final ch , nh  /ə̯/ in iê  /iə̯/ and yê  /iə̯/ 
i	 /i/ except as below  /j/ after any vowel letter
o	 /ɔ/ except as below  /ăw/ before ng and c [note 2]  /w/ after any vowel letter (= after a or e )  /w/ before any vowel letter except i (= before ă , a or e )
ô	 /o/ except as below  /ə̆w/ before ng and c except after a u that is not preceded by a q [note 3]  /ə̯/ in uô except after q [note 4] 
ơ	 /ə/ except as below  /ə̯/ in ươ  /ɨə̯/ 
u	 /u/ except as below  /w/ after q or any vowel letter  /w/ before any vowel letter except a , ô and i Before a , ô and i : /w/ if preceded by q , /u/ otherwise
ư	 /ɨ/ 
y	 /i/ except as below  /j/ after any vowel letter except u (= after â and a )
