Category	English	Vietnamese	Nôm	Cantonese	Mandarin
Preposition	about	về	𧗱	𧗱	𧗱
Preposition	above	trên đây, bên trên	𨕭低, 邊𨕭	𨕭 dāi ,   bīn 𨕭	𨕭 dī ,   biān 𨕭
Preposition	according to	theo	遶	遶	rào
Preposition	across ngang	qua	戈	gwō	gē
Preposition	after	sau khi	𡢐欺	𡢐 hēi	𡢐 qī
Preposition	against	chống lại	𢶢吏	𢶢 lei	𢶢 lì
Preposition	among	trong số	中数	zūngsôu	zhōngshù
Preposition	around	xung quanh	冲𪞀	cūng 𪞀	chōng 𪞀
Preposition	as	như	茹	jyù	rú
Preposition	as far as	xa như…	賖茹	賖 jyù	賖 rú
Preposition	as well as	cũng như	拱茹	gúngjyù	gǒngrú
Preposition	at	tại, ở	在 於	zoi   jyū	zài   yú
Preposition	because of	vì	為	wài	wéi
Preposition	before	trước khi	𠓀欺	𠓀 hēi	𠓀 qī
Preposition	behind	sau	𡢐	𡢐	𡢐
Preposition	below	dưới đây	𠁑低	𠁑 dāi	𠁑 dī
Preposition	beneath	bên dưới	邊𠁑	bīn 𠁑	biān 𠁑
Preposition	beside	bên cạnh	邊兢	bīngīng	biānjīng
Preposition	between	giữa	𡨌	𡨌	𡨌
Preposition	beyond	ngoài	外	ngoi	wài
Preposition	but	nhưng	仍	jìng	réng
Preposition	by	bởi	𤳄	𤳄	𤳄
Preposition	close to	gần	𧵆	𧵆	𧵆
Preposition	despite	mặc dù	默𠶢	mak 𠶢	mò 𠶢
Preposition	down	xuống	𨑜	𨑜	𨑜
Preposition	due to	do	由	jàu	yóu
Preposition	during	trong khi	中欺	zūng hēi	zhōng qī
Preposition	except	ngoại trừ	外儲	ngoicyǔ	wàichǔ
Preposition	except for	trừ	儲	cyǔ	chǔ
Preposition	far from	xa	賖	賖	賖
Preposition	for	cho	朱	zyū	zhū
Preposition	from	từ	自	zi	zì
Preposition	in	trong	中	zūng	zhōng
Preposition	in addition to	ngoài ra	外𦋦	ngoi 𦋦	wài 𦋦
Preposition	in front of	trước mặt	𠓀𩈘	𠓀 𩈘	𠓀 𩈘
Preposition	in spite of	mặc dù	默𠶢	mak 𠶢	mò 𠶢
Preposition	inside	bên trong	邊中	bīnzūng	biānzhōng
Preposition	inside of	bên trong	邊中	bīnzūng	biānzhōng
Preposition	instead of	thay vì	𠊝為	𠊝 wài	𠊝 wéi
Preposition	into	vào trong	𠓨中	𠓨 zūng	𠓨 zhōng
Preposition	near	gần	𧵆	𧵆	𧵆
Preposition	near to	gần	𧵆	𧵆	𧵆
Preposition	next	tiếp theo	接遶	zîp 遶	jiē rào
Preposition	next to	bên cạnh	邊兢	bīngīng	biānjīng
Preposition	of	của	𧵑	𧵑	𧵑
Preposition	on	trên	𨕭	𨕭	𨕭
Preposition	on behalf of	thay mặt cho	𠊝𩈘朱	𠊝 𩈘 zyū	𠊝 𩈘 zhū
Preposition	on top of	trên đầu trang của, trên mặt	𨕭頭妝𧵑	𨕭 tàuzōng 𧵑	𨕭 tóuzhuāng 𧵑
Preposition	opposite	đối diện	對面	dêoimin	duìmiàn
Preposition	out	ra	𦋦	𦋦	𦋦
Preposition	outside	bên ngoài	邊外	bīn ngoi	biān wài
Preposition	outside of	bên ngoài	邊外	bīn ngoi	biān wài
Preposition	over	trên	𨕭	𨕭	𨕭
Preposition	per	mỗi	每	mǔi	měi
Preposition	plus	thêm	添	tīm	tiān
Preposition	prior to	trước khi	𠓀欺	𠓀 hēi	𠓀 qī
Preposition	round	tròn	𡈺	𡈺	𡈺
Preposition	since	kể từ	仉自	zóeng zi	zhǎng zì
Preposition	than	hơn	欣	jān	xīn
Preposition	through	thông qua	通過	tūnggwô	tōngguò
Preposition	till	đến	𦤾	𦤾	𦤾
Preposition	to	đến	𦤾	𦤾	𦤾
Preposition	toward	về phía	𧗱𪰂	𧗱 𪰂	𧗱 𪰂
Preposition	under	bên dưoi	邊dươi	bīn d ư ơ i	biān d ư ơ i
Preposition	unlike	không giống như	空𢶢茹	hūng 𢶢 jyù	kōng 𢶢 rú
Preposition	until cho	đến khi	𦤾欺	𦤾 hēi	𦤾 qī
Preposition	up	lên	𨕭	𨕭	𨕭
Preposition	via	thông qua	通過	tūnggwô	tōngguò
Preposition	with	với	潙	潙	潙
Preposition	within	trong vòng	中𠺯	zūng 𠺯	zhōng 𠺯
Preposition	without	mà không cần	麻空勤	màa hūngkàn	má kōngqín
